AAADL: ALADA
EJLMÂ: MELÂJ
EJLNO: LONJE
EJLOY: JOLYE
EJLPÔ: PLÔJE
EJLWÂ: LWÂJE
EJLWÛ: LEWÛJ
EJNNW: JWENN
EJNNÊ: JÊNEN
       JENNÊ
EJNNÛ: JÛNEN
EJNOP: EPONJ
EJNOS: SONJE
EJNOW: WONJE
EJNOZ: JONZE
EJNOÇ: ÇONJE
EJNSÊ: JÊNES
EJOPW: PWOJE
EJPYÂ: JÂPYE
EJRTÂ: ETRÂJ
EJRVÂ: REVÂJ
EJRYÔ: REJYÔ
EJSYÔ: JESYÔ
EJTWÂ: ÂJWET
EJTZÎ: JEZÎT
EJVYÂ: JÂVYE
EKKNO: KOKEN
EKKNÊ: KÊKEN
       KENKÊ
EKKOR: KOREK
EKKOW: KWOKE
EKKRÔ: KÔKRE
EKKTÔ: KÔKET
EKLLO: LEKOL
EKLMÂ: KLEMÂ
EKLNÂ: KÂNEL
EKLOS: LESKO
EKLOT: KOLET
       KOLTE
EKLOV: KLEVO
EKLOY: KOLYE
EKLOÂ: ÂKOLE
EKLPÔ: KÔPLE
EKLPÛ: KÛPLE
EKLRÊ: KLERÊ
EKLRÛ: KLÛRE
EKLTÔ: LEKÔT
EKLVÛ: KÛLEV
EKLWÔ: KLEWÔ
EKMMÂ: KÂMEM
EKMNO: KONME
EKMOS: KOMES
       MOSKE
EKMOT: KOMET
EKMOW: KWOME
EKMSÔ: KÔMES
EKNNO: KONEN
       OKENN
EKNNW: KWENN
EKNNÔ: KÔNEN
EKNOP: KONPE
       KOPEN
EKNOT: KONET
       KONTE
EKNOZ: KONZE
EKNPS: PENKS
EKNSÛ: KÛSEN
EKNTÂ: KÂNTE
EKNYÛ: KÛNYE
EKNZÊ: KÊZEN
EKNZÛ: KÛZEN
EKOPT: PEKTO
EKOPY: KOPYE
EKORT: REKOT
EKOST: ESTOK
       SOKET
EKOSÇ: ÇESKO
EKOTT: TOKET
EKOTW: TWOKE
       WOKET
EKOTZ: ZETOK
EKOTÇ: KOÇET
       KOÇTE
EKOVÊ: ÊVOKE
EKOWÇ: KWOÇE
EKPSÂ: ESKÂP
EKPSÔ: KÔSEP
EKPSÛ: SEKÛP
EKPYÛ: KÛPYE
EKPÂÇ: KÂPEÇ
EKRSÔ: KRESÔ
EKRTÊ: KRETÊ
       TRÊKE
EKRTÔ: KÔTRE
EKRYÔ: KREYÔ
EKRYÛ: KÛRYE
EKRÂÇ: ÇÂKRE
EKSSÂ: SEKÂS
EKSTÛ: ESKÛT
       SÛKET
EKSWÊ: KWÊSE
EKSYÊ: YESKÊ
EKSYÔ: KESYÔ
       KÔSEY
EKTYÛ: KÛTYE
EKTÇÛ: ÇÛKET
       KÛÇET
EKVZÛ: KÛVEZ
ELLOT: LOTEL
ELLOV: VOLEL
ELMNO: MELON
ELMNÂ: LÂMEN
ELMNÔ: LEMÔN
       LÔMEN
ELMNÛ: MÛLEN
ELMOT: MOTEL
ELMOY: ELYOM
ELMOZ: LEZOM
ELMSÂ: LÂMES
       SELMÂ
ELMTÂ: METLÂ
       TELMÂ
ELMWÂ: LEMWÂ
ELMÇÛ: LEMÛÇ
ELNNO: LONEN
ELNNP: PLENN
ELNNÔ: LÔNEN
ELNOP: POLEN
ELNOS: LESON
       SELON
ELNOT: LENTO
       TONEL
ELNPT: PLENT
ELNPÛ: PÛLEN
ELNTÔ: TÔNEL
ELNTÛ: LÛTEN
ELNVÛ: NÛVEL
ELOPV: VLOPE
ELOPW: PEWOL
ELOPY: PLOYE
       POLYE
ELOPZ: ZEPOL
ELORY: LORYE
ELOSY: LOSYE
       OSYEL
       SOLEY
ELOTV: VOLTE
ELOTZ: LEZOT
ELOVY: VYOLE
ELOVZ: VOLEZ
ELPRÊ: PELRÊ
       REPLÊ
ELPSÛ: SÛPLE
ELPTÂ: LETÂP
       PLÂTE
ELPTÛ: PÛLET
ELPYÛ: PYELÛ
ELPZÛ: PELÛZ
ELPÂÇ: PLÂÇE
ELSTÊ: TÊSEL
ELSVÛ: SÛLVE
ELSYÛ: SÛLYE
ELTWÛ: WÛLET
ELYZÔ: LYEZÔ
EMNNÊ: MÊNEN
       MENNÊ
EMNNÔ: MÔNEN
       NÔMEN
EMNOP: MONPE
EMNOR: REMON
EMNOS: MENOS
EMNOT: MENOT
       MONTE
EMNOW: OMWEN
EMNOY: MONYE
EMNOÇ: MONÇE
EMNPÂ: PÂMEN
EMNRÊ: RÊMEN
       RENMÊ
EMNSW: MWENS
EMNTÂ: TÂMEN
EMNVÂ: MÂNEV
EMNWÛ: WÛMEN
EMNÇÊ: ÇEMÊN
EMORÂ: ÂMORE
EMOST: TEMOS
EMOSW: SEWOM
EMOSY: SOMEY
       SOMYE
EMOTY: MOTYE
EMOVZ: MOVEZ
EMRTÊ: RÊMET
EMRTÔ: MÔTRE
EMRVÂ: VREMÂ
EMRYÂ: RÂMYE
EMRÂÛ: ÂMÛRE
EMSSÂ: SEMÂS
EMSTÛ: SÛMET
EMSVÂ: VESMÂ
EMSYÔ: SÔMEY
EMTWÊ: TEMWÊ
EMTYÎ: ÎTYEM
EMTÂÂ: ÂTEMÂ
EMTÂÇ: MÂÇET
EMVÂÊ: EVÊMÂ
EMYZÔ: ÔZYEM
ENNOT: ONNET
       TONNE
ENNOW: NEWON
ENNPW: PWENN
ENNRT: TRENN
ENNSÊ: SÊNEN
       SENNÊ
ENNSÔ: SÔNEN
ENNTÂ: TÂNEN
ENNTÛ: TÛNEN
ENNVÂ: VÂNEN
ENOPP: PONPE
ENOPS: PENSO
       PESON
ENOPW: PEWON
       WONPE
ENOPZ: ZEPON
ENOPÇ: POÇEN
ENORY: REYON
ENORZ: REZON
ENOST: SONET
ENOSZ: SEZON
ENOTW: WONTE
ENOTÂ: ETONÂ
ENOVÇ: ÇEVON
ENPPÂ: PENPÂ
ENPRS: PRENS
ENPRÔ: PRENÔ
       REPÔN
ENPSÔ: PESÔN
ENPTW: PWENT
ENPTÂ: PÂTEN
       TENPÂ
ENPÇÊ: PÊÇEN
       PENÇÊ
ENRVÂ: REVÂN
ENSSÂ: NESÂS
ENSTÂ: ÂSENT
       ESTÂN
       SÂTEN
ENSTÊ: ENSTÊ
       ÊSTEN
ENSTÔ: SÔNET
ENSTÛ: TÛSEN
ENSVÂ: VENSÂ
ENSYÂ: ÂSYEN
ENTTÊ: TENTÊ
       TÊTEN
ENTVÊ: VÊTEN
ENTWÔ: NETWÔ
ENVVÊ: VEVÊN
ENVÂÊ: ÊNEVÂ
EOOPZ: OPOZE
EOPPY: POPYE
EOPRT: POTRE
EOPRV: PREVO
EOPST: POSTE
EOPSW: PWOSE
EOPTW: PETWO
       POWET
EOPTZ: POTEZ
EOPTÊ: ÊPOTE
EOPWY: PYEWO
EOPWZ: PWOZE
EOPWÇ: PWOÇE
EOPZÊ: ÊPOZE
EORTZ: TREZO
EORYZ: ZOREY
       ZORYE
EORZÔ: OREZÔ
EOSSY: SOSYE
EOSTÇ: ÇOSET
EOSYÂ: OSEYÂ
EOTTW: TWOTE
EOTVÇ: ÇOVET
EOTWZ: WOZET
EOTYZ: ZOTEY
EOVWY: VYEWO
EOWZZ: ZWEZO
EOZÂÇ: OZÂÇE
EPPYÔ: PÔPYE
EPRSÂ: PRESÂ
EPRSÔ: REPÔS
EPRTÂ: TRÂPE
EPRTÊ: PRÊTE
EPRTÛ: TÛPRE
EPRZÂ: PREZÂ
EPSTÂ: ESPÂT
EPSTÊ: PÊSET
EPSTÛ: PÛSET
EPSYÔ: ESPYÔ
EPSYÛ: PÛSYE
EPTTÂ: TÂPET
EPTTÛ: PÛTET
EPTWÊ: PWÊTE
EPTWÔ: TWÔPE
EPTYÂ: PÂTYE
EPTYÔ: PETYÔ
       PYETÔ
EPTÂÇ: ÇÂPET
EPTÇÛ: ÇÛPET
EPVWÛ: PWÛVE
EPÇÊÑ: PÊÇEÑ
ERRTÂ: RÂTRE
ERSSÛ: RESÛS
ERSTÂ: RESTÂ
ERSTÊ: SÊTRE
ERSVÊ: SEVRÊ
ERTÂÇ: TRÂÇE
ERTÂÛ: ÂRETÛ
       ÂTÛRE
ERTÇÛ: RETÛÇ
ESSTÛ: SÛSET
ESSYÂ: SEYÂS
ESSÂÂ: ÂSÂSE
ESTWÊ: SWÊTE
ESTZÂ: ZÂSET
ESTÂÂ: ÂSÂTE
ETVWÛ: TWÛVE
ETVZÛ: VÛZET
ETVÂÊ: ÊVÂTE
ETWYÛ: WÛTYE
ETYÂÇ: ÇÂTYE
ETYÇÊ: ÇYÊTE
ETÂÂÇ: ÂÇÂTE
EWYZÛ: WÛZYE
FFNÛÛ: FÛFÛN
FFOOS: FOSFO
FGSÔÛ: FÔGÛS
FHMOÛ: HÛMFO
FIIKZ: FIZIK
FIJOW: JIWOF
FIKLÔ: KÔFLI
FIKNÂ: KÂNIF
FIKOS: OFIKS
FILMO: FOMIL
FILOS: FOSIL
FILOY: FIYOL
FILSÂ: SÂFIL
FIMOT: MOTIF
FIMWÔ: FWÔMI
FIMÂÂ: ÂFÂMI
FINOT: FOTIN
FINOÇ: ÇIFON
FINSÂ: FINÂS
FIOPW: PWOFI
FIRSÔ: FRISÔ
FIRSÛ: SÛFRI
FIRÂÇ: FRÂÇI
FISTÔ: FÔTIS
FISYÔ: FISYÔ
FITWÛ: WIFÛT
FJNOO: FOJON
FKLOO: FOKOL
FKMOÂ: KÂMFO
FKMOÔ: KÔFOM
FKNOO: KONFO
FKNÔÔ: KÔFÔN
FKYÂÔ: KÔFYÂ
FLMOO: FOMOL
FLMÂÂ: FLÂMÂ
FLNÂÊ: FLÂNÊ
FLOOP: FOLOP
FMOOW: FOWOM
FMOOZ: FOMOZ
FMOTÂ: FÂMOT
       FÂTOM
FNOÇÛ: FÛÇON
FNRÊÊ: FRÊNÊ
FNTÊÔ: FÔTÊN
FNÂÊÛ: ÂFÛNÊ
FOPWÊ: FOPWÊ
FOPWÔ: PWOFÔ
FOSTÊ: FOSTÊ
FPTÂÛ: PÂTÛF
FTÂÂÊ: ÂFÂTÊ
GGIIT: GIGIT
GGNÂÂ: NGÂGÂ
GGNÊÊ: GÊGÊN
GGRÂÛ: GRÂGÛ
GGSÂÂ: GÂGÂS
GHNÂÛ: HÛNGÂ
GIIJR: GRIJI
GIILV: VIGIL
GILNÂ: GILÂN
GILOR: GORIL
       RIGOL
GILSÂ: GLISÂ
GILVÔ: LÔGVI
GIMOR: GRIMO
GIMOY: GIYOM
GIMPÂ: PIGMÂ
GINOS: SINGO
GINOY: GOYIN
GINWZ: ZWING
GINWÂ: IGWÂN
GIORY: GRIYO
GIOSÇ: GOÇIS
GIOTZ: ZIGOT
GIRSÂ: SÂGRI
GIRTÊ: ÊTRIG
GIRYÊ: GRIYÊ
GIRZÔ: GRIZÔ
GJOWÂ: GWOJÂ
GJRÂÂ: GRÂJÂ
GKNOO: KONGO
GLNOÂ: LONGÂ
GLSÊÎ: LÊGÎS
GLTÔÛ: GLÛTÔ
GLWÔÛ: WÛLÔG
GLZÊÊ: ZÊGLÊ
GMNOÊ: GONMÊ
GMSÛÛ: SÛGÛM
GMÂÂÂ: ÂGÂMÂ
GNRÊÊ: GRÊNÊ
GNYÊÔ: GYÔNÊ
GOTYÛ: YOGÛT
GPWÂÛ: ÂGWÛP
GPWÊÊ: PÊGWÊ
GPÇÊÊ: PÊÇÊG
GSWÂÊ: SÂGWÊ
HINSÛ: HÛNSI
IIJLV: VIJIL
IIJMT: JITIM
IIJRS: JIRIS
IIKKT: KIKIT
IIKLT: KILTI
IIKMM: MIMIK
IIKMS: MIKIS
IIKMZ: MIZIK
IIKMÇ: ÇIMIK
IIKNS: SINIK
IIKNZ: KIZIN
IIKNÇ: ÇIKIN
IIKRS: SIRIK
IIKSW: WISKI
IIKVÑ: VIKIÑ
IILLP: PILIL
IILMT: LIMIT
IILNY: LIYIN
IILNZ: LIZIN
IILPT: TILIP
IILSV: SIVIL
IILTY: LIYIT
IIMNS: MINIS
IIMNT: MINIT
       MITIN
IIMNW: MINWI
IIMSÇ: ÇIMIS
IIMTÑ: MITIÑ
IINNO: INONI
IINOW: IWONI
IINPS: PISIN
IIPPT: PIPIT
IIPPW: WIPIP
IIPPY: PIYIP
IIPPÇ: PIPIÇ
IIPTT: PITIT
IIRSV: VIRIS
IIRTÂ: IRITÂ
IIRÂÇ: ÂRIÇI
IISSY: SIYIS
IISVV: SIVIV
IITTT: TITIT
IITVZ: VIZIT
IJJMÂ: JIJMÂ
IJKLO: LOJIK
IJNOP: JIPON
       PIJON
IJNOS: JONIS
IJNOY: JINYO
IJNYÊ: IJYÊN
IJSTÂ: JISTÂ
IJSTÊ: JISTÊ
IJSVÂ: JÂSIV
IJTWÊ: JWÊTI
IKKKÔ: KIKÔK
IKKLO: KOLIK
IKKMO: KOMIK
IKKNÂ: KÂNIK
IKKOT: TIKOK
IKKTÂ: KÂTIK
IKLMÂ: ÂKLIM
IKLNO: KOLIN
IKLNÛ: KÛLIN
IKLOT: KILOT
       KLOTI
IKLPS: KLIPS
IKLSÛ: KÛLIS
IKLYÂ: KLIYÂ
IKMNO: KOMIN
IKMNÂ: KINÂM
IKMOS: KOMSI
       SIMKO
IKMSÔ: KÔMSI
IKMTÛ: KÛTIM
IKNOS: KONSI
IKNOÊ: ÊKONI
IKNRÂ: RÂKIN
IKNTÂ: KÂTIN
IKNWÊ: WIKÊN
IKNZÎ: KÎZIN
IKNZÛ: KÛZIN
IKOPP: PIKOP
IKOPT: OPTIK
IKORT: KOTRI
       TRIKO
IKORZ: KRIZO
IKOSZ: ZIKOS
IKOTV: VIKTO
IKOTÂ: ÂTIKO
IKOWÇ: KWOÇI
IKOYÇ: KIÇOY
IKPYÔ: PIKYÔ
IKRSÊ: ÊSKRI
IKRVÛ: KÛVRI
IKSYÔ: KÔSIY
ILMNO: LIMON
       NOMIL
ILMNÊ: LÊNMI
ILMOP: PLIMO
ILMOV: VOLIM
ILMPÊ: PLIMÊ
ILNOP: PILON
ILNPÛ: LÛPIN
ILNSÊ: SILÊN
ILNVÔ: LÔNVI
ILOPS: POLIS
ILOPT: PILOT
ILORT: LOTRI
ILOST: LOSTI
       OSTIL
ILOZÂ: IZOLÂ
ILPRÂ: RÂPLI
ILPSÂ: ÂPLIS
ILPTÔ: PLITÔ
ILPÇÛ: PÛLIÇ
ILRVÛ: LÛVRI
ILSVÊ: SILVÊ
       VILSÊ
ILTYÂ: LÂTIY
ILYÇÊ: ÇILYÊ
IMNOS: SIMON
IMNOT: MINOT
IMNOV: VONMI
IMNTÛ: TIMÛN
IMORZ: RIZOM
IMOTZ: MITOZ
IMOYZ: MOYIZ
IMRTÊ: TRIMÊ
IMRÂÊ: ÂRIMÊ
IMSTÂ: SÂTIM
IMSYÔ: MISYÔ
IMTÇÊ: TÇIMÊ
INNOY: INYON
INOOV: ONIVO
INOPT: PITON
INOPW: WONPI
INOPZ: IPNOZ
INOPÇ: ÇOPIN
       PIÇON
INOSY: SIYON
INOSÂ: INOSÂ
INOSÔ: OSINÔ
INOTY: TIYON
INOYÇ: ÇIYON
INRSÛ: NÛRIS
INRTÂ: TÂNRI
INSTÛ: SÛTNI
INSVÛ: SÛVNI
INTTÂ: TÂTIN
INTWÛ: WÛTIN
INTZÂ: TIZÂN
INVWÔ: VIWÔN
IOPRÇ: POÇRI
IOPST: POSTI
       TOPSI
IOPTÇ: POTIÇ
IORYÂ: IYORÂ
IOSSS: SOSIS
IOSTZ: SOTIZ
IOTVY: TYOVI
IOTVÇ: TÇOVI
IPPSÔ: PÔPIS
IPPYÂ: PIYÂP
IPRTÂ: TÂPRI
IPRZÂ: ÂPRIZ
IPRZÔ: PRIZÔ
IPSSÂ: PISÂS
IPSTÔ: PISTÔ
IPSWÔ: PISWÔ
IPTWÊ: PWÊTI
IPTÇÛ: ÇÛPIT
IRSTÛ: SÛRIT
       TÛRIS
IRSYÊ: SIRYÊ
ISTWÇ: SWITÇ
ISTWÊ: ÊSTWI
ISTWÔ: SITWÔ
ISVWÂ: SWIVÂ
ISVZÂ: ZÂSIV
ITTZÎ: TIZÎT
IVWÂÔ: ÂVIWÔ
IVYZÔ: VIZYÔ
JJLOÂ: JÂJOL
JJLOÊ: JÊJOL
JJLOÔ: JÔJOL
JJMÂÊ: JÊJÂM
JJNÂÊ: JÊNJÂ
JKTÂÛ: JÛKTÂ
JLLOO: LOLOJ
JLMOÂ: LOJMÂ
JLOWÛ: WÛJOL
JLOZÂ: LOZÂJ
JMNOÊ: JÊNOM
JMÂÂÇ: ÇÂJMÂ
JORZÂ: ZORÂJ
JSTÂÛ: JÛSTÂ
KKLOO: KOLOK
KKMÔÔ: KÔKÔM
KKNOO: KOKON
KKNOÊ: KOKÊN
KKNOÛ: KONKÛ
KKNÛÛ: KÛKÛN
       KÛNÛK
KKOOS: KOKOS
KKOOT: KOKOT
KKTÛÛ: KÛKÛT
KKYÛÛ: KÛKÛY
KLNOO: KOLON
KLNOÔ: KOLÔN
KLOOT: TOKLO
KLOOW: WOKLO
KLOOZ: ZOKLO
KLOPÔ: KÔPLO
KLOTÇ: KLOTÇ
KLOVÂ: VOLKÂ
KLSÛÛ: SÛLÛK
KLTÛÛ: KÛLÛT
KMMÂÊ: KÂMÊM
KMNOÂ: KOMÂN
KMNÔÔ: MÔNÔK
KMOZÂ: KOZMÂ
KMTÊÛ: KÛTMÊ
KNNOÊ: KONNÊ
KNOOT: KOTON
KNOOÇ: KOÇON
KNOPÛ: KÛPON
KNOSÂ: KÂSON
KNOTÂ: KÂNOT
       KÂTON
       KONTÂ
KNOTÛ: KONTÛ
KNOWÛ: KÛWON
KNOYÊ: KONYÊ
KNÇÛÛ: ÇÛKÛN
KOOPT: POTKO
KOOSW: KOWOS
KOPSÔ: KÔPOS
KORÂÛ: OKÛRÂ
KOSYÂ: KOSYÂ
KPRÂÔ: KRÂPÔ
KPSÛÛ: SÛKÛP
KPTÔÛ: PÛKÔT
KPYÔÛ: KÛPYÔ
KRTÂÔ: RÂKÔT
KSTÂÔ: KÔSTÂ
KTÂÊÛ: ÊKÛTÂ
LLOOY: LOLOY
LMNOÊ: LONMÊ
LMTÂÂ: LÂTMÂ
LMWÂÛ: WÛLMÂ
LNNOÊ: LONNÊ
LNOTÂ: LONTÂ
LNPÂÊ: PLÂNÊ
LNTÂÎ: LÂNÎT
LOOPY: POLYO
LOPVÂ: ÂVLOP
LOSSÛ: SÛSOL
LOSVÂ: SOLVÂ
LOSYÔ: LOSYÔ
LOSÂÊ: ÊSOLÂ
LOTVÛ: LÛVTO
LOVYÂ: VYOLÂ
LOVYÔ: VYOLÔ
LOWÑÛ: WÛLOÑ
LPTÂÊ: PLÂTÊ
LPZÂÛ: ZÂPÛL
MMMÂÊ: MÊMMÂ
MMNÊÛ: NÛMÊM
MMVÂÛ: MÛVMÂ
MNNOÊ: MONNÊ
       NONMÊ
MNOOS: SOMON
MNOPÛ: PÛMON
MNOTÛ: MÛTON
MNOVÂ: NOVÂM
MNRÂÂ: RÂNMÂ
MNSÂÂ: SÂNÂM
MNSÊÊ: SÊMÊN
MNZÂÂ: ZÂMÂN
MOOPY: OPYOM
MOOSZ: OSMOZ
MOPYÔ: MOPYÔ
MOSWÂ: WOMÂS
MOSWÊ: OMWÊS
MOSZÂ: ZOSMÂ
MOTÂÇ: ÇÂMOT
MPPÔÔ: PÔPÔM
MPSÂÂ: PÂSMÂ
MSWÂÊ: ÂMWÊS
NNOOS: OSNON
NNOOT: OTONN
NNOSÊ: SONNÊ
NNOWÔ: WONNÔ
       WÔNON
NNTÂÎ: NÂNÎT
NOOSÇ: ÇOSON
NOOTÇ: TOÇON
NOPPÔ: PONPÔ
       PÔPON
NOPTÂ: TÂPON
NOPTÊ: NÊPOT
NOPYÊ: PONYÊ
NOSÂÇ: ÇÂSON
NOTTÔ: TONTÔ
       TÔTON
NOTÂÊ: ÂTONÊ
NOVVÔ: VONVÔ
       VÔVON
NOWYÊ: WONYÊ
NOYYÛ: YOYÛN
NOZZÔ: ZONZÔ
       ZÔZON
NPWÂÊ: NÂPWÊ
NPYÊÔ: PYÔNÊ
NPÂÂÂ: ÂPÂNÂ
NRTÊÊ: TRÊNÊ
NSZÂÎ: NÎZÂS
NYÂÂÎ: ÂNÎYÂ
NZZÛÛ: ZÛZÛN
NÂÇÊÊ: ÂÇÊNÊ
OOTTT: TOTOT
OOTTY: TOTOY
OOTWW: WOWOT
OOTÇÇ: ÇOÇOT
OPSYÔ: OPSYÔ
       POSYÔ
OPTWÔ: PWOTÔ
OPTWÛ: TWÛPO
OPTÂÊ: ÊPOTÂ
ORTYÊ: RÊTYO
ORVYÊ: VORYÊ
OTWYÛ: TWÛYO
PPPÊÊ: PÊPÊP
PPÂÂÊ: ÂPÊPÂ
PRTÂÂ: ÂTRÂP
PRTÂÊ: ÂPRÊT
       PRÊTÂ
PSVÎÛ: PÛSÎV
PSWÊÔ: PWÊSÔ
PSYÂÔ: PÂSYÔ
PTYÂÂ: TYÂPÂ
PTÂÂÇ: TÇÂPÂ
PWWÊÔ: WÔPWÊ
PYÂÇÔ: ÇÂPYÔ
RSVÊÛ: SÛVRÊ
SSTÂÂ: SÂTÂS
STTÛÛ: TÛTÛS
STYÂÔ: TÂSYÔ
STYÊÛ: SÛTYÊ
SYZÂÊ: ZÂSYÊ
TVZÂÛ: VÂTÛZ
