AAABBMR: BAMBARA
BLLOSÊÛ: BÛLSÊLO
BLNNOÊÛ: BÛLONNÊ
BLOOOTÇ: ÇOBOLOT
BLTÇÛÛÛ: ÇÛBÛLÛT
BMNNNOO: BONNONM
BNNOTÊÛ: BÛTONNÊ
BNOOTWÂ: TOWOBÂN
BNOTYÛÛ: TÛBÛYON
DDEEGNÛ: DEGÛDEN
DDEEIMY: DEMIDEY
DDEENOY: DYEDONE
DDEINNO: DODINEN
DDEIRVÂ: VÂDREDI
DDENSÊÊ: SÊDÊDEN
         SÊDENDÊ
         SENDÊDÊ
DDEPÂÂÊ: ÊDEPÂDÂ
DDESSÂÂ: DESÂDÂS
DDIIIVÊ: ÊDIVIDI
DDIIKOS: DIOKSID
DDIINOZ: DIZONDI
DDIINVÂ: DIVIDÂN
DDIKTÂÂ: DIKDÂTÂ
DDJJNOÔ: DJÔDJON
         DJONDJÔ
DDNOYYÔ: DYÔDYON
         DYONDYÔ
DEEEGLN: GENDELE
DEEEGLR: DEREGLE
DEEEGRS: DEGRESE
DEEEIRT: EREDITE
DEEEKRT: DEKRETE
DEEEKTT: DETEKTE
DEEELMP: DEMEPLE
DEEELPP: DEPEPLE
DEEEPRT: DEPETRE
DEEEPSY: ESPEDYE
DEEERST: DETRESE
DEEERVZ: DEZEVRE
DEEESTT: DETESTE
DEEFGLÔ: DEGÔFLE
DEEFILN: ENFIDEL
DEEFIMR: DEMIFRE
DEEFIPR: DEFRIPE
DEEFIRT: FREDITE
DEEFIRÇ: DEÇIFRE
         DEFRIÇE
DEEFKNO: FEKONDE
DEEFKOR: DEKOFRE
DEEFKOT: KOTDEFE
DEEFKOW: DEFWOKE
DEEFLZÂ: DEZÂFLE
DEEFMOT: FETDEMO
DEEFMYÂ: DEMEFYÂ
DEEFNNÛ: DEFÛNEN
DEEFNOR: EFONDRE
         FREDONE
DEEFNOS: DEFONSE
DEEGILV: DEVILGE
DEEGINR: DENIGRE
DEEGLOP: DEPLOGE
DEEGLSÂ: DESÂGLE
DEEGNOS: SEGONDE
DEEIIMP: EPIDEMI
DEEIJNS: ENDIJES
DEEIKLN: DEKLINE
DEEIKMR: MEKREDI
DEEIKMS: DEMISEK
DEEIKRT: DIREKTE
DEEIKTZ: DEZETIK
DEEILLN: LELENDI
DEEILMZ: DEZILME
DEEILPS: DEPLISE
DEEILPZ: DEPLEZI
DEEILRV: DELIVRE
DEEIMPR: DEPRIME
DEEIMPY: PEDIYEM
DEEIMST: DESIMET
DEEINRS: DERISEN
DEEINST: DESTINE
DEEINTV: DEVINET
DEEINVZ: DEVINEZ
DEEIPRT: DETRIPE
DEEIPSS: DISPESE
DEEISSV: DESEVIS
DEEISTZ: DEZISTE
DEEJKOS: KESEDJO
DEEJRÂÇ: DEREÇÂJ
DEEJTWÊ: DEJWÊTE
DEEKKLO: DEKLOKE
DEEKKOW: DEKWOKE
DEEKLNS: LENDEKS
DEEKLNÂ: DELENKÂ
DEEKLOT: DEKOLTE
DEEKLRÛ: DEKLÛRE
DEEKLWÛ: DEKLÛWE
DEEKLÂÇ: DEKLÂÇE
DEEKNTÔ: DEKÔNET
DEEKOTW: DEKWOTE
DEEKOTÇ: DEKOÇTE
DEEKTVÛ: DEKÛVET
DEELMNÂ: LÂDEMEN
DEELMTÂ: DEMÂTLE
DEELOPV: DEVLOPE
DEELOPY: DEPLOYE
DEELYÂÇ: ÇÂDELYE
DEEMNNÂ: NÂDEMEN
DEEMNOT: DEMONTE
DEEMOPT: POMDETE
DEEMRTÔ: DEMÔTRE
DEENNOS: DENONSE
DEENNOZ: DEZONNE
DEENNPÂ: DEPÂNEN
DEENNSÛ: DESÛNEN
DEENNTÛ: DETÛNEN
DEENNÇÊ: DEÇÊNEN
         DEÇENNÊ
DEENOTW: DETWONE
DEENOTÂ: ETÂDONE
DEENSSÂ: ENDESÂS
DEEOPSW: PWOSEDE
DEEOTTY: DETOTYE
DEEOWYZ: DEWOZYE
DEEPTWÊ: DEPWÊTE
DEEPTWÔ: DETWÔPE
DEERSWÔ: DEWÔSRE
DEERTVÂ: DEVÂTRE
DEERVZÂ: REVÂDEZ
DEFIIJR: FRIJIDE
DEFIIRT: DIFTERI
DEFIISZ: DESIZIF
DEFIOSW: IDWOSFE
DEFIRSÂ: DIFERÂS
DEFIRÂÊ: ÊDIFERÂ
DEFNORÂ: ÂFONDRE
DEFNRÊÔ: FREDÔNÊ
DEFOPWÔ: PWOFÔDE
DEGIIJR: DEGRIJI
DEGIILV: DIVILGE
DEGILNO: LIGONDE
DEGIOSW: DEGWOSI
DEGIRZÂ: GRÂDIZE
DEGISTÊ: DISTÊGE
DEGLNOO: GONDOLE
DEGNNNO: DENGONN
DEGNNOÔ: GODÔNEN
DEGNOTÇ: DETÇONG
DEGNRÊÊ: DEGRÊNÊ
DEGRYÂÊ: ÊGREDYÂ
DEGSTÂÛ: DEGÛTÂS
DEIIIMT: IMIDITE
DEIIKST: DISKITE
DEIILST: DESILIT
         DISTILE
DEIIMNY: DIMINYE
DEIINVZ: DIVINEZ
DEIIPST: DISPITE
         ESTIPID
DEIITTÂ: IDÂTITE
DEIITYÊ: ÊDIYITE
DEIJLSÂ: DELIJÂS
DEIJLWÔ: JIWÔDEL
DEIJMNÂ: DEMIJÂN
DEIJNOW: IDWOJEN
DEIJNSÂ: ENDIJÂS
DEIJSVÂ: DIVEJÂS
DEIJSYÔ: DIJESYÔ
DEIKKTÔ: KÔDIKTE
DEIKLOS: DISLOKE
DEIKLRÊ: ÊKREDIL
DEIKLVÔ: DEKÔVIL
DEIKMNO: KONMEDI
DEIKOWÇ: DEKWOÇI
DEIKRSÊ: ÊDISKRE
DEIKRTÔ: KÔTREDI
DEIKRVÛ: DEKÛVRI
DEIKSTÂ: TÂDISKE
DEIKSWÔ: DESKIWÔ
DEILMOZ: DOZILME
DEILMPÊ: DEPLIMÊ
DEILMÂÇ: LEDIMÂÇ
DEILWZÔ: ZIWÔDEL
DEIMNNÔ: MIDÔNEN
DEIMORS: DORISME
DEIMOST: METODIS
         MODESTI
DEIMOTW: IDWOMET
DEIMSYÊ: MEDSIYÊ
DEIMSYÔ: DEMISYÔ
DEINOSY: EDISYON
DEINPRÂ: ENPRIDÂ
DEINRYÔ: ÔDIRYEN
DEINYZÔ: DEZINYÔ
DEIOOPT: OTOPEDI
DEIOPSW: PWOSEDI
DEIOPSZ: DISPOZE
DEIOWYZ: DIWOZYE
DEIPRYÛ: PÛDRIYE
DEIPRZÂ: PREZIDÂ
DEIPSSÂ: DISPÂSE
DEIPSYÔ: PEDISYÔ
DEIRSYÂ: SÂDRIYE
DEISYZÔ: DESIZYÔ
DEJNOOR: DOJERON
DEKLSÂÊ: DELÊKÂS
DEKMNOÂ: KONMÂDE
DEKMOOW: DEKOWOM
DEKMOOÊ: ÊKOMODE
DEKMOYÊ: KOMEDYÊ
DEKMRÊÊ: DEKRÊMÊ
DEKMYÊÔ: KÔMEDYÊ
DEKNOSÂ: KONDÂSE
DEKNOYÔ: KODÔNYE
DEKNTÎÔ: ENKÔDÎT
DEKNWÊÊ: DEKWÊNÊ
DELMWÂÛ: DEWÛLMÂ
DELOSYÂ: DOLEYÂS
         LODYÂSE
DEMNNOÂ: ÂDENMON
DEMNTÂÛ: DETÛNMÂ
DEMPYÂÛ: DEPÛYMÂ
DENOSTÔ: ÔDONSTE
         ONDÔSTE
DENOSTÜ: ÜDONSTE
DENSTÔÛ: ÛNDÔSTE
DEOOPTW: WODPOTE
DEOPRWÎ: REPWODÎ
DEOPTVÂ: DEVÂPOT
DEOSVYÔ: DEVOSYÔ
DEOSYZÊ: DYOSEZÊ
DEPRSÛÛ: SÛPÛDRE
DESTWÔÔ: WÔDÔSTE
DESTYÂÔ: DETÂSYÔ
DFIIILS: DIFISIL
DFIIOTY: TIFOYID
DFIIYZÔ: DIFIZYÔ
DFIKNOÂ: KONFIDÂ
DFIKSÂÔ: KÔFIDÂS
DGIIIRT: TIGRIDI
DGIKOOW: GWODIKO
DGIMZÂÛ: GÛMÂDIZ
DGLOZÊÊ: ZÊGLÊDO
DGNNOOÊ: GODONNÊ
DGNWÊÔÛ: GÛDWÔNÊ
DGORYZÂ: GRÂDYOZ
DIIJLSÂ: DILIJÂS
DIIJLTÔ: LÔJITID
DIIKLOW: IDWOLIK
DIIKMNO: DOMINIK
DIILPTÂ: ÂPLITID
DIIOTWY: TIWOYID
DIIRSTÂ: DISÂTRI
DIIRSTÊ: ÊDISTRI
DIIRTVÂ: VIDIRÂT
DIIVYZÔ: DIVIZYÔ
DIJLTÂÛ: TIJÛDLÂ
DIJMNÂÂ: DÂMIJÂN
DIJOOPP: DJIPOPO
DIKKLOO: KOKODIL
DIKNORT: DOKTRIN
DIKNORÂ: ÂDOKRIN
DIKNOSY: DIKSYON
DIKSYÔÔ: KÔDISYÔ
DILMNOP: DONPLIM
DILMNOÂ: LÂMIDON
DILOSVÊ: DOSÊVIL
DILOTZÂ: ZÂDOLIT
DIMNNOÊ: MIDONNÊ
DIMNOSÂ: DOMINÂS
DIMNRÂÊ: MÂDRINÊ
DIMSTÂÛ: TÛDISMÂ
DIMSYÂÔ: DIMÂSYÔ
DINORYÊ: ONDIRYÊ
DIPRSÂÊ: ÊPRIDÂS
DIRSYÂÔ: SÂDRIYÔ
DISTYÂÔ: DÂTISYÔ
DJLLOOO: DJOLOLO
DJLOOST: DJOLSOT
DKLTÊÎÔ: LÊKÔDÎT
DKMMOÂÂ: KOMÂDMÂ
DKMNOÂÂ: KONMÂDÂ
DKMNOÂÛ: DÛKOMÂN
DKNOTÊÎ: ÊKONDÎT
DKNOÇÊÔ: KOÇÔDÊN
DKOOPSÂ: ÂDOSKOP
DLMNÂÂÊ: NÂLÂDMÊ
DMNOOWÔ: WÔDOMON
         WONDOMÔ
DMNOWÔÔ: WÔDÔMON
         WÔDONMÔ
         WONDÔMÔ
DPSTÂÂÂ: PÂDÂSTÂ
EEEFKNT: ENFEKTE
EEEFLRT: REFLETE
EEEFNRY: ENFERYE
EEEFPRR: PREFERE
EEEGLRT: LEGETER
EEEINTT: ETENITE
EEEJLNS: SENLEJE
EEEJNNY: ENJENYE
EEEKLST: ESKELET
EEEKLYZ: EZEKYEL
EEEKMPS: PESMEKE
EEEKNTY: ENKYETE
EEEKPST: EKSEPTE
EEEKRST: SEKRETE
EEELLNT: LETENEL
EEELMTÂ: ELEMÂTE
EEELNST: ETENSEL
EEELPPR: REPEPLE
EEELRSZ: RESELEZ
EEELSVY: VESELYE
EEENNST: ESTENEN
EEENNTT: ENTENET
EEENPRT: PENETRE
EEENSTY: ESTENYE
EEEPPST: PESEPTE
EEEPRVZ: PREZEVE
EEEPTTT: PETETET
EEERRTT: RETRETE
EEERSTÊ: ÊTERESE
EEFFIKT: EFEKTIF
EEFGLNT: FLENGET
EEFIKLR: FRELIKE
EEFILRÇ: REFLEÇI
EEFIMNN: FEMINEN
EEFIMNY: ENFIMYE
EEFIRSS: RESESIF
EEFIRVY: FEVRIYE
EEFKLRS: REFLEKS
EEFKNOS: KONFESE
EEFKRTÂ: FREKÂTE
EEFLMNO: ENFOMEL
EEFLNOT: TELEFON
EEFLSTÛ: SÛFLETE
EEFMNNO: FENOMEN
EEFNNNR: FRENNEN
EEFNNNW: FWENNEN
EEFOPSW: PWOFESE
EEFRYZÊ: ÊFERYEZ
EEGGLNO: GENGOLE
EEGGNNN: GENGENN
EEGIJLN: NEGLIJE
EEGIMRS: GREMESI
EEGINRY: NEGRIYE
EEGISSZ: EGZESIS
EEGISTZ: EGZISTE
EEGLMRÂ: REGLEMÂ
EEGLNNZ: ZENGLEN
EEGLOTT: OLTEGET
EEGNNNR: GRENNEN
EEGNNPW: PENGWEN
EEGNNPÇ: PENÇENG
EEGNNVÛ: GÛVENEN
EEGNOSY: NEGOSYE
EEIILMN: ELIMINE
EEIJJPR: PREJIJE
EEIJKNT: JENETIK
EEIJLRY: RELIJYE
EEIKLPR: REPLIKE
EEIKLPS: ESPLIKE
EEIKLRS: RESIKLE
EEIKLTT: LETIKET
EEIKMNR: MERIKEN
EEIKNRV: EKRIVEN
EEIKOPT: IPOTEKE
EEIKPRS: EKSPIRE
EEIKRSY: RESKIYE
EEIKSSZ: EKZESIS
EEILMST: METELIS
EEILNST: ENSILTE
EEILPRZ: PLEREZI
EEILSTÑ: ESTELIÑ
EEILSVY: LESIVYE
EEIMNPR: ENPRIME
EEIMPRT: PERIMET
EEIMPRZ: MEPRIZE
EEIMPSÂ: EMÂSIPE
EEIMTZÇ: ÇEMIZET
EEINNTV: ENTEVNI
EEINPPY: PEPINYE
EEINPRT: PENTIRE
EEINPTY: PYETINE
EEINRYZ: REZIYEN
EEINSST: ENSISTE
EEINSTV: ENVESTI
EEIPRRS: RESPIRE
EEIPRSY: SIPERYE
EEIPSST: PESISTE
EEIRRST: RETRESI
EEIRSTZ: REZISTE
EEIRSYZ: SERIZYE
EEIRTVÂ: ÂVERITE
EEIRTYZ: ZETRIYE
EEJLRTÂ: LETRÂJE
EEJMOTW: JEWOMET
EEJMOTY: JEYOMET
EEJMRYÊ: JEREMYÊ
EEJNNYÊ: ÊJENNYE
         ENJÊNYE
EEJNORS: JERENOS
EEJNOSY: JESYONE
EEJNRSÂ: ENJERÂS
EEJNRSÔ: JERENÔS
EEJOPTW: PWOTEJE
EEJRTYÊ: JERETYÊ
EEKKLOT: KOLEKTE
EEKKNTÔ: KÔNEKTE
EEKLORT: REKOLTE
EEKLRTÔ: LEKÔTRE
EEKLRZÛ: ZEKÛREL
EEKLSSÂ: EKSELÂS
EEKLSYÔ: ELEKSYÔ
EEKLTWÔ: ELEKTWÔ
EEKMNSY: SENKYEM
EEKMNYZ: KENZYEM
EEKMRST: EKSTREM
EEKNNPS: KEPENNS
EEKNORT: REKONET
EEKNORY: KOREYEN
EEKNOSV: KONSEVE
EEKNOSY: KESYONE
         KONSEYE
EEKNRTY: KRETYEN
EEKNSTÛ: ESTEKÛN
EEKOPTW: PEWOKET
EEKPRST: PRETEKS
EEKPRSÔ: KÔPRESE
EEKPSTÊ: ÊSPEKTE
EEKSTYÂ: ÂKSYETE
EEKTVZÛ: KEVÛZET
EELMPWY: PWELYEM
EELMRYÂ: REYELMÂ
EELNNPY: PLENYEN
EELNOPS: PESONEL
EELNRVÛ: RENÛVLE
EELOPTW: PWOLETE
EELOPTZ: ZEPOLET
EELORTV: REVOLTE
EELORVV: REVOLVE
EELORYÇ: REÇOLYE
EELOVYZ: VOLEYEZ
EELPTTÊ: PELÊTET
EELPTZÂ: PLEZÂTE
EELSSTÊ: SELESTÊ
EELSSYÂ: ESÂSYEL
EEMMOTT: TEMOMET
EEMNNNS: SENMENN
EEMNNRÔ: RENÔMEN
EEMNORT: REMONTE
EEMNOSY: MONSEYE
EEMNSSÂ: SENSEMÂ
EEMNSTÛ: ESTENÛM
EEMNTVY: VENTYEM
EEMORTY: TEYOREM
EEMRTYZ: TREZYEM
EEMSTÂÇ: MEÇÂSTE
EENNNRT: TRENNEN
EENNNÂÇ: ÂÇENNEN
EENNORS: RENONSE
EENNPPP: PENPENP
EENNRTZ: ZETRENN
EENNRTÛ: RETÛNEN
EENNSZÔ: SEZÔNEN
EENOPSY: ESPYONE
EENOPTW: PENETWO
EENOSYZ: SEZONYE
EENPRSS: PRENSES
EENPRVY: PREVYEN
EENPZÂÇ: ÇENPÂZE
EENRSTÛ: SÛTEREN
EENSTTÊ: ENTESTÊ
         ÊTESTEN
EEOPPRZ: PREPOZE
EEOPRWÇ: REPWOÇE
EEOPWYÊ: EWOPEYÊ
EEORRST: RESTORE
EEOSSTY: SOSYETE
EEPRSSÂ: ESPERÂS
EEPRTZÂ: PREZÂTE
EEPSTWÛ: WÛSPETE
EEPSTYÂ: SEPÂTYE
EERSTWÛ: RETWÛSE
EERSTÂÊ: ÊTERESÂ
EFFIOTY: FOTIFYE
EFGLMÂÔ: GÔFLEMÂ
EFGNNÔÛ: FÛGÔNEN
EFIIMNR: ENFIMRI
EFIIMNS: FEMINIS
EFIIMTÊ: ÊFIMITE
EFIIPRY: PIRIFYE
EFIJLNO: FILOJEN
EFIJRWÂ: JWIFERÂ
EFIKKSÔ: KÔFISKE
EFIKLOS: FOKSELI
EFIKMNO: KONFIME
EFIKMNÔ: KÔFIMEN
EFIKNOT: FONETIK
EFIKRRÔ: KÔFRERI
EFILMYÛ: FÛMILYE
EFILOST: LITOSFE
EFILOSY: OFISYEL
EFILRTÊ: ÊFILTRE
EFIMOTY: MOTIFYE
EFINNÇÔ: ÇIFÔNEN
EFINRTÂ: ENFÂTRI
EFIOPSW: PWOFESI
EFIOPTW: PWOFITE
EFIRRST: FRISTRE
EFIRSZÂ: FRÂSIZE
EFKMNOO: KONFOME
EFKNOOT: KONFOTE
EFKNOSÂ: KÂSONFE
EFKSYÊÔ: ÊFEKSYÔ
EFKSYÔÔ: KÔFESYÔ
EFKTWÔÔ: KÔFWÔTE
EFNNNOT: FONTENN
EFNNTÛÛ: TÛFÛNEN
EFNOSSÊ: SÊNESOF
EFNOTWY: FWONTYE
EFOOTWZ: ZEWOFOT
EGGLNOÊ: GÊNGOLE
EGGLORÊ: GRÊGOLE
EGGNNRÂ: GÂGRENN
EGGOYZÂ: GÂGOZYE
EGIINOR: INOGIRE
EGIJKNO: KONJIGE
EGIJLNÂ: NEGLIJÂ
EGIJSZÂ: EGZIJÂS
EGIKLOP: GOLKIPE
EGILMYÂ: MÂGLIYE
EGILOPT: EPIGLOT
EGILORY: LEGRIYO
EGIMNTÂ: MÂNIGET
EGIMRSÂ: GRÂMESI
EGINNYÔ: GIYÔNEN
EGINORZ: GERIZON
EGINOST: OGISTEN
EGIOPTZ: POTIGEZ
EGIRRÂÇ: GRÂÇIRE
EGJLOOY: JEYOLOG
EGJMRÂÂ: GRÂMÂJE
EGJNOÂÇ: ÇENÂGOJ
EGKLOTÂ: KOLÂGET
EGKLTÂÛ: KÛLÂGET
EGKSTZÂ: GÂKSTEZ
EGLNOOT: ETNOLOG
EGMMNÂÔ: MÂGÔMEN
EGMMNÔÔ: MÔGÔMEN
EGMMTÂÂ: GETMÂMÂ
EGMNVÂÛ: GÛVENMÂ
EGNNNOY: GYONNEN
EGNOSYÂ: NEGOSYÂ
EGNTVÂÛ: GÛVENÂT
EIIILMT: IMILITE
EIIILTT: ITILITE
EIIILTZ: ITILIZE
EIIIMNT: IMINITE
EIIIMNZ: IMINIZE
EIIINVV: INIVIVE
EIIJKNY: IJYENIK
EIIJKRZ: JEZIKRI
EIIJLMT: LEJITIM
EIIKKNT: KINETIK
EIIKKRT: KRITIKE
EIIKLMS: MISKILE
EIIKLOR: ORIKILE
EIIKMRÇ: ÇIMERIK
EIIKNYZ: KIZINYE
EIIKNZZ: KIZINEZ
EIIKPTZ: KIPIZET
EIIKTTÂ: ÂTIKITE
EIILMMT: MILIMET
EIILMNN: LIMINEN
EIILMNÊ: ELIMINÊ
EIILNNS: ENSILIN
EIILRST: ILISTRE
EIILRTT: TITIREL
EIIMNST: MINISTE
EIIMOPT: IPOTEMI
EIIMPRS: SIPRIME
EIIMPSS: PESIMIS
EIIMRST: SIMETRI
EIIMSTY: SIMITYE
EIINOWZ: IWONIZE
EIINRTT: TRINITE
EIIRSTZ: SITIREZ
EIIRTVY: VITRIYE
EIJKLOO: EKOLOJI
EIJKNOS: OKSIJEN
EIJLLSÂ: LÂJELIS
EIJLLVÂ: LEVÂJIL
EIJLOTV: VOLTIJE
EIJLRYÔ: RELIJYÔ
EIJLTÂÊ: ÊTELIJÂ
EIJMSTÂ: JISTEMÂ
EIJNRYÊ: NIJERYÊ
EIJPRST: PRESTIJ
EIJPSYÊ: EJIPSYÊ
EIJSTYÂ: JÂTIYES
EIKKLPÔ: KÔPLIKE
EIKKMSÊ: MEKSIKÊ
EIKKNOR: KONKERI
EIKKOPP: POKEPIK
EIKLLMO: MOLEKIL
EIKLMOP: POLEMIK
EIKLMOT: KILOMET
EIKLNOR: KOLERIN
EIKLORS: SIKRELO
EIKLOZÂ: ÂKILOZE
EIKLPSÂ: EKLÂPSI
EIKLRVÛ: KÛVRELI
EIKLSTÔ: KÔSILTE
EIKMNOO: EKONOMI
EIKMNOT: KONMITE
EIKMOST: KOSTIME
EIKMPRÔ: KÔPRIME
EIKMSTÂ: SEMÂTIK
EIKMSTÛ: MÛSTIKE
EIKNNRÂ: RIKÂNEN
EIKNOTV: KONVETI
EIKNOWZ: KEWOZIN
EIKNRYÂ: RÂKINYE
EIKNSTÂ: KÂNISTE
EIKNTYÔ: KÔTINYE
EIKNYZÎ: KÎZINYE
EIKOPRW: PWOKIRE
EIKORRT: RETORIK
EIKORTT: TRIKOTE
EIKORTY: KRIYOTE
EIKPRRS: PRESKRI
EIKPSTÔ: KÔSTIPE
EIKRTYÛ: KÛTIRYE
         KÛTRIYE
EILLNOT: TILENOL
EILMNTÛ: TÛLIMEN
EILMNVÂ: ÂVLIMEN
EILMOPS: POLEMIS
EILMOSW: WOMELIS
EILMPSÂ: SIPLEMÂ
EILMSTÂ: SITELMÂ
EILNNPÔ: PILÔNEN
EILNORS: LERISON
EILNSVÛ: NÛVELIS
EILNSYÛ: SÛLIYEN
EILOPPÊ: ÊPOPILE
EILOPST: PISTOLE
         POLITES
EILOPSY: POLISYE
EILORSY: RESIYOL
EILOTVY: VITYELO
EILPSVÛ: SIVÛPLE
EILRVZÔ: LIVREZÔ
EILSTYÔ: LEYÔTIS
EIMNNYÔ: MIYÔNEN
EIMNOSY: MISYONE
         MONSIYE
EIMPSYÔ: PEMISYÔ
EIMSSZÂ: SEZISMÂ
EIMSTTÂ: SÂTIMET
EIMSTYÊ: METSIYÊ
EINNOVW: VIWONEN
EINNVWÔ: VIWÔNEN
EINPPRS: PRENSIP
EINPSTÂ: PENITÂS
EINRYYÔ: REYINYÔ
EINSTWÔ: SENTIWÔ
EIOORTT: OTORITE
EIOORTZ: OTORIZE
EIOPRTT: TRIPOTE
EIOTTYÂ: ÂTOTIYE
EIPRSYÂ: REPIYÂS
EIPRVYÊ: PERIVYÊ
EIPSSTÂ: PESISTÂ
EIPTWYÊ: PWÊTIYE
EIRSSTT: TRISTES
EIRSSTÂ: RETISÂS
EITYÂÇÔ: EÇÂTIYÔ
EJLMNÂÛ: JÛNELMÂ
EJLOPWÔ: PWOLÔJE
EJNVVYÊ: JÊNVYEV
EKKKLNO: KELKONK
EKKLMOR: KOLKREM
EKKNNÂÂ: KÂKÂNEN
EKKNOOT: KOKONET
EKKNOOV: KONVOKE
EKKNORÂ: KONKERÂ
EKKNOSV: KONVEKS
EKKNOSY: KEKSYON
EKKNOSÂ: KONSEKÂ
EKKNTÔÔ: KÔKÔNET
EKKSSÂÔ: KÔSEKÂS
EKKSÂÊÔ: ÊKÔSEKÂ
EKLLNOO: KOLONEL
EKLMPÂÔ: KÔPLEMÂ
EKLNOOS: KONSOLE
EKLOPTÔ: KÔPLOTE
EKLOTWÔ: KÔTWOLE
EKLPTYÔ: PÔKTYEL
EKLPTÊÔ: ÊKÔPLET
EKMMTÂÂ: KETMÂMÂ
EKMNOPT: PONMKET
EKMNOPÔ: MÔKONPE
         MONKÔPE
EKMNOSÂ: KONMÂSE
         KONMESÂ
EKMNOTÂ: MEKONTÂ
EKMNSÔÔ: KÔSÔMEN
EKNOOPT: KONPOTE
EKNOOPZ: KONPOZE
EKNOORT: OKONTRE
EKNOPRS: KONPRES
EKNOSSY: SEKSYON
EKNOSSÂ: KONESÂS
EKNSSÂÔ: KÔNESÂS
EKNSYÂÔ: ENKÔSYÂ
EKNSYÊÔ: KESYÔNÊ
EKNTÇÛÛ: ÇÛKÛNET
EKOOPTW: PEKTOWO
EKOOPVW: PWOVOKE
EKOPSYÔ: ESKOPYÔ
EKOPSZÂ: EKSPOZÂ
EKPRSÂÔ: REKÔPÂS
EKPTYÔÛ: KÔPYÛTE
EKPTÂÊÔ: ÊKÔPETÂ
EKRRTÂÔ: RÂKÔTRE
EKRSTÂÔ: KÔSÂTRE
EKVYÂÊÔ: ÊKÔVEYÂ
ELMPSÂÊ: SÊPLEMÂ
ELMSVÂÛ: SÛLEVMÂ
ELNOOPZ: POLONEZ
ELNOOTV: VOLONTE
ELNOSSÂ: ENSOLÂS
ELORSTÂ: TOLERÂS
EMMTVÂÛ: MÛVMÂTE
EMNNORÊ: RENONMÊ
EMNNOTY: TYEMONN
EMNNPWÔ: PWÔMNEN
EMNOOPZ: MENOPOZ
EMNOOSY: EMOSYON
EMNOPSW: PWONMES
EMNOPTW: PWONMET
EMNRTÂÂ: ÂTRENMÂ
EMNRZÂÔ: REZÔNMÂ
EMOSTZÔ: MOTSEZÔ
EMOSWYÂ: WOMÂSYE
EMPRSÂÂ: ÂPRESMÂ
EMRSSÂÂ: RESÂSMÂ
EMRSYÂÂ: RÂSEYMÂ
EMRTTYÂ: TRÂTYEM
ENNNOPY: PYONNEN
ENNOPSW: PWENSON
ENNOPWW: WONPWEN
ENNOSZÊ: SEZONNÊ
ENNOTÇÔ: TOÇÔNEN
ENNPPÊÊ: PENPÊNÊ
         PÊPÊNEN
         PÊPENNÊ
ENNPTÂÔ: TÂPÔNEN
ENNTÂÇÔ: ÇÂTÔNEN
ENOOWYZ: EWOZYON
ENOPRSY: PRESYON
ENOPSTÂ: ENPOTÂS
ENOPSVW: PWOVENS
ENOPSYÂ: PÂSYONE
ENOPTTW: TWONPET
ENORSZÂ: REZONÂS
ENPRSVÂ: PREVNÂS
ENPTTÂÇ: ÂÇTPENT
ENRRSTÊ: RESTRÊN
ENSTYÂÔ: ENTÂSYÔ
ENSVYÂÔ: ENVÂSYÔ
ENTTÇÇÊ: TÇENTÇÊ
         TÇÊTÇEN
ENVVYYÊ: VYENVYÊ
         VYÊVYEN
EOOPPWZ: PWOPOZE
EOPRSYÔ: OPRESYÔ
EOPSSYÔ: POSESYÔ
EOPSTTÂ: POTESTÂ
EOPTYYÊ: ETYOPYÊ
EORRSTÂ: RESTORÂ
EPRSSTÂ: PRESTÂS
EPRSYÊÔ: ÊPRESYÔ
FFILOOZ: FILOZOF
FFIOTYÂ: FOTIFYÂ
FGINNOR: GRIFONN
FGINRÊÔ: GRIFÔNÊ
FGLNOOÂ: ÂGLOFON
FGNNOÊÛ: FÛGONNÊ
FIIIKRS: KRISIFI
FIIILSS: SIFILIS
FIIKNOT: KONFITI
FIIMNSÂ: FINISMÂ
FIIOPTZ: POZITIF
FIISYZÊ: FIZISYÊ
FIKLMOO: KOMILFO
FIKMNOÊ: KONFIMÊ
FIKORST: KRISTOF
FIKRSYÔ: FRIKSYÔ
FIKYZÔÔ: KÔFIZYÔ
FILNOOZ: ZILOFON
FILSYÂÊ: ÊFLIYÂS
FIMNSÂÂ: FINÂSMÂ
FINNOÇÊ: ÇIFONNÊ
FINRSÊÔ: FRISÔNÊ
FIRSYÂÔ: FRÂSIYÔ
FKLNOOY: KONFYOL
FKLOOYÔ: KÔFYOLO
FKNNNOO: KONFONN
FKNOSYÂ: KONFYÂS
FKNOSYÔ: FÔKSYON
         FONKSYÔ
GGILYÂÔ: GÂGLIYÔ
GGLNOOO: GONGOLO
GGMNOWÂ: GWOGMÂN
GGNOPÔÔ: PÔGÔGON
         PÔGONGÔ
         PONGÔGÔ
GGNRÂÊÊ: GÂGRÊNÊ
GIINOTY: GIYOTIN
GIKKNOO: KIKONGO
GIKLOOR: KORIGOL
GIKLOTÂ: KOLÂGIT
GILNOOP: POLIGON
GILNSÂÔ: LÔGÂNIS
GINNOYÊ: GIYONNÊ
GINORZÊ: GRIZONÊ
GINOTYÂ: TIYOGÂN
GINRZÊÔ: GRIZÔNÊ
GKKNOOO: GONOKOK
GKLNOOO: KONGOLO
GKNNOTÛ: KONNGÛT
GKNOTTÛ: KONTGÛT
