AAABKL: BAKALA
DEFINS: DISNEF
DEFINÛ: DEFÛNI
DEFIRÂ: DIFERÂ
DEFJNO: JONDEF
DEFNÊÛ: DEFÛNÊ
DEFRÂÔ: ÂFÔDRE
DEGIJT: DJIGET
DEGILÔ: LIGÔDE
DEGIOÇ: DEGOÇI
DEGLOÔ: GÔDOLE
DEGMNO: DOMENG
DEGMÂÂ: ÂMEGDÂ
DEGNNO: DEGONN
DEGNNÂ: NÂDENG
DEGNNÔ: DENGÔN
DEGNOS: SEGOND
DEGNOW: GWONDE
DEGTÂÛ: DEGÛTÂ
DEGTÇÔ: DETÇÔG
DEIIJR: DIRIJE
DEIIKV: DIVIKE
DEIINV: DIVINE
DEIINZ: DEZINI
DEIITV: DIVETI
DEIITY: DIYITE
DEIIVZ: DIVIZE
DEIJNÂ: ENDIJÂ
DEIJSÊ: ÊDIJES
DEIKLS: DELIKS
DEIKMO: KOMEDI
DEIKMÔ: KÔMEDI
DEIKRÂ: ÂDIREK
DEILLÊ: LELÊDI
DEILMO: DEMOLI
        MELODI
DEILOS: SOLIDE
DEILVÛ: EDÛVIL
DEILZÂ: ILÂDEZ
DEIMNO: DOMINE
DEIMNS: MEDSIN
DEIMOZ: MEZIDO
DEIMSÂ: SEDIMÂ
DEIMTÂ: DEMÂTI
DEIMTÛ: DEMITÛ
DEIMYZ: DIZYEM
DEIMZÂ: MEDIZÂ
DEINNO: INONDE
DEINOZ: DEZINO
DEINRV: VEDRIN
DEINÂÇ: ÇIENDÂ
DEIOPV: PEDOVI
DEIOSV: DIVOSE
DEIOVY: VIDEYO
DEIRST: DISTRE
DEIRSÊ: DERISÊ
DEISTÂ: DÂSITE
        DISETÂ
DEISYÔ: EDISYÔ
DEITVÂ: DEVÂTI
DEITYÂ: ETIDYÂ
DEJORÔ: DOJERÔ
DEJRÂÂ: ÂJÂDRE
DEJVÂÛ: DEVÂJÛ
DEKLSÊ: LÊDEKS
DEKLÂÊ: DELÊKÂ
DEKMOY: MEDYOK
DEKMOÂ: KOMÂDE
DEKMÂÔ: KÔMÂDE
DEKNNO: KODENN
DEKOTZ: DOKTEZ
DEKRÂÛ: KÛRÂDE
DEKSÂÔ: KÔDÂSE
DELMNO: LEMOND
DELMNÂ: LÂDMEN
DELMPÂ: PLEDMÂ
DELMÂÊ: LÂDEMÊ
DELNOW: WONDEL
DELOOT: DOLOTE
DELOZÂ: OLÂDEZ
DEMMOY: MEDYOM
DEMNNO: MONDEN
DEMNÂÊ: NÂDEMÊ
DEMNÂÔ: ÂDENMÔ
DEMTÂÜ: DETÜMÂ
DEMVÂÛ: DEVÛMÂ
DEMYZÛ: DÛZYEM
DENNNO: DONNEN
DENNOT: ENDONT
DENOST: SENTOD
DENOSW: NODWES
DENOTZ: TONDEZ
DENOYÂ: DÂNOYE
DENPÂÊ: DEPÂNÊ
DENSÊÛ: DESÛNÊ
DENTÊÛ: DETÛNÊ
DENÇÊÊ: DEÇÊNÊ
DEOOTY: TEYODO
DEOPRY: PERYOD
DEOPST: DESPOT
DEOSYZ: DYOSEZ
DEOSYÂ: ODYÂSE
DEOTTÂ: ETÂDOT
DEOTÇÑ: DETÇOÑ
DEOYZÂ: ÂDYOZE
DERSTÂ: TÂDRES
DERVÂÛ: RÂDEVÛ
DESSÂÊ: ÊDESÂS
DESTÔÔ: ÔDÔSTE
DESTÔÜ: ÜDÔSTE
DETTÂÎ: ÎTEDTÂ
DFIKÂÔ: KÔFIDÂ
DFINOR: FONDRI
DFMÂÂÂ: FÂDÂMÂ
DGIILV: GILDIV
DGINOR: GODRIN
DGIOPW: PWODIG
DGNNOÊ: DÊGONN
DGNORÂ: GRÂDON
DGNOWÛ: GÛDWON
DGNOÊÔ: GODÔNÊ
DIIJKO: KIJODI
DIIJLÂ: DILIJÂ
DIIJOS: SIJODI
DIIJRÂ: DIRIJÂ
DIIKTÂ: IDÂTIK
DIILPS: DIPLIS
DIIMOS: SIMIDO
DIINOV: DIVINO
DIIPST: DISPIT
DIISSW: SWISID
DIJMÂÂ: DÂMIJÂ
DIJSÂÊ: ÊDIJÂS
DIKKNO: KIDONK
DIKMOÂ: DOKIMÂ
DIKOOR: KORIDO
DIKSYÔ: DIKSYÔ
DILMOP: DIPLOM
DILMPÔ: DÔPLIM
DILMÂÔ: LÂMIDÔ
DIMNOO: DOMINO
DIMNOÂ: DOMINÂ
        NÂDOMI
DIMNÊÔ: MIDÔNÊ
DINOOZ: DINOZO
DINSÂÛ: ÂSÛDIN
DIOOPP: DIPOPO
DIOOWZ: DIWOZO
DIOPSÇ: ÇODPIS
DIOTTÂ: ÂTIDOT
DIPRÂÊ: ÊPRIDÂ
DIPSSÂ: DISPÂS
DIRSÂÂ: ÂDIRÂS
DIRTTÂ: DÂTRIT
DIRTÂÂ: DIRÂTÂ
DIRYÊÔ: ÔDIRYÊ
DISSTÂ: DISTÂS
DISWÂÇ: SÂDWIÇ
DJKLOÂ: JÂKLOD
DJVÂÛÛ: DÛVÂJÛ
DKMOÂÂ: KOMÂDÂ
DKMÂÂÔ: KÔMÂDÂ
DKNNOO: KONDON
DKNOOW: KODWON
DKNOTÎ: KONDÎT
DKNÛÛÛ: DÛKÛNÛ
DKTÊÎÔ: ÊKÔDÎT
DMNOÂÊ: ÂDÊMON
DMOOPY: PODYOM
DMOWÔÔ: WÔDOMÔ
DMWÔÔÔ: WÔDÔMÔ
EEEGSZ: EGZESE
EEEJNR: JENERE
EEEJRT: REJETE
EEEJTV: VEJETE
EEEKLR: EKLERE
EEEKLT: ELEKTE
EEEKSZ: EKZESE
EEELLT: TELELE
EEELLW: WELELE
EEELNT: ETENEL
EEELRS: RESELE
EEELVÇ: LEVEÇE
EEENNT: ENTENE
EEENNV: ENNEVE
EEENRT: ENTERE
EEENSS: NESESE
EEEPRR: REPERE
EEEPRS: ESPERE
EEEPRT: REPETE
EEEPRÇ: REPEÇE
EEEPST: ESEPTE
EEEPSV: PEVESE
EEERVY: REVEYE
EEERVZ: REZEVE
EEFFJO: FEFOJE
EEFFNN: FENFEN
EEFGRY: GREFYE
EEFIMS: EMISFE
EEFIRZ: REFIZE
EEFKSÔ: KÔFESE
EEFKTÊ: ÊFEKTE
EEFLMN: FENMEL
EEFLNO: OFELEN
EEFMNO: ENFOME
EEFMNÂ: ÂFEMEN
EEFMTÂ: FEMÂTE
EEFNNN: FENNEN
EEFNST: FESTEN
EEFRYÂ: EFREYÂ
EEFRYÊ: ÊFERYE
EEGILZ: EGZILE
EEGIMZ: EGZIME
EEGIRS: GERISE
EEGMNR: MERENG
EEGNNY: GENYEN
EEGNPR: GRENPE
EEGNPZ: ZEPENG
EEGNRS: SERENG
EEGNRY: GRENYE
EEGOSZ: EGZOSE
EEGRRT: REGRET
EEGRSÂ: ÂGRESE
EEGRTZ: ZEGRET
EEGTZÂ: EGZÂTE
EEIJKN: EJENIK
        ENEJIK
EEIJNS: EJENIS
EEIKLS: EKLESI
EEIKLZ: EKZILE
EEIKRT: EKRITE
EEIKRY: EKIREY
EEIKST: EKSITE
EEIKSV: ESKIVE
EEIKTT: ETIKET
EEILRS: SELERI
EEILRT: ILETRE
        LITERE
EEILST: ESTILE
EEIMNV: VENIME
EEIMPR: PERIME
EEIMRS: REMESI
EEIMRT: MERITE
EEIMRZ: MEZIRE
        REMIZE
EEIMST: ESTIME
EEINTV: ENVITE
EEIPRT: REPITE
EEIPTV: PETEVI
EEIRRT: RETIRE
EEIRST: RESITE
EEIRTV: VERITE
EEIRTY: ERITYE
        ETRIYE
EEISTV: SEVITE
EEISVY: SIVEYE
EEITVV: VETIVE
EEJLMÂ: LEJEMÂ
        MELÂJE
EEJLSÊ: SÊLEJE
EEJMNN: MENENJ
EEJNNN: JENNEN
EEJNNS: JENNES
EEJNYÊ: ÊJENYE
EEJRTÂ: ETRÂJE
EEKKNN: KENKEN
EEKKTT: TEKTEK
EEKLNR: KLEREN
EEKLOS: ESKOLE
EEKLSÂ: ÂSEKLE
EEKNNZ: KENZEN
EEKNOV: ENVOKE
EEKNRT: KRETEN
        TRENKE
EEKNST: EKSTEN
EEKNSW: KWENSE
EEKNSY: YESKEN
EEKOPT: POTEKE
EEKORT: RETOKE
EEKORV: REVOKE
EEKOTZ: EKZOTE
EEKPRS: PRESKE
EEKPSÂ: ESKÂPE
EEKRSÂ: ÂSEKRE
EEKRSÛ: SEKÛRE
EEKRTV: KREVET
EEKSTÜ: ESTEKÜ
EEKSVÔ: KÔSEVE
EEKSYÔ: KÔSEYE
EEKTYÊ: ÊKYETE
EELLMP: PELMEL
EELLSY: LESYEL
EELNPR: PELREN
        REPLEN
EELNST: TENSEL
EELORT: TOLERE
EELOVY: EVOLYE
        VOLEYE
EELPRÂ: LÂPERE
EELPSS: LESPES
EELSTÊ: ETÊSEL
EEMNNN: MENNEN
EEMNNR: RENMEN
EEMNNÇ: ÇEMENN
EEMNOR: RENOME
EEMNOT: MENOTE
        MONETE
EEMNRT: RENMET
EEMNTW: TEMWEN
EEMNVY: NEVYEM
EEMNVÂ: EVENMÂ
EEMOTY: METEYO
EEMPRY: PREMYE
EEMRST: METRES
EEMRTÔ: REMÔTE
EEMRZÂ: EREZMÂ
EEMSTY: ESTYEM
        SETYEM
EEMSTÂ: SEMÂTE
EEMSYZ: SEZYEM
EEMSYÔ: MÔSEYE
EEMTYZ: MYEZET
EENNNN: NENENN
EENNNS: SENNEN
EENNPY: PENYEN
EENNPÇ: PENÇEN
EENNST: ENSTEN
EENNSY: SENYEN
EENNTT: TENTEN
EENNTV: VENTEN
EENNTY: TENYEN
EENNVV: VEVENN
EENNVÂ: ENNEVÂ
EENNYY: YENYEN
EENOPT: ENPOTE
EENOPW: PEWONE
EENOPZ: ENPOZE
EENORZ: REZONE
EENPRT: PRENTE
EENPST: PENSET
EENPSY: PESYEN
EENPTW: PWENTE
EENPÇÑ: PENÇEÑ
EENRST: SENTRE
EENRSV: SEVREN
EENRSÔ: RENÔSE
EENRTZ: ZETREN
EENRTÂ: ÂTRENE
EENRTÜ: RETÜEN
EENSTW: SWENTE
EENTTÊ: ÊTENET
EENTVÂ: ENVÂTE
EENTYZ: ETZYEN
EENTYÇ: ÇYENTE
EENYZZ: ZENYEZ
EEOPRZ: REPOZE
EEORSY: OSERYE
EEPPTT: PETPET
EEPRSS: ESPRES
EEPRSÛ: REPÛSE
EEPRTÂ: ÂPETRE
        TÂPERE
EEPSTÂ: ÂPESTE
        ESPÂTE
EEPTTÂ: TÂPETE
EEPTZÂ: PEZÂTE
EERRTT: RETRET
EERSSÇ: SEÇRES
EERSSÛ: RESÛSE
EERTVÂ: EVÂTRE
EERTVÇ: ÇEVRET
EERTÇÛ: RETÛÇE
EESTVY: SEVYET
EESVYY: VYEYES
EESYÂÇ: EÇEYÂS
EFFILO: FOFILE
EFGILÂ: FILÂGE
EFGLNO: GONFLE
EFGLTÊ: FLÊGET
EFIILN: LEFINI
EFIILS: LISIFE
EFIIYZ: FIZIYE
EFIKMÔ: KÔFIME
EFIKNO: KONIFE
EFIKOS: OFISKE
        SIFOKE
EFILMO: EMOFIL
EFILOY: FIYOLE
EFILST: SIFLET
EFIMNÊ: FEMINÊ
EFIMYÊ: ÊFIMYE
EFIMZÂ: ÂFIZEM
EFINSÂ: FINÂSE
EFINSÛ: FÛNISE
EFIOSY: OFISYE
EFISYÂ: FIYÂSE
EFITZÂ: FÂTEZI
EFKMOÔ: KÔFOME
EFKNOR: KONFRE
EFKNOY: KONFYE
EFKNÂÂ: ÂFÂNKE
EFKORS: FRESKO
EFKOTÔ: KÔFOTE
EFKRSÂ: FREKÂS
EFKSÂÔ: KÂSÔFE
EFLMOÊ: ÊFOMEL
EFLNNÂ: FLÂNEN
EFLNOW: WONFLE
EFLOSÂ: SELOFÂ
EFLSTÛ: SÛFLET
EFMTÂÛ: ETÛFMÂ
EFNNRÊ: FRÊNEN
        FRENNÊ
EFNNTÔ: FÔTENN
EFNNWÊ: FWÊNEN
        FWENNÊ
EFNNÂÛ: ÂFÛNEN
EFNOPW: FOPWEN
EFNOST: FOSTEN
EFNOSY: FONSYE
EFNOSÂ: ÂFONSE
EFNOTY: FONTYE
EFNTÂÂ: ÂFÂTEN
EFNTÛÜ: TÛFÜEN
EFOPTW: PWOFET
EFORST: FOTRES
EFORTÇ: ÇOFRET
EFRSZÂ: FRÂSEZ
EFTWYÔ: FWÔTYE
EGGLOÊ: GÊGOLE
EGGNNÊ: GÊGENN
        GENGÊN
EGIJKÔ: KÔJIGE
EGIJOT: JIGOTE
EGIJZÂ: EGZIJÂ
EGILLZ: LEGLIZ
EGILMR: GRIMEL
EGIMNR: MIGREN
EGINOY: EGOYIN
EGINRT: ENTRIG
EGINRY: GRIYEN
EGINSÂ: SÂGINE
EGIOPT: POTIGE
EGIOSY: EGOYIS
EGIRST: TIGRES
EGIRSV: GREVIS
EGIRZÔ: GERIZÔ
EGJLNO: JONGLE
EGKNOR: KONGRE
EGKRTÂ: REKTÂG
EGKSTÂ: GÂKSTE
EGLNOZ: ZONGLE
EGLNSÎ: LENGÎS
EGLNZÊ: ZÊGLEN
        ZENGLÊ
EGLRTÂ: TRÂGLE
EGMNNO: GONMEN
EGMNOÂ: MÂGONE
EGMRTÂ: GRÂMET
EGNNOS: SEGONN
EGNNRÊ: GRÊNEN
        GRENNÊ
EGNNYÔ: GYÔNEN
EGNOOR: GONORE
EGNPWÊ: PÊGWEN
        PENGWÊ
EGNPÇÊ: PÊÇENG
        PENÇÊG
EGNRYÛ: GRENÛY
EGNSWÂ: SÂGWEN
EGOPRW: PWOGRE
EGOSSW: GWOSES
EGOSWY: GWOSYE
EIIJPT: JIPITE
EIIKLR: LEKIRI
EIIKLS: SIKILE
EIIKRT: EKRITI
EIILMT: MILITE
EIILMY: IMILYE
EIILNV: LINIVE
EIILTT: TITILE
EIINRY: REYINI
EIINSY: INISYE
EIIRST: ITERIS
        SITIRE
EIIRSY: REYISI
EIIRYZ: IZIRYE
EIITVZ: VIZITE
EIJKLO: JOLIKE
EIJKLÂ: ÂJELIK
EIJKOR: KORIJE
EIJLMP: PLIMJE
EIJLNY: LIJYEN
EIJLSÂ: ÂJELIS
EIJLTÂ: ÂTIJEL
EIJLVÂ: EVÂJIL
EIJMRÂ: REJIMÂ
EIJNNY: IJYENN
EIJNST: JISTEN
EIJNTW: JWENTI
EIJNTÂ: ÂTIJEN
EIJOPW: PEWOJI
EIJSSÛ: SEJÛSI
EIJSWZ: JWISEZ
EIKKNT: TEKNIK
EIKKRT: KRIKET
EIKKRÔ: KÔKERI
EIKKSZ: EKSKIZ
EIKLPS: EKLIPS
        KLIPSE
        PLISKE
EIKLPÂ: PELIKÂ
EIKLRY: KRIYEL
EIKLTÇ: ÇIKLET
EIKMOS: KOMISE
EIKMOT: KOMITE
EIKMPÂ: EKIPMÂ
EIKMRÊ: MERIKÊ
EIKMTÔ: KÔMITE
EIKNNO: ENKONI
EIKNNW: WIKENN
EIKNRS: ENSKRI
EIKNRY: KRINYE
EIKOPT: IPOTEK
EIKORT: EKRITO
EIKOSV: SIVOKE
EIKOWY: EWOYIK
EIKPSS: SISPEK
EIKPST: PISKET
EIKPSW: PWISKE
EIKRSÛ: SEKÛRI
EIKRVÊ: EKRIVÊ
EIKRYZ: KIRYEZ
EIKRYÂ: ÂKRIYE
EIKSTÂ: EKSITÂ
EIKTTÂ: KÂTITE
EIKTVÔ: KÔVETI
EIKTVÛ: KÛVETI
EILLPT: PLETIL
EILMMY: MILYEM
EILMNN: LENNMI
EILMNP: PLIMEN
EILMOW: LIMEWO
EILMPY: MILPYE
EILMRÂ: MERILÂ
EILMZÂ: LÂMIZE
EILNNS: SILENN
EILNSV: SILVEN
        VILSEN
EILNYÇ: ÇILYEN
EILOPP: POPILE
EILOSZ: IZOSEL
EILPRS: LESPRI
EILPRT: REPTIL
        TRIPLE
EILPWY: PYELWI
EILPYZ: PLIZYE
EILRST: LISTRE
EILRSÔ: LERISÔ
EILSTÊ: ÊSILTE
EILTVÛ: LÛVETI
EIMNNO: NEMONI
EIMNOT: MINOTE
        MONITE
EIMNOW: NIMEWO
EIMNRT: TRIMEN
EIMNRÂ: ÂRIMEN
EIMNST: METSIN
EIMNTÇ: TÇIMEN
EIMOTV: MOTIVE
EIMPRZ: MEPRIZ
EIMPRÊ: ÊPRIME
EIMRST: TRIMES
EIMSST: SISTEM
EIMSTÂ: SIMÂTE
EIMSYZ: SIZYEM
EIMSYÔ: MÔSIYE
EIMTYÂ: ÂMIYET
EINNPT: NEPTIN
EINNRT: TRENIN
EINOWY: EWOYIN
EINPRV: PREVNI
EINPTW: PWENTI
EINPYÂ: ÂNIPYE
EINRSY: SIRYEN
EINSTW: ENSTWI
EINTVÊ: ÊTEVNI
EIOPST: SIPOTE
EIOPSZ: SIPOZE
EIOPTZ: IPOTEZ
EIOPTÇ: ÇIPOTE
EIPPYÂ: PEPIYÂ
EIPRTÂ: REPÂTI
EIPRTÊ: PÊTIRE
EIPRYÂ: REPIYÂ
EIPYZÂ: PEYIZÂ
EIRTYZ: TRIYEZ
EIRVYÛ: ÛVRIYE
EIRYZÊ: REZIYÊ
EISSTÊ: ÊSISTE
EISTVÂ: ÂVITES
EISTVÊ: ÊVESTI
EISVYÂ: SIVEYÂ
EJJLNO: JENJOL
EJJMNÂ: JENJÂM
EJJNNÂ: JENNJÂ
EJLMÂÜ: JÜELMÂ
EJLNOP: PLONJE
EJMNNO: JENNOM
EJNORY: REJYON
EJNOSY: JESYON
EJNYÊÊ: ÊJÊNYE
EJOPTW: PWOTEJ
EJRSÂÊ: ÊJERÂS
EKKKLÔ: KELKÔK
EKKLOT: KOKTEL
EKKNNO: KOKENN
EKKNOR: KONKRE
EKKNOT: KONKET
EKKOOY: KOKOYE
EKKOST: KOTEKS
EKKOVÔ: KÔVOKE
EKKRÂÔ: KÔKERÂ
EKKSVÔ: KÔVEKS
EKKSYÔ: KEKSYÔ
EKKSÂÔ: KÔSEKÂ
EKLMOR: KREMOL
EKLMÂÛ: EKÛLMÂ
EKLNOP: KONPLE
EKLNOT: LEKONT
EKLNOW: KLEWON
EKLOOP: KOPELO
EKLORT: REKOLT
EKLORY: KREYOL
EKLOSÔ: KÔSOLE
EKLWÛÛ: WÛKÛLE
EKMMNÂ: KÂMENM
EKMNOO: EKONOM
EKMNOS: KONMES
EKMNTÛ: KÛTMEN
EKMORT: REKTOM
EKMOSÂ: KOMÂSE
        KOMESÂ
EKMOTÂ: KOMÂTE
EKMPTÔ: PÔMKET
EKMPÔÔ: MÔKÔPE
EKMSTÂ: SEKTÂM
EKMSYÊ: SÊKYEM
EKMSÂÔ: KÔMÂSE
        KÔMESÂ
EKMSÂÛ: KÛMÂSE
EKMTÂÔ: MEKÔTÂ
EKMYZÊ: KÊZYEM
EKNNNO: KONNEN
EKNNOY: KONYEN
EKNOPS: KONSEP
EKNORS: KRESON
EKNORT: KONTRE
        KRETON
EKNORY: KREYON
EKNOSY: KESYON
        KONSEY
EKNPSÊ: KEPÊNS
EKNTÂÛ: ENKÛTÂ
EKOPTÔ: KÔPOTE
EKOPYZ: KOPYEZ
EKOPZÔ: KÔPOZE
EKORTÔ: OKÔTRE
EKORYÊ: KOREYÊ
EKOSTW: ESTWOK
EKOSTÛ: SÛKOTE
EKOSWZ: ZEWOKS
EKOTTW: TWOKET
EKOTWÇ: KWOÇET
        KWOÇTE
EKPRSÔ: KÔPRES
EKRTYÊ: KRETYÊ
EKSSYÔ: SEKSYÔ
EKTÇÛÜ: ÇÛKÜET
ELMMZÂ: MÂMZEL
ELMNNO: LEMONN
        LONMEN
ELMOOZ: MOZOLE
ELMTÂÂ: LÂTEMÂ
ELNNNO: LONNEN
ELNNOT: TONNEL
ELNNPÂ: PLÂNEN
ELNOOP: POLONE
ELNOSÂ: ENSOLÂ
ELNOYZ: LYEZON
ELNPTÂ: PLÂTEN
ELNTYÂ: LYETNÂ
ELOOVW: OVEWOL
ELORST: SOTREL
ELOSTY: LOSTYE
ELOTVY: VYOLET
ELOTVÔ: VOLÔTE
ELPRÂÇ: ÇÂPREL
ELPSWÂ: SÂPWEL
ELPTÂÇ: PLÂÇET
ELPWÂÇ: ÇÂPWEL
ELRTTÛ: TÛTREL
ELSÂÇÛ: SÛLEÇÂ
EMMMNÂ: MENMMÂ
EMMNNÛ: NÛMENM
EMNNNO: MONNEN
        NONMEN
EMNNSÊ: SÊMENN
        SENMÊN
EMNORT: MONTRE
EMNOSW: OMWENS
EMNOSY: SONMEY
EMNOYZ: ONZYEM
EMNRÊÔ: RENÔMÊ
EMNSWÂ: ÂMWENS
EMNTYÔ: TYEMÔN
EMOPSW: PWOMES
EMOPTW: PWOMET
EMORTÂ: OTREMÂ
EMORZÂ: ÂMOREZ
EMOSYÔ: EMOSYÔ
EMPSTÂ: SEPTÂM
EMPSWÔ: PWÔMES
EMPTWÔ: PWÔMET
EMPÂÂÇ: ÂPEÇMÂ
EMRTTÂ: TRETMÂ
EMRZÂÛ: ÂMÛREZ
EMSSÂÊ: SÊSEMÂ
EMSTYÂ: SÂTYEM
EMSYÂÂ: ÂSEYMÂ
EMTTÂÛ: TÛMÂTE
EMTVYÊ: VÊTYEM
EMTVÂÛ: ÛVETMÂ
ENNNOS: SONNEN
ENNOPR: PRENON
        REPONN
ENNOPS: PESONN
ENNOPT: NENPOT
ENNOPY: PONYEN
ENNOST: SONNET
ENNOTW: NETWON
ENNOTÂ: ÂTONEN
ENNOWY: WONYEN
ENNPWÂ: NÂPWEN
ENNPYÔ: PYÔNEN
ENNRTÊ: TRÊNEN
        TRENNÊ
ENNÂÇÊ: ÂÇÊNEN
        ÂÇENNÊ
ENOORZ: OREZON
ENOPPY: PONPYE
ENOPRS: REPONS
ENOPSY: ESPYON
ENOPTW: TWONPE
ENOPTY: PETYON
        PONYET
        PYETON
ENOPTÂ: ENPOTÂ
ENOPWÇ: PWOÇEN
ENORTY: RENTYO
ENORVY: VORYEN
ENPPPÊ: PENPÊP
        PÊPENP
ENPPÂÂ: ÂPENPÂ
ENPRRÂ: REPRÂN
ENPRTÂ: ÂPRENT
        PRENTÂ
        PRETÂN
ENPSWÔ: PWENSÔ
ENPWWÔ: WÔPWEN
ENRSVÛ: SÛVREN
ENRTTÂ: TRÂTEN
ENRTZÊ: ZETRÊN
ENRTÂÛ: ÂTRENÛ
ENRTÊÛ: RETÛNÊ
ENSTYÛ: SÛTYEN
ENSYZÂ: ZÂSYEN
ENSZÊÔ: SEZÔNÊ
EOPPTW: PWOPTE
EOPRWÇ: REPWOÇ
EOPSTY: SOPTYE
EOTTYÂ: ÂTOTYE
EOWYZÔ: EWOZYÔ
EPRSSÊ: PRÊSES
EPRSYÔ: PRESYÔ
EPRSZÂ: PREZÂS
EPRVYÊ: PREVYÊ
EPTTWÔ: TWÔPET
EPTYÇÛ: TÇYÛPE
EPZÂÇÊ: ÇÊPÂZE
ERSSTÛ: SÛSTRE
ERSTVÂ: VÂTRES
ERSTÊÛ: SÛTERÊ
ERTTÂÂ: ÂTRETÂ
ESTTÊÊ: ÊTESTÊ
FFOOTT: TOFTOF
FFOOYY: FYOFYO
FGIINR: GRIFIN
FGINOR: GRIFON
FGINRÔ: GRIFÔN
FGNOSÛ: FONGÛS
FGNÊÔÛ: FÛGÔNÊ
FIIKTÔ: KÔFITI
FIIMNO: INIFOM
FIIMRÊ: ÊFIMRI
FIINTÛ: FÛNITI
FIKLNO: KONFLI
FIKMÊÔ: KÔFIMÊ
FIKOSÂ: OFISKÂ
FIKRSÂ: FRÂSIK
FILOPW: PWOFIL
FILORV: FRIVOL
FIMNOW: FWONMI
FINORS: FRISON
FINOST: FONTIS
FINOSY: FISYON
FINTÂÂ: ÂFÂTIN
FINÇÊÔ: ÇIFÔNÊ
FIRTÂÊ: ÊFÂTRI
FKLOYÔ: KÔFYOL
FKMNOO: KONFOM
FKNNOÔ: KÔFONN
        KONFÔN
FKNOYÂ: KONFYÂ
FKOSÇÛ: FOSKÛÇ
FKSYÂÔ: KÔFYÂS
FKSYÔÔ: FÔKSYÔ
FMOTWÂ: FWOTMÂ
FMRÂÂÇ: FRÂÇMÂ
FNNOTÊ: FONTÊN
FNOOPW: PWOFON
FNSÂÂÂ: ÂNÂFÂS
FNTÊÛÛ: TÛFÛNÊ
FRSSÂÛ: SÛFRÂS
GGIIRR: GRIGRI
GGLOOÔ: GÔGOLO
GGNRÂÊ: GÂGRÊN
GGPÔÔÔ: PÔGÔGÔ
GHINTÛ: TÛHING
GIIKNV: VIKING
GIIMNT: MITING
GIIMRÂ: IMIGRÂ
GIKKOÔ: KIKÔGO
GIKLOZ: GLIKOZ
GIKLÂÂ: ÂGLIKÂ
GILMSÂ: GLISMÂ
GILNOV: LONGVI
GILTÂÛ: ÂGLÛTI
GINNOS: SINNGO
GINORZ: GRIZON
GINOTÂ: ÂTIGON
GINYÊÔ: GIYÔNÊ
GIORST: GOSTRI
GIOSSW: GWOSIS
GIOSTÊ: OGISTÊ
GIOSWÂ: ÂGWOSI
GIRTYÂ: TRIYÂG
GKLMOO: GLOKOM
GKLOOÔ: KÔGOLO
GKNTÔÛ: KÔNGÛT
GKTTÔÛ: KÔTGÛT
GKWÂÛÛ: KÂGÛWÛ
GLNOTÛ: GLÛTON
GLNOWÛ: WÛLONG
GMMÂÊÔ: MÂGÔMÊ
GMMÊÔÔ: MÔGÔMÊ
GMNRÂÛ: GRÂMÛN
GMPWÂÛ: GWÛPMÂ
GMYÂÂÛ: MÂGÛYÂ
GNNOYÊ: GYONNÊ
GNOTYÂ: TYOGÂN
GOTVWÂ: GWOVÂT
IIIJJR: JIJIRI
IIIJLT: LITIJI
IIIJRÇ: ÇIRIJI
IIILNT: INITIL
IIIMPT: PITIMI
IIIPTT: TIPITI
IIJLVÂ: VIJILÂ
IIJNOR: ORIJIN
IIJSST: JISTIS
IIKKLM: KILMIK
IIKKLN: KLINIK
IIKKNP: PIKNIK
IIKKOZ: ZOKIKI
IIKKRT: KRITIK
IIKKTT: KITKIT
IIKLPZ: PIKLIZ
IIKLSS: SIKLIS
IIKLTZ: ZILTIK
IIKMST: MISTIK
IIKMTV: VIKTIM
IIKNOW: IWONIK
IIKNWZ: KWIZIN
IIKOPT: ITOPIK
IIKRWZ: RIZWIK
IIKSSÔ: SIKÔSI
IILLTT: LITLIT
IILMNÊ: LIMINÊ
IILMRV: MIRVIL
IILMTÔ: MILITÔ
IILMYÂ: IMILYÂ
IILNSÊ: ÊSILIN
IILOPT: IPOLIT
IILPSS: SIPLIS
IILPST: PISTIL
IILPWÛ: PIWÛLI
IILYZÔ: ILIZYÔ
IIMNRÂ: RIMINÂ
IINRTV: VITRIN
IINRTÛ: NÛRITI
IIPPRR: PRIPRI
IIPPÇÇ: PIÇPIÇ
IIPRSS: SIPRIS
IIPRSZ: SIPRIZ
IIPRTÛ: PÛRITI
IIPTZÛ: TÛPIZI
IJMTÂÂ: JÂTIMÂ
IJSSWÂ: JWISÂS
IKKKNO: KIKONK
IKKLOÇ: KOKLIÇ
IKKNOW: KWONIK
IKKOOT: KOKOTI
IKKOSS: KOKSIS
IKKRÂÔ: KÔKIRÂ
IKKSÎÛ: KÛSIKÎ
IKLMOS: MOLISK
IKLNOO: KOLONI
IKLNOS: SIKLON
IKLOVÂ: VILOKÂ
IKLOZÂ: ÂKILOZ
IKLRTÂ: TRÂKIL
IKMNOO: KIMONO
IKMNOS: KONMSI
IKMOST: KOSTIM
IKMSTÛ: MÛSTIK
IKNOPY: PIKYON
IKNOSY: KONSIY
IKNOVÂ: KÂNIVO
IKNRÂÊ: RIKÂNÊ
IKNTÂÔ: KÔTINÂ
IKOPTW: TWOPIK
IKOPWÔ: KOWÔPI
IKOSST: SIKSTO
IKOTTÂ: OTÂTIK
