AAABDENS: ANBASADE
EGGNNRÂÊ: GÂGRÊNEN
          GÂGRENNÊ
EGGORYZÂ: GRÂGOZYE
EGIILNRS: GLISERIN
EGIJKLNO: GLIKOJEN
EGIJLNSÂ: NEGLIJÂS
EGINNNOY: GIYONNEN
EGINNORZ: GRIZONEN
EGINNRZÔ: GRIZÔNEN
EGISSTZÂ: EGZISTÂS
EGMMNNOÂ: MÂGONMEN
EGMMNNOÔ: MÔGONMEN
          MONGÔMEN
EIIIJLMT: ILEJITIM
EIIIJNTV: VIJINITE
EIIJLPRV: PRIVILEJ
EIIJNRYÇ: ÇIRIJYEN
EIIJNSST: ENJISTIS
EIIKKMNO: KOMINIKE
EIIKLLRT: KILTIREL
EIIKLMNR: KRIMINEL
EIIKLSTT: TESTIKIL
EIIKLTTÂ: LÂTIKITE
EIIKMRST: SIMETRIK
EIIKNWYZ: KWIZINYE
EIILMNSY: MILISYEN
EIILNOPZ: POLINIZE
EIILOSTT: OSTILITE
EIILPRST: PERISTIL
EIILSSSY: SELSIYIS
EIIMNPRR: ENPRIMRI
EIIMNSYZ: MIZISYEN
EIINOPTZ: IPNOTIZE
          IPOTENIZ
EIINRSST: SINISTRE
EIIPRSZÂ: ISIPREZÂ
EIJJLOOY: JEYOLOJI
EIJKKLOO: EKOLOJIK
EIJKLOOS: EKOLOJIS
EIJLLOSY: LOJISYEL
EIJLNOOT: ETNOLOJI
EIJLNORY: RELIJYON
EIJLSTÂÊ: ÊTELIJÂS
EIJNNOTW: NITWOJEN
EIKKLNOP: KONPLIKE
EIKKMNOO: EKONOMIK
EIKLNOST: KONSILTE
EIKLOSTT: LESKOTIT
EIKLOSYÔ: ELOKISYÔ
EIKMNNOY: KOMINYEN
EIKMNOOS: EKONOMIS
EIKMNOOT: KOMINOTE
EIKMNOPR: KONPRIME
EIKNNOPT: NENPOTKI
EIKNNOTY: KONTINYE
EIKNNPÂÇ: PIÇKÂNEN
EIKNOPST: KONSTIPE
EIKNRSTÂ: KÂNISTER
EIKOPRSW: RESIPWOK
EIKRSTTÊ: ÊSTRIKTE
EIKRTYZÛ: KÛTIRYEZ
          KÛTRIYEZ
EILLPSVÛ: SILVÛPLE
EILNNNOP: PILONNEN
EILNORVZ: LIVREZON
EILNOSTW: SITWONEL
EILNOSTY: LEYONTIS
EILOSVYÔ: EVOLISYÔ
EILPRTZÂ: PLEZÂTRI
EIMNNNOY: MIYONNEN
EIMNOPSY: PEMISYON
EIMNRSTÂ: ENSTRIMÂ
EINNNOVW: VIWONNEN
EINNORYY: REYINYON
EINNOSTW: SENTIWON
EINOPRYZ: PRIZONYE
EINOPTWY: PWOTEYIN
EINORSTY: ISTORYEN
EINORTYÇ: OTRIÇYEN
EINOTTTW: TWOTINET
EINOTYÂÇ: EÇÂTIYON
EINPSTÂÂ: ÂPENITÂS
EIOPRTTY: TRIPOTYE
EIOPSSSW: PWOSESIS
EIOPVWZÊ: ÊPWOVIZE
EIPRRTZÂ: ÂTREPRIZ
EIPRSSTÊ: SÊTESPRI
EIPRVYZÔ: PREVIZYÔ
EIPSTTWÔ: TWÔPETIS
EIPSTYÂÔ: IPETÂSYÔ
EIRSSTZÂ: REZISTÂS
EJLNOOPW: PWOLONJE
EJMOPSYÂ: ÂJYOSPEM
EKKLMOOY: KOMOKYEL
EKKLNOOT: KOLOKENT
EKKNNOTÔ: KÔKONNET
          KONKÔNET
EKKNOSSÂ: KONSEKÂS
EKKNOSÂÊ: ÊKONSEKÂ
EKKNSYÊÔ: KEKSYÔNÊ
EKLMNOPÂ: KONPLEMÂ
EKLNOOPT: KONPLOTE
EKLNOOTW: KONTWOLE
EKLNOPTY: PONKTYEL
EKLNOPTÊ: ÊKONPLET
EKMNNOOP: MONKONPE
EKMNNOSÔ: KONSÔMEN
          KÔSONMEN
EKMNOOTW: KWONOMET
EKMOOSTW: ESKWOTOM
EKMSTYÂÊ: SÊKÂTYEM
EKNNOSSÂ: KONNESÂS
EKNNOSYÂ: ENKONSYÂ
EKNNOSYÊ: KESYONNÊ
EKNOOPSY: ESKOPYON
EKNOPRSÂ: REKONPÂS
EKNOPRSÔ: KORESPÔN
EKNOPTYÛ: KONPYÛTE
EKNOPTÂÊ: ÊKONPETÂ
EKNORRTÂ: RÂKONTRE
EKNORSTÂ: KONSÂTRE
EKNOVYÂÊ: ÊKONVEYÂ
EKNSSYÂÔ: ENKÔSYÂS
EKNVYÂÊÔ: ÊKÔVENYÂ
EKOPRSYÔ: PREKOSYÔ
EKPSSYÊÔ: ÊSPEKSYÔ
EKPSSYÔÔ: KÔSEPSYÔ
ELLOSVYÔ: VYOLÔSEL
ELNNOPTÔ: PLOTÔNEN
ELOPSTYÂ: POTÂSYEL
ELPRSYÊÔ: LÊPRESYÔ
EMNNNOPW: PWONMNEN
EMNNOPWÊ: PWOMÊNEN
          PWOMENNÊ
EMNNORZÂ: REZONNMÂ
EMNNPWÊÔ: PWÔMÊNEN
          PWÔMENNÊ
EMNNTVÂÊ: VÂTMÊNEN
          VÂTMENNÊ
EMNOOSTZ: MOTSEZON
EMNOPSTÂ: ESPOTMÂN
EMOSTTYÂ: TÂSYOMET
ENNNOOTÇ: TOÇONNEN
ENNNOPTÂ: TÂPONNEN
ENNNOTÂÇ: ÇÂTONNEN
ENNOOPSW: PWONONSE
ENNOSTYÂ: ENTÂSYON
ENNOSVYÂ: ENVÂSYON
ENNYZZÔÔ: ZÔZÔNYEN
ENOOPRSY: OPRESYON
ENOOPSSY: POSESYON
ENOPRSYÊ: ÊPRESYON
ENPRRTÂÂ: ÂTREPRÂN
EOOTTWYY: TYOTYOWE
EOPSSWYÔ: PWOSESYÔ
EOPSTTWÂ: PWOTESTÂ
EPRSTYÂÔ: PRETÂSYÔ
EPRSVYÂÔ: PREVÂSYÔ
FFIIINTÊ: ÊFINITIF
FFIILOOZ: FILOZOFI
FFKNOORÂ: FRÂKOFON
FGINNORÊ: GRIFONNÊ
FIIIMPRT: PRIMITIF
FIIINRTT: NITRITIF
FIIKSTYÂ: SYÂTIFIK
FIINSYÂÊ: ÊSINIFYÂ
FIIRTTZÂ: TRÂZITIF
FIISYYÂÊ: ÊSIYIFYÂ
FIJLMOOO: MOFOLOJI
FIKLLOOW: KLOWOFIL
FIKNOOOT: OTOFONIK
FIKNORSY: FRIKSYON
FIKNOYZÔ: KÔFIZYON
          KONFIZYÔ
FIKOOOPT: FOTOKOPI
FIKRSSÂÊ: FRÂSISKÊ
FINNORSÊ: FRISONNÊ
FINORSYÂ: FRÂSIYON
FIORSTÇÛ: ÇOFSÛRIT
FKLNOOOY: KONFYOLO
FKNNOOSY: FONKSYON
FLSTÂÇÛÛ: SÛFLÂTÇÛ
GGILNOYÂ: GÂGLIYON
GGNNOOPÔ: PÔGONGON
          PONGÔGON
          PONGONGÔ
GIKLSTÊÎ: LÊGÎSTIK
GILLOOPT: POLIGLOT
GILNNOSÂ: LONGÂNIS
GINNORZÊ: GRIZONNÊ
GMMNNOOÊ: MONGONMÊ
IIIILTTT: TILITITI
IIIKLMNS: MINISKIL
IIIKLOTT: OTIKILTI
IIJKLOOS: SIKOLOJI
IIJLOOST: SITOLOJI
IIJLSSTÊ: LÊJISTIS
IIKKPPRR: KRIPKRIP
IIKLORST: KLITORIS
IIKLRTVÂ: VÂTRIKIL
IIKMNOWÂ: IWONIKMÂ
IIKMNRÊÊ: ÊKRIMINÊ
IIKNPSTÂ: PÂNISTIK
IIKSYZÊÔ: ÊKIZISYÔ
IILLPPPP: PLIPPLIP
IILNOPPS: PONPILIS
IIMNNOSY: MINISYON
IIMNORST: MONITRIS
IINNOPSY: PINISYON
IINRSTYÔ: NITRISYÔ
IJLOOOWZ: ZOWOLOJI
IKKKOOOR: KOKORIKO
IKKLYZÔÔ: KÔKLIZYÔ
IKKNORSÂ: KONKIRÂS
IKLMNOPÂ: KONPLIMÂ
IKLNOOYZ: KOLIZYON
IKMNNOOY: KOMINYON
IKMNNOYÔ: KÔMINYON
          KONMINYÔ
IKMNOOSY: KOMISYON
IKMOORZÂ: ÂKRIMOZO
IKMSTÂÂÔ: KÔSÂTIMÂ
IKSSSTÂÔ: SIKÔSTÂS
ILMPWZÊÛ: PLIZÛMWÊ
ILNOOPSY: POLISYON
ILNOOSSY: SOLISYON
ILNOOSVY: VYOLONIS
IMMNOSVÂ: VONMISMÂ
INOOPSYZ: POZISYON
INOOVWZÂ: OZÂVIWON
INPRZÂÊÔ: ÂPRIZÔNÊ
IOOPSYZÔ: OPOZISYÔ
IOPVWYZÔ: PWOVIZYÔ
JKKSYÔÔÔ: KÔJÔKSYÔ
JLMOPWÂÔ: PWOLÔJMÂ
KLOOOOST: SOLOKOTO
KLOOOPPT: PLOKOTOP
KLOOOPTW: PWOTOKOL
KMMNNOOÔ: MÔKONMON
          MONKÔMON
          MONKONMÔ
KMMOOOWZ: KWOMOZOM
KMNNOOSÊ: KONSONMÊ
KMNOOPTÂ: KONPOTMÂ
KMNOSTÂÂ: KONSÂTMÂ
KMNOTTÂÂ: KONTÂTMÂ
KNOOOWYZ: KOWOZYON
KNOSSYÂÊ: ÊKONSYÂS
LLTTÇÛÛÛ: TÇÛLÛLÛT
LNNOOPTÊ: PLOTONNÊ
MMNNOOTT: TONMTONM
MNNOPWÊÊ: PWONMÊNÊ
MOOPSWYÔ: PWOMOSYÔ
NNNOOWWÊ: WONWONNÊ
NNOYZZÊÔ: ZONZÔNYÊ
          ZÔZONNYÊ
NPSSÂÂÛÛ: SÛSÛPÂNÂ
OOPPSWYÔ: PWOPOSYÔ
TTTYYÂÛÛ: ÂTYÛTYÛT
