AAAACCPR: ACCAPARA
AEEIMPRT: EMPETRAI
          REMPIETA
          TEMPERAI
AEEIMPRU: PAUMIERE
AEEIMPRZ: EMPARIEZ
          PAMERIEZ
AEEIMPSS: EMPESAIS
AEEIMPST: EMPESAIT
          EMPESTAI
          EMPIETAS
          ESTAMPIE
          ETAPISME
          PIETAMES
AEEIMPSX: EXPIAMES
AEEIMPSY: IMPAYEES
AEEIMPTT: EMPIETAT
          TEMPETAI
AEEIMPTX: EXEMPTAI
AEEIMPTZ: EMPATIEZ
          ETAMPIEZ
AEEIMRRR: REMARIER
AEEIMRRS: AMERRIES
          ARMERIES
          ARRIMEES
          REMARIES
          REMISERA
AEEIMRRT: MERITERA
          METRERAI
AEEIMRRU: MURERAIE
          REMUERAI
AEEIMRRX: REMIXERA
AEEIMRRZ: ARMERIEZ
          MARIEREZ
          RAMERIEZ
          REARMIEZ
          REMARIEZ
AEEIMRSS: AREISMES
          EMERISAS
          ESSAIMER
          MAIRESSE
          MASSIERE
          MESSIERA
          RESEMAIS
          RESSEMAI
          SEMERAIS
          SERIAMES
AEEIMRST: ARTEMISE
          EMERISAT
          ESTIMERA
          ETIRAMES
          ITERAMES
          MATIERES
          RESEMAIT
          SEMERAIT
AEEIMRSU: MAIEURES
          MARIEUSE
AEEIMRSX: MARXISEE
AEEIMRTT: EMERITAT
          EMETTRAI
AEEIMRTZ: MATERIEZ
          RETAMIEZ
AEEIMRZZ: MAZERIEZ
AEEIMSSS: EMIASSES
          ESSAIMES
          MESAISES
          SESAMIES
AEEIMSST: TAMISEES
AEEIMSSZ: ESSAIMEZ
AEEIMSTT: EMETTAIS
          EMIETTAS
          ETATISME
AEEIMSTU: AMITEUSE
AEEIMSTV: EVITAMES
AEEIMTTT: EMETTAIT
          EMIETTAT
AEEIMTUZ: AMEUTIEZ
          AZIMUTEE
AEEINNNT: ANTIENNE
AEEINNOR: ENNOIERA
AEEINNOS: OASIENNE
AEEINNOZ: NEONAZIE
AEEINNPR: PRAIENNE
AEEINNPS: PAIENNES
AEEINNPT: APTIENNE
AEEINNPZ: EPANNIEZ
AEEINNRS: ANSERINE
          ARIENNES
          ENRENAIS
          ENRESINA
          RENNAISE
AEEINNRT: ENRAIENT
          ENRENAIT
          ENTERINA
          ENTRAINE
          ETRENNAI
          TANNERIE
AEEINNRU: ANEURINE
          ENNUIERA
AEEINNRV: VANNERIE
          VANNIERE
AEEINNSS: NANISEES
AEEINNST: NEANTISE
          TANNISEE
AEEINNSV: AVIENNES
AEEINNTT: ENTAIENT
          TENAIENT
AEEINNTV: EVEINANT
          VENAIENT
AEEINNTX: ANNEXITE
AEEINNUV: NEUVAINE
AEEINNXZ: ANNEXIEZ
AEEINOPT: PIANOTEE
AEEINOPU: EPANOUIE
AEEINORR: RONERAIE
AEEINORT: NOTARIEE
AEEINORU: ENOUERAI
AEEINORX: ANOREXIE
          EXONERAI
AEEINORY: NOYERAIE
AEEINOSV: AVOINEES
AEEINOTU: OUATINEE
AEEINOUV: EVANOUIE
          INAVOUEE
AEEINPPR: PRIAPEEN
AEEINPPS: EPEPINAS
AEEINPPT: EPEPINAT
AEEINPQU: APNEIQUE
          PANIQUEE
AEEINPRS: EPINERAS
          EPRENAIS
          PANIERES
          PEINERAS
          PENSERAI
          RAPINEES
          REPENSAI
AEEINPRT: EPRENAIT
          PANETIER
          PANTIERE
          PARETIEN
          PENETRAI
          REPAIENT
AEEINPRZ: PANERIEZ
AEEINPSS: EPINASSE
          PEINASSE
AEEINPST: APNEISTE
          EPINATES
          PATINEES
          PEINATES
          PESAIENT
          SEPTAINE
AEEINPSU: PUNAISEE
AEEINPTT: PATIENTE
          PETAIENT
AEEINPTU: TAUPINEE
AEEINQSU: NIAQUEES
AEEINQTU: ENQUETAI
          QUETAINE
          TAQUINEE
AEEINQUX: AXENIQUE
AEEINRRS: ENSERRAI
          INSERERA
          REINSERA
          RENIERAS
          RESINERA
          SERINERA
AEEINRRT: AIRERENT
          ENTERRAI
          ENTRERAI
          ERRAIENT
          INERTERA
          RENAITRE
          RENTERAI
          RENTRAIE
          TERNAIRE
AEEINRRU: RAINUREE
AEEINRRV: ENIVRERA
          ENVERRAI
AEEINRRZ: RAINEREZ
AEEINRSS: ARSENIES
          ISERANES
          RENAISSE
          RENIASSE
          SENAIRES
AEEINRST: ARENITES
          ARETINES
          ARSENITE
          ARTESIEN
          ATERIENS
          ENTERAIS
          EREINTAS
          ETERNISA
          RATINEES
          RENIATES
          RETENAIS
          SERAIENT
          STEARINE
          TANIERES
          TRAINEES
AEEINRSU: EURASIEN
          SAUNIERE
AEEINRSV: ENERVAIS
          ENVIERAS
          RAVINEES
          REVENAIS
          VEINERAS
          VENERAIS
AEEINRSZ: ANISEREZ
AEEINRTT: ENTERAIT
          EREINTAT
          NATTIERE
          NITRATEE
          RAINETTE
          RENETTAI
          RETENAIT
          RETENTAI
          TARTINEE
          TEINTERA
          TENTERAI
AEEINRTU: ETERNUAI
AEEINRTV: ENERVAIT
          EVENTRAI
          INVETERA
          REVAIENT
          REVENAIT
          VANTERIE
          VENERAIT
AEEINRUZ: AUNERIEZ
AEEINRVZ: AVINEREZ
AEEINRYZ: ENRAYIEZ
AEEINSSS: AINESSES
AEEINSST: ESSAIENT
          SATINEES
          TANISEES
AEEINSSU: SANIEUSE
AEEINSSV: ENVIASSE
          VANISEES
          VEINASSE
          VESANIES
AEEINSSZ: ASSENIEZ
AEEINSTT: ANISETTE
          ATTINEES
          ENTETAIS
          SAINTETE
          TETANIES
          TETANISE
          TITANEES
AEEINSTV: ENVIATES
          EVENTAIS
          NAIVETES
          VEINATES
AEEINSTX: ANXIETES
          SEXAIENT
          TAXINEES
AEEINSTY: SEYAIENT
AEEINSUX: ANXIEUSE
AEEINSVZ: ENVASIEZ
AEEINTTT: ATTEINTE
          ENTETAIT
          TETAIENT
AEEINTTV: EVENTAIT
          VETAIENT
AEEINTUX: EXTENUAI
AEEINTVX: VEXAIENT
AEEINTZZ: ZEZAIENT
AEEIOPRR: OPERERAI
          REOPERAI
AEEIOPRU: EPOUAIRE
AEEIOPST: PATOISEE
AEEIOPSV: PAVOISEE
AEEIOPTY: APITOYEE
AEEIORRS: ROSERAIE
AEEIORRT: TOREERAI
AEEIORSS: OSERAIES
AEEIORTU: OUATERIE
AEEIORVZ: AVOIEREZ
AEEIPPRR: REPIPERA
AEEIPPRS: PEPIERAS
          PREPAIES
          PRIAPEES
AEEIPPRT: PAPETIER
          PERIPATE
          PIPETERA
AEEIPPRU: PAUPIERE
AEEIPPSS: APEPSIES
          PEPIASSE
AEEIPPST: PEPIATES
AEEIPPTU: PIPEAUTE
AEEIPQRU: EQUIPERA
          REEQUIPA
AEEIPQSU: APIQUEES
AEEIPRRR: REPAIRER
AEEIPRRS: EPIERRAS
          RAPERIES
          RAPIERES
          REPAIRES
          REPERAIS
AEEIPRRT: EPIERRAT
          ETRIPERA
          PRETERAI
          REPAITRE
          REPARTIE
          REPERAIT
AEEIPRRU: EPURERAI
AEEIPRRX: EXPIRERA
AEEIPRRZ: PARERIEZ
          PARIEREZ
          RAPERIEZ
          REPAIREZ
          REPARIEZ
AEEIPRSS: ASPIREES
          EPISSERA
          ESPERAIS
          PAIRESSE
          PARESIES
          PESERAIS
          PESSAIRE
          REPAISSE
          REPESAIS
AEEIPRST: ASPERITE
          ESPERAIT
          PESERAIT
          PESTERAI
          PETERAIS
          PIETERAS
          PIRATEES
          REPESAIT
          REPETAIS
AEEIPRSU: EPEURAIS
          EPUISERA
          PARIEUSE
AEEIPRSV: PREAVISE
AEEIPRSX: EXPIERAS
AEEIPRSZ: SAPERIEZ
          SEPARIEZ
AEEIPRTT: PATTIERE
          PETERAIT
          RAPIETTE
          REPETAIT
AEEIPRTU: EPEURAIT
          PIEUTERA
          TAUPIERE
AEEIPRTX: EXPATRIE
AEEIPRTZ: RETAPIEZ
          TAPERIEZ
AEEIPRUV: VIPEREAU
AEEIPRUZ: APEURIEZ
AEEIPRVZ: PAVERIEZ
          REPAVIEZ
AEEIPRXY: APYREXIE
AEEIPRYZ: PAYERIEZ
          REPAYIEZ
AEEIPSSS: ASEPSIES
          EPAISSES
          EPIASSES
AEEIPSST: APETISSE
          ASEPTISE
          PATISSEE
          PIETASSE
          TAPISSEE
AEEIPSSV: PASSIVEE
AEEIPSSX: EXPIASSE
AEEIPSTT: EPISTATE
          ETAPISTE
          PETASITE
          PIETATES
AEEIPSTV: EPAVISTE
AEEIPSTX: EXPIATES
AEEIQRRU: AREQUIER
          EQUARRIE
          EQUERRAI
AEEIQRSU: AREIQUES
          RESEQUAI
AEEIQRTU: QUETERAI
          REQUETAI
AEEIQSTU: ASTIQUEE
AEEIQSUZ: SQUEEZAI
AEEIQTTU: ETATIQUE
          ETIQUETA
AEEIQTUU: EQUEUTAI
AEEIRRRR: ARRIERER
AEEIRRRS: ARRIERES
          ERRERAIS
          SERRERAI
AEEIRRRT: ERRERAIT
          RETIRERA
          RETRAIRE
          TERRERAI
AEEIRRRV: REVERRAI
          REVIRERA
AEEIRRRZ: ARRIEREZ
AEEIRRSS: ARRISEES
          RASIERES
          SERIERAS
AEEIRRST: ARETIERS
          ETIRERAS
          ITERERAS
          RATIERES
          REITERAS
          RESTERAI
          RETERSAI
          RETRAIES
          STERERAI
          TARIERES
          TERSERAI
AEEIRRSV: ARRIVEES
          RAVIERES
          RESERVAI
          REVERAIS
          REVERSAI
          REVISERA
          SEVRERAI
          VERSERAI
AEEIRRSZ: ARISEREZ
          RASERIEZ
AEEIRRTT: ARTERITE
          ATTERRIE
          REITERAT
          RETRAITE
AEEIRRTV: ETRIVERA
          REVERAIT
          REVETIRA
          RIVETERA
AEEIRRTX: EXTRAIRE
AEEIRRTZ: ARRETIEZ
          RATERIEZ
          TARERIEZ
AEEIRRVZ: VARIEREZ
AEEIRRYZ: RAYERIEZ
AEEIRSSS: RESSAIES
          SERIASSE
AEEIRSST: ASTERIES
          ATRESIES
          ESTARIES
          ETIRASSE
          ITERASSE
          RATISSEE
          RETAISES
          SERIATES
          SIESTERA
          STARISEE
AEEIRSSU: AUSSIERE
          ESSUIERA
AEEIRSSV: ASSERVIE
          RAVISEES
          VASIERES
          VESSERAI
AEEIRSSX: SEXERAIS
AEEIRSSZ: ASSIEREZ
          REASSIEZ
AEEIRSTT: ARIETTES
          ATTIREES
          ETATISER
          ETIRATES
          ITERATES
          SAIETTER
          TESTERAI
          TETERAIS
          TRAITEES
AEEIRSTU: ESTUAIRE
          SAUTERIE
          SAUTIERE
AEEIRSTV: AVERTIES
          ESTIVERA
          EVITERAS
          REVETAIS
          SAVETIER
          VARIETES
AEEIRSTX: EXISTERA
          EXTASIER
          EXTRAIES
          SEXERAIT
          SEXTERAI
AEEIRSTZ: ZESTERAI
AEEIRSVV: RAVIVEES
AEEIRSVX: VEXERAIS
AEEIRSVZ: AVISEREZ
          VASERIEZ
AEEIRSZZ: RAZZIEES
AEEIRTTT: ATTITREE
          TETERAIT
AEEIRTTV: REVETAIT
AEEIRTTX: EXTRAITE
          TEXTERAI
AEEIRTTZ: RETATIEZ
          TATERIEZ
AEEIRTUV: ETUVERAI
          EVERTUAI
AEEIRTUZ: ZIEUTERA
AEEIRTVX: VEXERAIT
AEEIRTXZ: RETAXIEZ
          TAXERIEZ
AEEIRVVZ: AVIVEREZ
AEEISSST: ASSISTEE
AEEISSTT: AISSETTE
          ASSIETTE
          ATTISEES
          ETATISES
          SAIETTES
          SATIETES
AEEISSTU: EUSTASIE
          TAISEUSE
AEEISSTV: EVITASSE
AEEISSTX: EXTASIES
AEEISSUV: AVISEUSE
AEEISSUY: YEUSAIES
AEEISSVV: EVASIVES
AEEISSYZ: ASSEYIEZ
          ESSAYIEZ
AEEISTTT: ETATISTE
          STEATITE
AEEISTTV: EVITATES
AEEISTTW: TWEETAIS
AEEISTTZ: ETATISEZ
          SAIETTEZ
AEEISTUX: TAXIEUSE
AEEISTXZ: EXTASIEZ
AEEITTTW: TWEETAIT
AEEIYZZZ: ZEZAYIEZ
AEEJJLNU: JEJUNALE
AEEJKMRS: JERKAMES
AEEJKRRS: JERKERAS
AEEJKRSS: JERKASSE
AEEJKRST: JERKATES
AEEJLLSV: JAVELLES
AEEJLMRU: JUMELERA
AEEJLNNO: JALONNEE
AEEJLNOR: ENJOLERA
AEEJLNTV: JAVELENT
AEEJLOSU: JALOUSEE
AEEJLRSU: SURJALEE
AEEJLRUV: JAVELEUR
AEEJMNST: JASEMENT
AEEJMNSU: JEUNAMES
AEEJMORS: JAMEROSE
          MAJOREES
AEEJMRSU: MAJEURES
AEEJMSST: MAJESTES
AEEJNORU: AJOURNEE
AEEJNRRT: EJARRENT
AEEJNRST: JASERENT
AEEJNRSU: JEUNERAS
AEEJNRTT: REJETANT
AEEJNSSU: JEUNASSE
AEEJNSTU: JEUNATES
AEEJNTTU: JAUNETTE
AEEJOPRR: PEJORERA
AEEJORRU: REJOUERA
AEEJORSU: AJOUREES
AEEJORTU: RAJOUTEE
AEEJOSTU: AJOUTEES
AEEJPPRZ: JAPPEREZ
AEEJPPSU: JAPPEUSE
AEEJPRRU: PARJUREE
AEEJPRSZ: JASPEREZ
AEEJQTTU: JAQUETTE
AEEJRRRT: JARRETER
AEEJRRST: JARRETES
AEEJRRTT: JARRETTE
AEEJRRTZ: JARRETEZ
          JARTEREZ
AEEJRSSZ: JASSEREZ
AEEJRSTT: JETTERAS
AEEJRSTU: RAJUSTEE
          REAJUSTE
AEEJRZZZ: JAZZEREZ
AEEJSSST: JETASSES
AEEJSSSU: JASEUSES
          JASSEUSE
AEEJSSTT: JASETTES
AEEJSSTU: AJUSTEES
AEEKKRRT: TREKKERA
AEEKLMMU: MAMELUKE
AEEKLMRS: ALKERMES
AEEKLMRT: TELEMARK
AEEKLNRT: TERLENKA
AEEKMORT: KERATOME
AEEKMRRT: MARKETER
AEEKMRST: MARKETES
AEEKMRTT: MARKETTE
AEEKMRTZ: MARKETEZ
AEEKNNSY: KENYANES
AEEKNRSS: SNEAKERS
AEEKORST: KERATOSE
AEEKPRSS: SPEAKERS
AEEKPRSU: SPEAKEUR
AEEKRRST: STREAKER
AEEKRSSU: EUSKERAS
AEEKSSTU: SKATEUSE
AEELLLMO: MALLEOLE
AEELLLMS: LAMELLES
AEELLLNP: PLANELLE
AEELLLNY: ALLYLENE
AEELLLQU: LAQUELLE
AEELLMMS: MAMELLES
AEELLMNU: MANUELLE
AEELLMPS: PELLAMES
AEELLMPU: PAUMELLE
AEELLMRS: MARELLES
AEELLMRT: MARTELLE
AEELLMRU: MAURELLE
          RALLUMEE
AEELLMSS: SELLAMES
AEELLMSU: ALLUMEES
AEELLMTT: MALLETTE
AEELLNNS: ANNELLES
AEELLNNU: ANNUELLE
AEELLNNV: VANNELLE
AEELLNPT: PANTELLE
AEELLNRT: ALLERENT
AEELLNTV: VANTELLE
AEELLORU: LAUREOLE
AEELLOSU: ALLOUEES
AEELLOSV: ALVEOLES
AEELLPPR: RAPPELLE
AEELLPPS: APPELLES
AEELLPRS: PELLERAS
AEELLPRU: PLEURALE
AEELLPSS: PELLASSE
AEELLPST: PASTELLE
          PATELLES
          PELLATES
          PELLETAS
AEELLPTT: PELLETAT
AEELLQRU: QUERELLA
AEELLRRZ: RALLEREZ
AEELLRSS: SELLERAS
AEELLRST: RATELLES
AEELLRSU: ALLUREES
AEELLRTZ: TALLEREZ
AEELLSSS: SELLASSE
AEELLSST: SELLATES
AEELLSTT: ATTELLES
AEELLSTU: LUTEALES
          SAUTELLE
AEELLSTV: TAVELLES
AEELLSUV: VALLEUSE
AEELLSVV: VELLAVES
AEELMMNO: MELANOME
          MELOMANE
AEELMMNR: MALMENER
AEELMMNS: MALMENES
AEELMMNT: EMMELANT
          EMMENTAL
AEELMMNZ: MALMENEZ
AEELMMPR: EMPALMER
AEELMMPS: EMPALMES
AEELMMPZ: EMPALMEZ
AEELMMSU: EMULAMES
          MAMELUES
          MEULAMES
AEELMNNS: MANNELES
AEELMNOR: NEMORALE
AEELMNOS: MELANOSE
AEELMNPT: EMPALENT
          LAPEMENT
AEELMNRT: LAMENTER
          LAMERENT
          MATERNEL
          RALEMENT
          REMELANT
AEELMNRU: NUMERALE
AEELMNST: LAMENTES
          MANTELES
          MELANTES
          MENTALES
          SALEMENT
AEELMNSY: AMYLENES
AEELMNTT: MANTELET
AEELMNTV: LAVEMENT
AEELMNTZ: LAMENTEZ
AEELMNUV: MALVENUE
AEELMOPS: POELAMES
AEELMOPU: AMPOULEE
AEELMORT: MOLETERA
AEELMOSU: MAUSOLEE
AEELMOTT: MATELOTE
AEELMPQU: MALPEQUE
AEELMPRS: EMPERLAS
          PERLAMES
AEELMPRT: EMPERLAT
          EMPLATRE
AEELMPRU: EMPALEUR
AEELMPRZ: LAMPEREZ
          PALMEREZ
AEELMPSS: SAMPLEES
AEELMPST: MEPLATES
AEELMPTT: PALMETTE
AEELMRRT: MARTELER
AEELMRST: MARTELES
AEELMRSU: EMULERAS
          MEULERAS
          MUSELERA
AEELMRSZ: SLAMEREZ
AEELMRTT: MARTELET
AEELMRTX: EXTREMAL
AEELMRTZ: MALTEREZ
          MARTELEZ
AEELMRUX: MERLEAUX
AEELMSSS: MELASSES
AEELMSST: LESTAMES
AEELMSSU: EMULASSE
          MALUSSEE
          MEULASSE
          MUSEALES
          SLAMEUSE
AEELMSTU: EMULATES
          MALTEUSE
          MEULATES
AEELMTTU: AMULETTE
AEELNNNT: ANNELENT
AEELNNOT: ETALONNE
          TALONNEE
AEELNNRT: LANTERNE
AEELNNRU: ANNELURE
AEELNNST: ANNELETS
AEELNNSU: ANNULEES
AEELNNSX: SEXENNAL
AEELNNTV: ENLEVANT
AEELNORR: ENROLERA
AEELNORT: ENTOLERA
AEELNORU: ALEURONE
AEELNORV: ENVOLERA
AEELNOST: ENOLATES
AEELNOTV: VOLANTEE
AEELNPQU: PLANQUEE
AEELNPRS: EPERLANS
AEELNPRT: ALPERENT
          LAPERENT
          PANTELER
          PATERNEL
          PERLANTE
          REPLANTE
AEELNPRY: PYRALENE
AEELNPRZ: PLANEREZ
AEELNPST: PANTELES
          PELANTES
          PLANETES
          PLANTEES
AEELNPSU: PLANEUSE
AEELNPSZ: PLANEZES
AEELNPTU: EPAULENT
AEELNPTX: EXPLANTE
AEELNPTZ: PANTELEZ
AEELNQSU: SQUALENE
AEELNRRT: ALTERNER
          RALERENT
AEELNRST: ALTERNES
          LANERETS
          RESALENT
          SALERENT
          STERNALE
AEELNRSU: NEURALES
AEELNRSV: VERNALES
AEELNRTT: ALERTENT
          ALTERENT
          RATELENT
          RELATENT
          TALERENT
AEELNRTV: LAVERENT
          RELAVENT
          RELEVANT
          REVALENT
          REVELANT
          VENTRALE
AEELNRTX: RELAXENT
AEELNRTY: LAYERENT
          RELAYENT
AEELNRTZ: ALTERNEZ
AEELNRUZ: ALUNEREZ
AEELNSTT: LATENTES
AEELNSTV: LEVANTES
AEELNSUZ: AZULENES
AEELNTTT: ATTELENT
AEELNTTV: TAVELENT
AEELNTTX: EXALTENT
          TELEXANT
AEELNTUV: EVALUENT
AEELOPRR: PREORALE
AEELOPRS: POELERAS
AEELOPRT: PELOTERA
AEELOPRV: VARLOPEE
AEELOPSS: POELASSE
          SALOPEES
AEELOPST: PALOTEES
          POELATES
AEELORRT: TOLERERA
AEELORRU: AUREOLER
          RELOUERA
AEELORRV: REVOLERA
          VEROLERA
AEELORSS: SOLEARES
AEELORST: OESTRALE
          OLEASTRE
AEELORSU: AUREOLES
AEELORSZ: AZEROLES
AEELORTV: VOLETERA
AEELORUV: EVOLUERA
AEELORUZ: AUREOLEZ
AEELOSSS: ASSOLEES
AEELOSSU: SAOULEES
AEELOSTU: ALEOUTES
AEELOSTV: SOLVATEE
AEELOTTU: ALOUETTE
AEELPPRR: RAPPELER
AEELPPRS: RAPPELES
AEELPPRU: PEUPLERA
          REPEUPLA
AEELPPRZ: PALPEREZ
          RAPPELEZ
AEELPQSU: PLAQUEES
AEELPRRR: REPARLER
AEELPRRS: PERLERAS
          REPARLES
AEELPRRT: REPLATRE
AEELPRRU: PLEURERA
AEELPRRV: PRELAVER
AEELPRRZ: PARLEREZ
          REPARLEZ
AEELPRSS: PERLASSE
          PRELASSE
          PRESALES
          RELAPSES
AEELPRST: ALPESTRE
          PALESTRE
          PERLATES
          PLATREES
          PRELATES
          SALPETRE
AEELPRSU: ASPERULE
          PARLEUSE
AEELPRSV: PRELAVES
          PRELEVAS
          PREVALES
          VESPERAL
AEELPRTU: PLATEURE
AEELPRTV: PRELEVAT
AEELPRUV: PREVALUE
AEELPRVZ: PRELAVEZ
          PREVALEZ
AEELPSSS: PELASSES
AEELPSST: SEPTALES
AEELPSTT: LAPETTES
          PALETTES
          PELTASTE
AEELPSTU: SPATULEE
AEELPSTZ: SPAETZLE
AEELPTTU: PAULETTE
AEELQRUZ: LAQUEREZ
AEELQSTU: TALQUEES
AEELQSUU: LAQUEUSE
AEELRRRU: LEURRERA
AEELRRSV: REVERSAL
AEELRRTT: LETTRERA
AEELRRTU: RATELEUR
          URETERAL
          URETRALE
AEELRRUV: LEVURERA
AEELRRUY: RELAYEUR
AEELRSST: LESTERAS
AEELRSSU: ALESEURS
          ALESURES
          LASUREES
          RALEUSES
AEELRSSZ: LASSEREZ
AEELRSTY: STEARYLE
AEELRSUV: REVALUES
          SURELEVA
AEELRSUZ: SALUEREZ
AEELRSVZ: VALSEREZ
AEELRTTV: LEVRETTA
AEELRTTZ: LATTEREZ
AEELRTUV: TAVELURE
AEELRTUX: EXULTERA
AEELRTUZ: ZELATEUR
AEELRUVX: LEVREAUX
AEELSSSS: LESASSES
AEELSSST: ALTESSES
          LESTASSE
AEELSSSU: ELUASSES
          SALEUSES
AEELSSSV: LEVASSES
          VELASSES
AEELSSTT: LESTATES
AEELSSTV: VESTALES
AEELSSUV: LAVEUSES
          VALSEUSE
AEELSSUX: ASEXUELS
AEELSSUY: LAYEUSES
AEELSTTT: ATTELETS
AEELSTTU: ALUETTES
          TALUTEES
AEELSTTV: LAVETTES
AEELSTTY: LAYETTES
AEEMMMRS: MAREMMES
AEEMMNNT: EMMENANT
AEEMMNRS: REMMENAS
AEEMMNRT: ARMEMENT
          MEMERANT
          REMMENAT
AEEMMORR: REMEMORA
AEEMMOSS: ASSOMMEE
AEEMMPRU: EMPAUMER
AEEMMPSS: SPAMMEES
AEEMMPSU: EMPAUMES
AEEMMPUZ: EMPAUMEZ
AEEMMRRU: EMMURERA
AEEMMRST: EMMETRAS
          METRAMES
AEEMMRSU: REMUAMES
AEEMMRTT: EMMETRAT
AEEMMRTU: AMERTUME
AEEMMSTT: STEMMATE
AEEMNNOS: ANEMONES
          SAMOENNE
AEEMNNOY: MONNAYEE
AEEMNNPR: EMPANNER
AEEMNNPS: EMPANNES
          EMPENNAS
AEEMNNPT: EMPENNAT
AEEMNNPZ: EMPANNEZ
AEEMNNRS: MARENNES
AEEMNNRT: RAMENENT
          REMANENT
AEEMNNST: MENANTES
AEEMNNTT: ENTAMENT
          MANNETTE
AEEMNOPT: PETOMANE
AEEMNOQU: MANOQUEE
AEEMNORS: RAMONEES
          ROMANEES
AEEMNORU: ENAMOURE
AEEMNOSU: ENOUAMES
          SAUMONEE
AEEMNPRT: APREMENT
          EMPARENT
          PAMERENT
          PAREMENT
AEEMNPSS: PENSAMES
AEEMNPST: EMPESANT
          SAPEMENT
AEEMNPTT: EMPATENT
          ETAMPENT
          TAPEMENT
AEEMNPTV: PAVEMENT
AEEMNPTY: PAYEMENT
AEEMNQSU: MANQUEES
AEEMNRRS: RAMENERS
AEEMNRRT: ARMERENT
          MATERNER
          RAMERENT
          RAREMENT
          REARMENT
          RENTAMER
AEEMNRRU: REMUNERA
AEEMNRRZ: MARNEREZ
AEEMNRST: ENTRAMES
          MATERNES
          RASEMENT
          RENTAMES
          RESEMANT
          SARMENTE
AEEMNRSU: ENUMERAS
          MARNEUSE
AEEMNRTT: MATERENT
          RETAMENT
AEEMNRTU: ENTAMURE
          ENUMERAT
          REMUANTE
AEEMNRTY: RAYEMENT
AEEMNRTZ: MATERNEZ
          MAZERENT
          RENTAMEZ
AEEMNSSS: MENASSES
AEEMNSST: MESSEANT
AEEMNSTT: MANETTES
          TENTAMES
AEEMNTTT: EMETTANT
AEEMNTTU: AMEUTENT
AEEMOPRS: OPERAMES
AEEMOPRT: AMETROPE
          EMPOTERA
AEEMOPUY: PAUMOYEE
AEEMORST: TOREAMES
AEEMORTT: EMOTTERA
          TERATOME
AEEMORTY: ATERMOYE
AEEMORUY: ROYAUMEE
AEEMOSST: MATOSSEE
AEEMOSTT: STEATOME
          TOMATEES
AEEMOTUZ: MAZOUTEE
AEEMPPRR: EPAMPRER
AEEMPPRS: EPAMPRES
AEEMPPRT: PREEMPTA
AEEMPPRZ: EPAMPREZ
          MAPPEREZ
AEEMPRRS: PARSEMER
AEEMPRRT: RETREMPA
          TREMPERA
AEEMPRRZ: RAMPEREZ
AEEMPRSS: ASPERMES
          EMPRESSA
          PARSEMES
AEEMPRST: EMPETRAS
          ESTAMPER
          PRETAMES
          TEMPERAS
AEEMPRSU: EPURAMES
          SERAPEUM
AEEMPRSZ: PARSEMEZ
AEEMPRTT: ATTREMPE
          EMPATTER
          EMPETRAT
          TEMPERAT
AEEMPRTU: ETAMPEUR
          ETAMPURE
AEEMPRUZ: PAUMEREZ
AEEMPRVZ: VAMPEREZ
AEEMPSST: EMPESTAS
          ESTAMPES
          PESTAMES
AEEMPSTT: EMPATTES
          EMPESTAT
          TEMPETAS
AEEMPSTU: AMPUTEES
AEEMPSTX: EXEMPTAS
AEEMPSTZ: ESTAMPEZ
AEEMPTTT: TEMPETAT
AEEMPTTX: EXEMPTAT
AEEMPTTZ: EMPATTEZ
AEEMQRRU: REMARQUE
AEEMQRSU: MARQUEES
AEEMQRTU: MARQUETE
AEEMQRUZ: MAQUEREZ
AEEMQSSU: MASQUEES
          SQUAMEES
AEEMQSTU: QUETAMES
AEEMQTTU: MAQUETTE
AEEMRRRZ: MARREREZ
AEEMRRSS: SERRAMES
AEEMRRST: METRERAS
          STREAMER
          TERRAMES
AEEMRRSU: MESURERA
          REMESURA
          REMUERAS
          RESUMERA
          SURARMEE
AEEMRRTT: REMETTRA
          TREMATER
AEEMRRTU: RAMEUTER
          RETAMEUR
AEEMRRTV: VARMETRE
AEEMRRTZ: TRAMEREZ
AEEMRRUY: MAREYEUR
AEEMRRUZ: AMUREREZ
AEEMRSSS: RESSEMAS
AEEMRSST: MASSETER
          MASTERES
          METRASSE
          RESSEMAT
          RESTAMES
          STEAMERS
          STERAMES
          STREAMES
          TERSAMES
AEEMRSSU: ARMEUSES
          MESUSERA
          RAMEUSES
          REMUASSE
AEEMRSSV: SEVRAMES
          VERSAMES
AEEMRSSZ: MASSEREZ
AEEMRSTT: EMETTRAS
          METRATES
          RAMETTES
          TREMATES
AEEMRSTU: ETAMEURS
          ETAMURES
          MATUREES
          RAMEUTES
          REMUATES
          STEAMEUR
          TRAMEUSE
AEEMRSTV: METAVERS
AEEMRSTY: METAYERS
AEEMRSTZ: STREAMEZ
AEEMRSUU: SAUMUREE
AEEMRSUY: MAYEURES
AEEMRSUZ: AMUSEREZ
AEEMRTTZ: TREMATEZ
AEEMRTUZ: RAMEUTEZ
AEEMSSSS: SEMASSES
AEEMSSSU: ASSUMEES
          MASSEUSE
AEEMSSSV: VESSAMES
AEEMSSTT: MASSETTE
          TESTAMES
AEEMSSTU: MATEUSES
AEEMSSTX: SEXTAMES
AEEMSSTZ: ZESTAMES
AEEMSSUU: AMUSEUSE
AEEMSTTU: AMUSETTE
AEEMSTTX: TEXTAMES
AEEMSTTZ: MAZETTES
