AAAABDIRRT: ABATARDIRA
AEEENRSSSV: ENERVASSES
            VENERASSES
AEEENRSSTT: RENETTASSE
            RETENTASSE
AEEENRSSTU: ETERNUASSE
AEEENRSSTV: EVENTRASSE
AEEENRSSTY: ESSAYERENT
            REESSAYENT
AEEENRSSTZ: ENTASSEREZ
AEEENRSTTT: RENETTATES
            RETENTATES
AEEENRSTTU: ENTARTEUSE
            ETERNUATES
            RESEAUTENT
AEEENRSTTV: EVENTRATES
AEEENRSTUV: AVENTUREES
AEEENRSTUX: EXTENUERAS
AEEENRTTTW: RETWEETANT
AEEENRTTTZ: ATTENTEREZ
AEEENRTTUZ: ATTENUEREZ
AEEENRTTVZ: NAVETTEREZ
AEEENRTYZZ: ZEZAYERENT
AEEENSSSTT: ENTETASSES
AEEENSSSTV: EVENTASSES
AEEENSSSUU: NAUSEEUSES
AEEENSSTTT: ETETASSENT
AEEENSSTUX: EXTENUASSE
AEEENSSVVY: VEVEYSANES
AEEENSTTUV: NAVETTEUSE
AEEENSTTUX: EXTENUATES
AEEEOOPRRT: AEROPORTEE
AEEEOPRRRS: REOPERERAS
AEEEOPRRSS: REOPERASSE
AEEEOPRRST: REOPERATES
AEEEOPRRSX: REEXPOSERA
AEEEOPRRVZ: EVAPOREREZ
AEEEOPRTUX: POETEREAUX
AEEEPPRRRT: PERPETRERA
AEEEPPRRRZ: PREPAREREZ
AEEEPPRRST: RAPPRETEES
AEEEPPRRTU: PERPETUERA
AEEEPPRRTZ: APPRETEREZ
AEEEPPRRYZ: PREPAYEREZ
AEEEPPRSTU: APPRETEUSE
AEEEPQRSTU: PARQUETEES
AEEEPQRTTU: PAQUERETTE
AEEEPQRTUZ: PAQUETEREZ
AEEEPQSTUU: PAQUETEUSE
AEEEPRRRSV: PRESERVERA
AEEEPRRSSS: REPERASSES
AEEEPRRSSV: PERSEVERAS
AEEEPRRSSZ: PARESSEREZ
            REPASSEREZ
AEEEPRRSTV: PERSEVERAT
AEEEPRRTTT: TETRAPTERE
AEEEPRRTTX: PRETEXTERA
AEEEPRSSSS: ESPERASSES
            REPESASSES
AEEEPRSSST: REPETASSES
            TREPASSEES
AEEEPRSSSU: EPEURASSES
            PARESSEUSE
            REPASSEUSE
AEEEPRSSTZ: PETASSEREZ
AEEEPRSSUX: PESSEREAUX
AEEEPRSSXZ: EXPASSEREZ
AEEEQRRRSU: EQUERRERAS
AEEEQRRSSU: EQUERRASSE
            RESEQUERAS
AEEEQRRSTU: EQUERRATES
            REQUETERAS
            TERRAQUEES
AEEEQRRTUZ: ETARQUEREZ
AEEEQRSSSU: RESEQUASSE
AEEEQRSSTU: REQUETASSE
            RESEQUATES
AEEEQRSSUZ: SQUEEZERAS
AEEEQRSTTU: REQUETATES
AEEEQRSTUU: EQUEUTERAS
AEEEQSSSUZ: SQUEEZASSE
AEEEQSSTUU: EQUEUTASSE
AEEEQSSTUZ: SQUEEZATES
AEEEQSTTUU: EQUEUTATES
AEEERRRRSS: RESSERRERA
AEEERRRSST: RETERSERAS
AEEERRRSSV: RESERVERAS
            REVERSERAS
AEEERRRSTV: RETRAVERSE
AEEERRRTTU: TERREAUTER
AEEERRRTTZ: ATTERREREZ
AEEERRSSST: RETERSASSE
            TERRASSEES
AEEERRSSSU: REASSUREES
AEEERRSSSV: RESERVASSE
            REVERASSES
            REVERSASSE
AEEERRSSTT: RETERSATES
AEEERRSSTU: RESTAUREES
AEEERRSSTV: RESERVATES
            REVERSATES
            TRAVERSEES
AEEERRSSTZ: ESSARTEREZ
AEEERRSSVZ: REVASSEREZ
AEEERRSSYZ: RESSAYEREZ
AEEERRSTTU: TERREAUTES
AEEERRSTUV: EVERTUERAS
AEEERRTTUZ: TERREAUTEZ
AEEERSSSSS: RESSASSEES
AEEERSSSSU: ASSESSEURE
AEEERSSSTU: RASETEUSES
            RESSAUTEES
AEEERSSSUV: REVASSEUSE
AEEERSSTTW: WASSERETTE
AEEERSSTUV: EVERTUASSE
AEEERSSTUZ: RAZETEUSES
AEEERSTTTZ: ATTESTEREZ
AEEERSTTUV: EVERTUATES
AEEESSSSSU: ASSESSEUSE
AEEESSSSUY: ESSAYEUSES
AEEESSSTTW: TWEETASSES
AEEESSTUUV: SAUVETEUSE
AEEESSUYZZ: ZEZAYEUSES
AEEFFFIINT: FIEFFAIENT
AEEFFFIIRS: FIEFFERAIS
AEEFFFIIRT: FIEFFERAIT
AEEFFFISSS: FIEFFASSES
AEEFFGILRZ: AFFLIGEREZ
AEEFFGINRT: GREFFAIENT
AEEFFGINRZ: EFFRANGIEZ
AEEFFGIRRS: GREFFERAIS
            REGREFFAIS
AEEFFGIRRT: GREFFERAIT
            REGREFFAIT
AEEFFGIRRZ: AGRIFFEREZ
            GRAFFERIEZ
AEEFFGIRST: GRAFFITEES
AEEFFGLLOR: ALLOGREFFE
AEEFFGNNRT: EFFRANGENT
AEEFFGNRRT: GRAFFERENT
            REGREFFANT
AEEFFGORTU: AUTOGREFFE
AEEFFGOSTU: ETOUFFAGES
AEEFFGRSSS: GREFFASSES
AEEFFGRSSU: GRAFFEUSES
AEEFFIILLU: EFFEUILLAI
AEEFFIILNT: EFFILAIENT
AEEFFIILRR: REAFFILIER
AEEFFIILRS: EFFILERAIS
            REAFFILIES
AEEFFIILRT: EFFILERAIT
AEEFFIILRZ: AFFILERIEZ
            AFFILIEREZ
            REAFFILIEZ
AEEFFIILSS: FALSIFIEES
AEEFFIILUZ: EFAUFILIEZ
AEEFFIIMNS: EFFEMINAIS
AEEFFIIMNT: EFFEMINAIT
AEEFFIINRR: RAFFINERIE
AEEFFIINRS: AFFINERIES
AEEFFIINRZ: AFFINERIEZ
AEEFFIIPRZ: PIAFFERIEZ
AEEFFIIRRT: EFFRITERAI
AEEFFILLOU: AFFOUILLEE
AEEFFILLSU: EFFEUILLAS
AEEFFILLTU: EFFEUILLAT
AEEFFILMNT: AFFILEMENT
AEEFFILNRT: AFFILERENT
AEEFFILNTU: EFAUFILENT
AEEFFILORS: AFFRIOLEES
AEEFFILORZ: AFFOLERIEZ
AEEFFILRRU: EFFLEURIRA
AEEFFILRSS: RAFFLESIES
AEEFFILRSU: EFFLEURAIS
AEEFFILRTU: EFFLEURAIT
AEEFFILRUV: EFFLUVERAI
AEEFFILRUZ: AFFLEURIEZ
            AFFLUERIEZ
            FAUFILEREZ
AEEFFILSSS: EFFILASSES
AEEFFILSSU: AFFILEUSES
AEEFFIMMRS: AFFERMIMES
AEEFFIMNNT: AFFINEMENT
            EFFEMINANT
AEEFFIMNPT: PIAFFEMENT
AEEFFIMPRR: EMPIFFRERA
AEEFFIMRRR: REAFFIRMER
AEEFFIMRRS: RAFFERMIES
            REAFFIRMES
AEEFFIMRRZ: AFFERMIREZ
            AFFIRMEREZ
            REAFFIRMEZ
AEEFFIMRSS: AFFERMISSE
AEEFFIMRST: AFFERMITES
            EFFRITAMES
AEEFFIMSSU: MAFFIEUSES
AEEFFINNRT: AFFINERENT
AEEFFINORS: OFFENSERAI
AEEFFINOTT: ETOFFAIENT
AEEFFINPRT: PIAFFERENT
AEEFFINRRZ: RAFFINEREZ
AEEFFINRSU: RAFFINEUSE
AEEFFINSSU: AFFINEUSES
AEEFFIORST: ETOFFERAIS
AEEFFIORTT: ETOFFERAIT
AEEFFIORTU: ETOUFFERAI
AEEFFIOSSS: ASSOIFFEES
AEEFFIPSSU: PIAFFEUSES
AEEFFIQRSU: AFFRIQUEES
AEEFFIRRST: EFFRITERAS
AEEFFIRSST: EFFRITASSE
AEEFFIRSTT: EFFRITATES
AEEFFIRSTU: AFFRUITEES
AEEFFIRSTZ: STAFFERIEZ
AEEFFIRTUZ: AFFUTERIEZ
AEEFFLMNOT: AFFOLEMENT
AEEFFLMSUV: EFFLUVAMES
AEEFFLNORT: AFFOLERENT
AEEFFLNQRU: EFFLANQUER
AEEFFLNQSU: EFFLANQUES
AEEFFLNQUZ: EFFLANQUEZ
AEEFFLNRTU: AFFLEURENT
            AFFLUERENT
            EFFLEURANT
AEEFFLNSTU: AFFLUENTES
AEEFFLORRZ: RAFFOLEREZ
AEEFFLORUZ: AFFLOUEREZ
AEEFFLRSUV: EFFLUVERAS
AEEFFLSSUV: EFFLUVASSE
AEEFFLSTUV: EFFLUVATES
AEEFFMNOSS: OFFENSAMES
AEEFFMOSTU: ETOUFFAMES
AEEFFNNORS: EFFANERONS
AEEFFNNORT: EFFANERONT
AEEFFNNOST: OFFENSANTE
AEEFFNORRS: AFFERERONS
            EFFARERONS
AEEFFNORRT: AFFERERONT
            EFFARERONT
AEEFFNORSS: OFFENSERAS
AEEFFNORST: AFFRONTEES
AEEFFNOSSS: OFFENSASSE
AEEFFNOSST: OFFENSATES
AEEFFNOTTU: ETOUFFANTE
AEEFFNRSTT: STAFFERENT
AEEFFNRTTU: AFFUTERENT
AEEFFORSTU: ETOUFFERAS
AEEFFOSSST: ETOFFASSES
AEEFFOSSTU: ETOUFFASSE
AEEFFOSTTU: ETOUFFATES
AEEFFRRSTU: AFFRETEURS
AEEFFRRTUZ: RAFFUTEREZ
AEEFFSSSTU: STAFFEUSES
AEEFFSSTUU: AFFUTEUSES
AEEFGGINRS: GRAFIGNEES
AEEFGGIRST: SEGREGATIF
AEEFGGLNOR: REGONFLAGE
AEEFGIIILR: GELIFIERAI
AEEFGIIIZZ: GAZEIFIIEZ
AEEFGIILMS: GELIFIAMES
AEEFGIILNR: FILIGRANEE
AEEFGIILNT: GELIFIANTE
AEEFGIILRS: FRAGILISEE
            GELIFIERAS
            LEGIFERAIS
AEEFGIILRT: LEGIFERAIT
AEEFGIILSS: GELIFIASSE
AEEFGIILST: GELIFIATES
AEEFGIIMNS: MAGNIFIEES
AEEFGIINNT: FEIGNAIENT
AEEFGIINRT: FIGERAIENT
AEEFGIINTZ: GAZEIFIENT
AEEFGIIRRR: REFRIGERAI
AEEFGIIRRU: REFUGIERAI
AEEFGIIRST: GRATIFIEES
AEEFGIIRSU: FIGUERAIES
AEEFGIIRTZ: GATIFIEREZ
AEEFGIISST: FASTIGIEES
AEEFGIISSZ: FIGEASSIEZ
AEEFGILLLZ: FLAGELLIEZ
AEEFGILLOZ: FLAGEOLIEZ
AEEFGILLSU: FEUILLAGES
AEEFGILMOR: EMORFILAGE
AEEFGILNRT: LEGIFERANT
AEEFGILPRS: PERSIFLAGE
AEEFGILRST: TREFILAGES
AEEFGIMMSU: FUMIGEAMES
AEEFGIMORR: FROMAGERIE
AEEFGIMORZ: GAZEIFORME
AEEFGIMRSU: REFUGIAMES
AEEFGIMRUV: VERMIFUGEA
AEEFGIMSSU: FUMIGEASSE
AEEFGIMSTU: FUMIGEATES
AEEFGINNOV: GENOVEFAIN
AEEFGINNST: FEIGNANTES
AEEFGINORT: FORGEAIENT
AEEFGINOTU: FOUGEAIENT
AEEFGINRRZ: FRANGERIEZ
AEEFGINRST: GENERATIFS
AEEFGINSSS: FEIGNASSES
AEEFGINSST: FIGEASSENT
AEEFGIORST: FAGOTIERES
AEEFGIORSU: FOUGERAIES
AEEFGIORTZ: FAGOTERIEZ
AEEFGIRRRS: REFRIGERAS
AEEFGIRRRT: REFRIGERAT
AEEFGIRRSU: GAUFRERIES
            REFUGIERAS
AEEFGIRRUZ: GAUFRERIEZ
AEEFGIRSSU: REFUGIASSE
AEEFGIRSTU: REFUGIATES
AEEFGIRTUZ: FATIGUEREZ
AEEFGISTTV: VEGETATIFS
AEEFGLLLNT: FLAGELLENT
AEEFGLLNOT: FLAGEOLENT
AEEFGLLOST: FLAGEOLETS
AEEFGLNORR: REGONFLERA
AEEFGLNORS: FLAGORNEES
AEEFGLNORU: RENFLOUAGE
AEEFGMNRRT: FRAGMENTER
AEEFGMNRST: FRAGMENTES
AEEFGMNRTZ: FRAGMENTEZ
AEEFGMOPRR: PREFORMAGE
AEEFGMORRS: FROMAGERES
            REFORMAGES
AEEFGNNORS: ENFARGEONS
AEEFGNNORU: ENFOURNAGE
AEEFGNNRRT: FRANGERENT
AEEFGNORRU: ENFOURRAGE
AEEFGNORTT: FAGOTERENT
AEEFGNRRTU: GAUFRERENT
AEEFGOPRRS: PERFORAGES
AEEFGORRRU: FOURRAGERE
AEEFGORRSU: FOURRAGEES
AEEFGORRTU: FERROUTAGE
AEEFGORSSS: FORGEASSES
AEEFGORSST: FORESTAGES
AEEFGORSSU: SERFOUAGES
AEEFGOSSSU: FOUGEASSES
AEEFGOSSTU: FAGOTEUSES
AEEFGRSSUU: GAUFREUSES
AEEFGRSTTU: GAUFRETTES
AEEFHHINRT: FAHRENHEIT
AEEFHIIIRT: ETHERIFIAI
AEEFHIIRST: ETHERIFIAS
AEEFHIIRTT: ETHERIFIAT
AEEFHILRSZ: FLASHERIEZ
AEEFHINNOT: FOEHNAIENT
AEEFHINORS: FOEHNERAIS
AEEFHINORT: FOEHNERAIT
AEEFHLNRST: FLASHERENT
AEEFHLSSSU: FLASHEUSES
AEEFHNOSSS: FOEHNASSES
AEEFIIILLS: FILIALISEE
AEEFIIILNR: LENIFIERAI
AEEFIIINRT: REIFIAIENT
AEEFIIIRRS: REIFIERAIS
AEEFIIIRRT: REIFIERAIT
AEEFIIIRRV: REVERIFIAI
            VERIFIERAI
AEEFIIIRST: ESTERIFIAI
AEEFIIKNRT: KIFERAIENT
AEEFIILLNS: ENFIELLAIS
AEEFIILLNT: ENFIELLAIT
AEEFIILLOT: LATIFOLIEE
AEEFIILLRU: FEUILLERAI
AEEFIILLRZ: FAILLERIEZ
AEEFIILLSZ: FASEILLIEZ
AEEFIILLTU: FEUILLETAI
AEEFIILMNS: LENIFIAMES
AEEFIILMPS: AMPLIFIEES
            PLASMIFIEE
AEEFIILMPX: EXEMPLIFIA
AEEFIILMRS: FAMILIERES
AEEFIILNNT: ENFILAIENT
            LENIFIANTE
AEEFIILNOT: OLEIFIANTE
AEEFIILNPS: PLANIFIEES
AEEFIILNRR: RENFILERAI
            RENIFLERAI
AEEFIILNRS: ENFILERAIS
            LENIFIERAS
            REENFILAIS
AEEFIILNRT: ENFILERAIT
            FILERAIENT
            REENFILAIT
            REFILAIENT
AEEFIILNSS: FINALISEES
            LENIFIASSE
AEEFIILNST: LENIFIATES
AEEFIILNTT: FILETAIENT
AEEFIILORX: EXFOLIERAI
AEEFIILPRZ: PALIFIEREZ
AEEFIILPST: PLASTIFIEE
AEEFIILQRU: LIQUEFIERA
            REQUALIFIE
AEEFIILQSU: QUALIFIEES
AEEFIILRRS: REFILERAIS
AEEFIILRRT: REFILERAIT
            RELIFTERAI
            TREFILERAI
AEEFIILRRZ: FLAIRERIEZ
AEEFIILRST: FILETERAIS
AEEFIILRSZ: SALIFIEREZ
AEEFIILRTT: FILETERAIT
AEEFIIMNRS: FEMINISERA
AEEFIIMRRZ: RAMIFIEREZ
AEEFIIMRSU: MUSEIFIERA
AEEFIIMRSV: VERIFIAMES
AEEFIIMRTU: TUMEFIERAI
AEEFIIMRTZ: MATIFIEREZ
AEEFIIMSSS: MASSIFIEES
AEEFIIMSSZ: MEFIASSIEZ
AEEFIINNRT: FREINAIENT
            INFANTERIE
            INFERAIENT
AEEFIINNRZ: ENFARINIEZ
            NANIFIEREZ
AEEFIINNTT: FEINTAIENT
            FIENTAIENT
AEEFIINNTZ: ZENIFIANTE
AEEFIINOPS: SAPONIFIEE
AEEFIINPRT: PIFERAIENT
AEEFIINPRZ: PANIFIEREZ
AEEFIINPUZ: PEAUFINIEZ
AEEFIINQTU: QUANTIFIEE
AEEFIINRRS: FARINIERES
            FREINERAIS
            INFERERAIS
AEEFIINRRT: FREINERAIT
            INFERERAIT
            INTERFERAI
AEEFIINRRU: REUNIFIERA
AEEFIINRRZ: FARINERIEZ
AEEFIINRSS: FINASSERIE
            FINASSIERE
AEEFIINRST: FEINTERAIS
            FESTINERAI
            FIENTERAIS
            INFESTERAI
AEEFIINRSU: ENSUIFERAI
AEEFIINRSV: ENFIEVRAIS
AEEFIINRTT: FEINTERAIT
            FIENTERAIT
AEEFIINRTV: ENFIEVRAIT
AEEFIINRTX: FIXERAIENT
            REFIXAIENT
AEEFIINRTZ: RENFAITIEZ
AEEFIINRZZ: NAZIFIEREZ
AEEFIIORST: FESTOIERAI
AEEFIIPRRT: PETRIFIERA
AEEFIIPRRX: PREFIXERAI
AEEFIIRRRT: TERRIFIERA
AEEFIIRRSS: FRAISIERES
AEEFIIRRSV: REVERIFIAS
            VERIFIERAS
            VERSIFIERA
AEEFIIRRSX: REFIXERAIS
AEEFIIRRSZ: FRAISERIEZ
AEEFIIRRTT: REITERATIF
AEEFIIRRTV: REVERIFIAT
AEEFIIRRTX: REFIXERAIT
AEEFIIRRTZ: RATIFIEREZ
            TARIFERIEZ
            TARIFIEREZ
AEEFIIRRUZ: AURIFIEREZ
AEEFIIRSSS: REIFIASSES
AEEFIIRSST: ESTERIFIAS
            STARIFIEES
AEEFIIRSSV: VERIFIASSE
AEEFIIRSTT: ESTERIFIAT
            STRATIFIEE
AEEFIIRSTV: VERIFIATES
AEEFIIRTTZ: ATTIFERIEZ
AEEFILLMSU: FEUILLAMES
            FUMAILLEES
AEEFILLNNT: ENFIELLANT
AEEFILLNRT: FAILLERENT
AEEFILLNRX: FRAXINELLE
AEEFILLNST: FASEILLENT
AEEFILLNTU: ENFUTAILLE
AEEFILLOSU: FOUAILLEES
AEEFILLRRR: FERRAILLER
AEEFILLRRS: FERRAILLES
AEEFILLRRT: FRETILLERA
AEEFILLRRZ: FERRAILLEZ
AEEFILLRSU: FEUILLERAS
            FUSELLERAI
AEEFILLSSS: FAISSELLES
AEEFILLSSU: FEUILLASSE
AEEFILLSTU: FEUILLATES
            FEUILLETAS
AEEFILLTTU: FEUILLETAT
AEEFILMMNZ: ENFLAMMIEZ
AEEFILMNNT: FINALEMENT
AEEFILMNRS: RENFILAMES
            RENIFLAMES
AEEFILMORR: EMORFILERA
AEEFILMORS: FORMALISEE
AEEFILMOSX: EXFOLIAMES
AEEFILMPTX: EXEMPLATIF
AEEFILMQSU: FAMELIQUES
            MALEFIQUES
AEEFILMRST: RELIFTAMES
            TREFILAMES
AEEFILNNRS: INFERNALES
AEEFILNNRT: REENFILANT
            RENFLAIENT
AEEFILNNSV: FLAVIENNES
AEEFILNORT: LOFERAIENT
AEEFILNOST: OLEFIANTES
AEEFILNOTX: EXFOLIANTE
AEEFILNRRS: RENFILERAS
            RENFLERAIS
            RENIFLERAS
AEEFILNRRT: FLAIRERENT
            RENFLERAIT
AEEFILNRSS: RENFILASSE
            RENIFLASSE
AEEFILNRST: RENFILATES
            RENIFLATES
            TRANSFILEE
AEEFILNRSU: ALUNIFERES
            ENFLEURAIS
            FALUNIERES
AEEFILNRTT: ANTIREFLET
AEEFILNRTU: ENFLEURAIT
            FLEURAIENT
            FLUERAIENT
            REFLUAIENT
AEEFILNRUZ: FALUNERIEZ
AEEFILNSSS: ENFILASSES
AEEFILNSSZ: ENFLASSIEZ
AEEFILNSTU: FUSELAIENT
AEEFILORRT: FOLATRERIE
AEEFILORRU: REFOULERAI
AEEFILORST: RAFISTOLEE
AEEFILORSX: EXFOLIERAS
AEEFILOSSX: EXFOLIASSE
AEEFILOSTX: EXFOLIATES
AEEFILPRRS: PERSIFLERA
AEEFILPRRZ: PARFILEREZ
AEEFILPRSX: PREFIXALES
AEEFILRRRU: REFLEURIRA
AEEFILRRST: RELIFTERAS
            TREFILERAS
AEEFILRRSU: FLEURERAIS
            REFLUERAIS
AEEFILRRTU: FLEURERAIT
            REFLUERAIT
AEEFILRRTX: EXFILTRERA
AEEFILRSSS: REFILASSES
AEEFILRSST: RELIFTASSE
            TREFILASSE
AEEFILRSSU: FLAIREUSES
            FUSELERAIS
AEEFILRSSZ: FERLASSIEZ
AEEFILRSTT: FLATTERIES
            RELIFTATES
            TREFILATES
AEEFILRSTU: FLEURETAIS
            FUSELERAIT
AEEFILRTTU: FLEURETAIT
AEEFILRTTZ: FLATTERIEZ
AEEFILSSST: FILETASSES
AEEFILSSUZ: FEULASSIEZ
AEEFIMMMRS: MAMMIFERES
AEEFIMMSTU: TUMEFIAMES
AEEFIMNNOS: FAMENNOISE
AEEFIMNNTU: ENFUMAIENT
AEEFIMNORS: FORAMINEES
AEEFIMNORT: FOMENTERAI
AEEFIMNRRS: RENFERMAIS
AEEFIMNRRT: FREEMARTIN
            RENFERMAIT
AEEFIMNRST: FERMENTAIS
            MANIFESTER
AEEFIMNRSU: ENFUMERAIS
AEEFIMNRTT: FERMENTAIT
AEEFIMNRTU: ENFUMERAIT
            ENUMERATIF
            FUMERAIENT
            REFUMAIENT
AEEFIMNSST: FESTINAMES
            INFESTAMES
            MANIFESTES
            MEFIASSENT
AEEFIMNSSU: ENSUIFAMES
AEEFIMNSTU: ANTIFUMEES
AEEFIMNSTZ: MANIFESTEZ
AEEFIMNTTT: ATTIFEMENT
AEEFIMORRR: REFORMERAI
AEEFIMORRS: AERIFORMES
AEEFIMORTU: MOUFETERAI
AEEFIMPRRU: PARFUMERIE
AEEFIMPRSX: PREFIXAMES
AEEFIMQRSU: SQUAMIFERE
AEEFIMRRST: FERRATISME
AEEFIMRRSU: REFUMERAIS
AEEFIMRRTU: REFUMERAIT
AEEFIMRSSS: FRIMASSEES
AEEFIMRSSZ: FERMASSIEZ
AEEFIMRSTU: TUMEFIERAS
AEEFIMSSTU: TUMEFIASSE
AEEFIMSTTU: TUMEFIATES
AEEFINNNRT: ENFARINENT
AEEFINNNST: ENFANTINES
AEEFINNPTU: PEAUFINENT
AEEFINNRRT: FARINERENT
AEEFINNRST: FARNIENTES
            STANNIFERE
AEEFINNRTT: RENFAITENT
AEEFINNRTV: ENFIEVRANT
AEEFINNSSX: SFAXIENNES
AEEFINNSTU: FAUSTIENNE
AEEFINNTTU: ENFUTAIENT
AEEFINNTUY: ENFUYAIENT
AEEFINOPRU: ENFIROUAPE
AEEFINORRS: AEROFREINS
AEEFINORRT: FORERAIENT
AEEFINQRTU: FREQUENTAI
AEEFINRRST: FRAISERENT
            FRATERNISE
            INTERFERAS
AEEFINRRSU: FUNERAIRES
            URANIFERES
AEEFINRRTT: FRATERNITE
            INTERFERAT
            TARIFERENT
AEEFINRSSS: FREINASSES
            INFERASSES
AEEFINRSST: FENESTRAIS
            FESTINERAS
            INFESTERAS
AEEFINRSSU: ENSUIFERAS
            FARINEUSES
AEEFINRSSZ: FINASSEREZ
AEEFINRSTT: FENESTRAIT
AEEFINRSTU: ENFUTERAIS
            FUSERAIENT
            REFUSAIENT
AEEFINRSTX: EXTRAFINES
AEEFINRTTT: ATTIFERENT
            FRETTAIENT
AEEFINRTTU: ENFUTERAIT
            FEUTRAIENT
            FURETAIENT
            REFUTAIENT
AEEFINRTUZ: INFATUEREZ
AEEFINSSST: FEINTASSES
            FESTINASSE
            FIENTASSES
            INFESTASSE
AEEFINSSSU: ENSUIFASSE
            FINASSEUSE
AEEFINSSTT: FESTINATES
            INFESTATES
AEEFINSSTU: ENSUIFATES
AEEFIOPRRR: PERFORERAI
            PROFERERAI
AEEFIORRRT: TORREFIERA
AEEFIORRTZ: FAROTERIEZ
AEEFIORSST: FESTOIERAS
AEEFIORSSV: FAVORISEES
AEEFIORTTU: FOUETTERAI
AEEFIORTYZ: FAYOTERIEZ
AEEFIPPRRZ: FRAPPERIEZ
AEEFIPRRSU: PERFUSERAI
AEEFIPRRSX: PREFIXERAS
AEEFIPRRTU: PUTREFIERA
AEEFIPRSSX: PREFIXASSE
AEEFIPRSTU: STUPEFAIRE
            STUPEFIERA
AEEFIPRSTX: PREFIXATES
AEEFIPSTTU: STUPEFAITE
AEEFIQRSTU: TRAFIQUEES
AEEFIRRRST: FERRATIERS
AEEFIRRSSU: REFUSERAIS
AEEFIRRSSZ: FERRASSIEZ
AEEFIRRSTT: FERRATISTE
            FRETTERAIS
AEEFIRRSTU: FEUTRERAIS
            FURETERAIS
            REFUSERAIT
            REFUTERAIS
AEEFIRRTTT: FRETTERAIT
AEEFIRRTTU: FEUTRERAIT
            FURETERAIT
            REFUTERAIT
            TARTUFERIE
AEEFIRSSSU: FRAISEUSES
AEEFIRSSSX: REFIXASSES
AEEFIRSSTT: FRAISETTES
AEEFIRSSTZ: FRETASSIEZ
            SATISFEREZ
AEEFIRSSUZ: FAUSSERIEZ
AEEFISSSSZ: FESSASSIEZ
AEEFISSTTU: STATUFIEES
AEEFJMORST: FORJETAMES
AEEFJNORTU: JEANFOUTRE
AEEFJORRTT: FORJETTERA
AEEFJORSST: FORJETASSE
AEEFJORSTT: FORJETATES
AEEFLLMMOR: FLAMMEROLE
AEEFLLNNOT: FONTANELLE
AEEFLLNSTU: FUSTANELLE
AEEFLLNTTU: FLATULENTE
AEEFLLRSSU: FUSELLERAS
AEEFLMMNNT: ENFLAMMENT
AEEFLMMNRR: RENFLAMMER
AEEFLMMNRS: RENFLAMMES
AEEFLMMNRZ: RENFLAMMEZ
AEEFLMMSTT: FLAMMETTES
AEEFLMNNOP: EMPLAFONNE
AEEFLMNORT: FROMENTALE
AEEFLMOPRT: PLATEFORME
AEEFLMORRZ: MORFALEREZ
AEEFLMORSU: MAROUFLEES
            REFOULAMES
AEEFLNNOPS: PLAFONNEES
AEEFLNNRTU: ENFLEURANT
            FALUNERENT
AEEFLNNSST: ENFLASSENT
AEEFLNORRS: ERAFLERONS
AEEFLNORRT: ERAFLERONT
AEEFLNORRU: RENFLOUERA
AEEFLNQRUZ: FLANQUEREZ
AEEFLNRRST: FRATERNELS
AEEFLNRSSS: RENFLASSES
AEEFLNRSST: FERLASSENT
AEEFLNRTTT: FLATTERENT
AEEFLNRTTU: FLEURETANT
AEEFLNSSTU: FEULASSENT
AEEFLORRSU: REFOULERAS
AEEFLORRTZ: FOLATREREZ
AEEFLORSSU: REFOULASSE
AEEFLORSTU: REFOULATES
AEEFLPRSTU: PERSULFATE
AEEFLRSSSU: FLEURASSES
            REFLUASSES
AEEFLRSTUZ: SULFATEREZ
AEEFLSSSSU: FUSELASSES
AEEFLSSTTU: FLATTEUSES
AEEFLSSTUU: SULFATEUSE
AEEFMMNOST: FOMENTAMES
AEEFMMORRS: REFORMAMES
AEEFMMOSTU: MOUFETAMES
AEEFMNNRRT: RENFERMANT
AEEFMNNRTT: FERMENTANT
AEEFMNORST: FOMENTERAS
AEEFMNOSST: FOMENTASSE
AEEFMNOSTT: FOMENTATES
AEEFMNPPRT: FRAPPEMENT
AEEFMNRSST: FERMASSENT
AEEFMNRSTY: FRAYEMENTS
AEEFMNSSSU: ENFUMASSES
AEEFMNSSTU: FAUSSEMENT
AEEFMOORTU: AUTOFORMEE
AEEFMOPRRR: PERFORMERA
            PREFORMERA
AEEFMOPRRS: PERFORAMES
            PROFERAMES
AEEFMOPRRT: PREFORMATE
AEEFMORRRS: REFORMERAS
AEEFMORRRT: REFORMATER
AEEFMORRSS: REFORMASSE
AEEFMORRST: REFORMATES
AEEFMORRTZ: FORMATEREZ
            REFORMATEZ
AEEFMORSTU: MOUFETERAS
AEEFMOSSTU: MOUFETASSE
AEEFMOSSTY: FESTOYAMES
AEEFMOSTTU: FOUETTAMES
            MOUFETATES
AEEFMPRRUZ: PARFUMEREZ
AEEFMPRSSU: PERFUSAMES
AEEFMPRSUU: PARFUMEUSE
AEEFMRSSSU: REFUMASSES
AEEFNNORRU: ENFOURNERA
AEEFNNORST: FESTONNERA
AEEFNNRSTT: FENESTRANT
AEEFNOPRRT: PERFORANTE
AEEFNOPRRZ: PROFANEREZ
AEEFNORRSU: ENSOUFRERA
AEEFNORRTT: FAROTERENT
AEEFNORSSY: FASEYERONS
AEEFNORSTY: FASEYERONT
AEEFNORTTY: FAYOTERENT
AEEFNPPRRT: FRAPPERENT
AEEFNQRSTU: FREQUENTAS
AEEFNQRTTU: FRANQUETTE
            FREQUENTAT
