AAAABIKLL: BALALAIKA
AEEGNPRRU: REPUGNERA
AEEGNPRST: ASPERGENT
           PRESAGENT
AEEGNQRUZ: GNAQUEREZ
AEEGNRRST: ETRANGERS
           RENTRAGES
AEEGNRRTU: ARGENTEUR
           ARGENTURE
           ARGUERENT
           RAGUERENT
AEEGNRRTV: GRAVERENT
AEEGNRRUV: ENGRAVURE
           NERVURAGE
AEEGNRRUZ: NARGUEREZ
AEEGNRSSS: GRENASSES
           REGNASSES
AEEGNRSST: AGRESSENT
           GERASSENT
           GREASSENT
AEEGNRSTU: NEGATEURS
AEEGNRSTZ: STAGNEREZ
AEEGNRSUU: SAUGRENUE
AEEGNRSUV: ENVERGUAS
AEEGNRTTT: GATTERENT
AEEGNRTTU: TAGUERENT
AEEGNRTUV: ENVERGUAT
           VAGUERENT
AEEGNRTUZ: TANGUEREZ
AEEGNSSTT: GANSETTES
           GESTANTES
AEEGNSSTU: GUEASSENT
AEEGNSSUU: NUAGEUSES
AEEGNSSUX: EXSANGUES
AEEGNSTTU: SANGUETTE
           TAGUENETS
AEEGNSTUU: AUGUSTEEN
AEEGOPPRS: PROPAGEES
AEEGOPRRT: PROTEGERA
           REPORTAGE
AEEGOPRST: PORTAGEES
           POTAGERES
           PROTEGEAS
AEEGOPRTT: PROTEGEAT
AEEGOPSTU: ETOUPAGES
AEEGOQRTU: RETOQUAGE
AEEGORRRZ: ARROGEREZ
AEEGORRST: ERGOTERAS
           GARROTEES
AEEGORRTT: GARROTTEE
AEEGORRTU: AUTOGERER
           REROUTAGE
           ROUERGATE
           ROUGEATRE
AEEGORRTZ: RAGOTEREZ
AEEGORSSS: ESSORAGES
AEEGORSST: ERGOTASSE
AEEGORSSU: ORAGEUSES
AEEGORSTT: ERGOTATES
AEEGORSTU: AUTOGERES
           OUTRAGEES
AEEGORSTZ: ZEROTAGES
AEEGORSUV: OUVRAGEES
AEEGORTTU: EGOUTTERA
AEEGORTUU: TOUAREGUE
AEEGORTUZ: AUTOGEREZ
AEEGORVYZ: VOYAGEREZ
AEEGOSUVY: VOYAGEUSE
AEEGPPSST: STEPPAGES
AEEGPRRUX: EXPURGERA
AEEGPRSSS: PRESSAGES
AEEGPRSSU: PURGEASSE
AEEGPRSTU: PURGEATES
AEEGPRSUX: EXPURGEAS
AEEGPRTUX: EXPURGEAT
AEEGPSSSU: PEGUASSES
AEEGQSTUU: QUEUTAGES
AEEGRRRTT: REGRATTER
AEEGRRSSS: REGRESSAS
AEEGRRSST: REGRESSAT
AEEGRRSSU: AGRESSEUR
AEEGRRSSY: GRASSEYER
AEEGRRSTT: REGRATTES
           REGRETTAS
AEEGRRSTU: GUETRERAS
AEEGRRTTT: REGRETTAT
AEEGRRTTZ: GRATTEREZ
           REGRATTEZ
AEEGRRTUZ: TARGUEREZ
AEEGRRUUZ: AUGUREREZ
AEEGRSSSS: GRESASSES
AEEGRSSST: TRESSAGES
AEEGRSSSU: RESSUAGES
AEEGRSSSV: GREVASSES
AEEGRSSSY: GRASSEYES
AEEGRSSTT: GRASSETTE
           STRATEGES
AEEGRSSTU: GUETRASSE
AEEGRSSUU: GUEUSERAS
AEEGRSSUV: GRAVEUSES
AEEGRSSUY: RESSUYAGE
AEEGRSSUZ: GAUSSEREZ
AEEGRSSYZ: GRASSEYEZ
AEEGRSTTT: TARGETTES
AEEGRSTTU: GRATTEUSE
           GUETRATES
           GUETTERAS
AEEGRSTTZ: GARZETTES
AEEGRTTUU: TUTEURAGE
AEEGSSSUU: GAUSSEUSE
           GUEUSASSE
AEEGSSSUY: ESSUYAGES
AEEGSSTTU: GUETTASSE
AEEGSSTUU: GUEUSATES
           TAGUEUSES
AEEGSTTTU: GUETTATES
AEEHHILNT: HELIANTHE
AEEHHOOPS: PAHOEHOES
AEEHIILNN: ANNIHILEE
AEEHIINNT: HAITIENNE
AEEHIINPP: EPIPHANIE
AEEHIINRR: HERNIAIRE
AEEHIINRT: HIERAIENT
AEEHIIRRT: HERITERAI
AEEHIIRST: ETHERISAI
           HESITERAI
           HETAIRIES
AEEHILLNS: HELLENISA
AEEHILMRZ: ALZHEIMER
AEEHILNPT: ENTHALPIE
           PHTALEINE
AEEHILNRV: HIVERNALE
AEEHILNRZ: INHALEREZ
AEEHILNSS: SAHELIENS
AEEHILNST: ANTHELIES
AEEHILNTZ: ZENITHALE
AEEHILORT: AEROLITHE
AEEHILOSU: SOUAHELIE
AEEHILPRS: PARHELIES
AEEHILQSU: HELIAQUES
AEEHILQTU: ALETHIQUE
AEEHILSST: HELIASTES
AEEHILSSW: SWAHELIES
AEEHILSSZ: HELASSIEZ
AEEHILSTU: HALIEUTES
AEEHIMNRT: METHANIER
AEEHIMNST: HEMATINES
           METHANISE
AEEHIMNSU: HUMANISEE
AEEHIMNSV: ENVAHIMES
AEEHIMPST: EMPATHIES
           HEPATISME
AEEHIMPSU: EUPHEMISA
AEEHIMQTU: HEMATIQUE
AEEHIMRST: HERITAMES
           MEHARISTE
AEEHIMRSU: HEAUMIERS
AEEHIMRTU: HEMATURIE
AEEHIMRUX: EXHUMERAI
AEEHIMSST: ATHEISMES
           HESITAMES
AEEHIMSTT: HEMATITES
           THEMATISE
AEEHINNNO: HANOIENNE
AEEHINNST: ATHENIENS
AEEHINNTT: THANETIEN
AEEHINPPS: EPIPHANES
AEEHINPRS: HEPARINES
           SERAPHINE
AEEHINPRT: PERIANTHE
AEEHINRRT: ENTREHAIR
AEEHINRRV: HIVERNERA
AEEHINRST: ATHERINES
           ENTREHAIS
           HERSAIENT
AEEHINRTT: ENTREHAIT
AEEHINRTU: HUERAIENT
AEEHINRTZ: HANTERIEZ
AEEHINRUY: HAINUYERE
AEEHINRVZ: ENVAHIREZ
AEEHINSST: ASTHENIES
AEEHINSSU: HAINEUSES
AEEHINSSV: ENVAHISSE
AEEHINSTT: ANTITHESE
           HESITANTE
AEEHINSTV: ENVAHITES
AEEHIOPRT: ATROPHIEE
AEEHIOPTT: ETIOPATHE
AEEHIORRS: HEROISERA
AEEHIORTX: RHEOTAXIE
AEEHIOSTU: SOUHAITEE
AEEHIPPRZ: HAPPERIEZ
AEEHIPPST: EPITAPHES
AEEHIPQTU: HEPATIQUE
AEEHIPRRZ: HARPERIEZ
AEEHIPRST: ATHREPSIE
           THERAPIES
           TRIPHASEE
AEEHIPRSU: EUPHRAISE
AEEHIPRSZ: PHASERIEZ
AEEHIPSTT: HEPATITES
AEEHIPSXY: ASPHYXIEE
AEEHIQRRU: HIERARQUE
AEEHIQRTU: THERIAQUE
AEEHIRRSS: HERISSERA
           HERSERAIS
AEEHIRRST: HERITERAS
           HERSERAIT
AEEHIRRTU: HEURTERAI
AEEHIRSST: ETHERISAS
           HERITASSE
           HESITERAS
           RHETAISES
AEEHIRSSU: HAUSSIERE
AEEHIRSTT: ETHERISAT
           HERITATES
AEEHIRTUZ: AHEURTIEZ
AEEHISSST: HESITASSE
AEEHISSTT: ESTHETISA
           HESITATES
AEEHLLNOW: HALLOWEEN
AEEHLMMNT: EMMENTHAL
AEEHLMRST: THERMALES
AEEHLMRSU: HUMERALES
AEEHLNOPS: ANOPHELES
AEEHLNOPT: PHENOLATE
           TELEPHONA
AEEHLNOST: LESOTHANE
AEEHLNPST: ELEPHANTS
AEEHLNPSY: SYNALEPHE
AEEHLNSST: HELASSENT
AEEHLOPST: TELOPHASE
AEEHLORST: TREHALOSE
AEEHLSTXY: HEXASTYLE
AEEHMMOST: HEMATOMES
AEEHMMSUX: EXHUMAMES
AEEHMNNST: MENTHANES
AEEHMNNTY: MENYANTHE
AEEHMNPPT: HAPPEMENT
AEEHMNRRU: ENRHUMERA
AEEHMNRSU: HENAURMES
AEEHMNTTU: HAUTEMENT
AEEHMOPRS: SEMAPHORE
AEEHMOPRT: AMPHOTERE
           METAPHORE
AEEHMOPST: APOTHEMES
AEEHMORST: ATHEROMES
AEEHMOSST: HEMATOSES
           HEMOSTASE
AEEHMPSTY: METAPHYSE
AEEHMRSSZ: SMASHEREZ
AEEHMRSTU: HEURTAMES
AEEHMRSUX: EXHUMERAS
AEEHMSSSU: SMASHEUSE
AEEHMSSTU: MATHEUSES
AEEHMSSUX: EXHUMASSE
AEEHMSTTY: AMETHYSTE
AEEHMSTUX: EXHUMATES
AEEHNNOPR: HARPONNEE
AEEHNNORU: HERONNEAU
AEEHNNOST: OENANTHES
AEEHNNPST: NAPHTENES
AEEHNNRST: ANTHRENES
AEEHNNRTT: HANTERENT
AEEHNNRTU: URETHANNE
AEEHNOOPR: AEROPHONE
AEEHNOORT: OENOTHERA
AEEHNPPRT: HAPPERENT
AEEHNPRRT: HARPERENT
AEEHNPRST: PANTHERES
           PHASERENT
AEEHNQRTU: ETHNARQUE
AEEHNRRTX: XENARTHRE
AEEHNRSTU: URETHANES
AEEHNRTTU: AHEURTENT
           HEURTANTE
AEEHOOPST: APOTHEOSE
AEEHOPQTU: APOTHEQUE
AEEHOQRTU: HOQUETERA
AEEHORRTX: EXHORTERA
AEEHORTTU: HOTTEREAU
AEEHOSSTT: ATHETOSES
AEEHPRRSZ: PHRASEREZ
AEEHPRSSU: PHRASEUSE
AEEHPSSTU: APHTEUSES
AEEHQTUUX: HUAXTEQUE
AEEHRRSSU: REHAUSSER
AEEHRRSTU: ATHERURES
           HEURTERAS
AEEHRRSUV: VARHEURES
AEEHRSSSS: HERSASSES
AEEHRSSSU: REHAUSSES
AEEHRSSTU: HEURTASSE
AEEHRSSUX: EXHAUSSER
AEEHRSSUZ: HAUSSEREZ
           REHAUSSEZ
AEEHRSTTU: HEURTATES
AEEHRTTUW: WATTHEURE
AEEHRTTUX: THEATREUX
AEEHSSSTU: HAUTESSES
AEEHSSSUX: EXHAUSSES
AEEHSSUXZ: EXHAUSSEZ
AEEIIILNT: INITIALEE
AEEIIINRS: NIAISERIE
AEEIIJLLR: REJAILLIE
AEEIIJRSS: JERSIAISE
AEEIIKLMS: KALIEMIES
AEEIIKNNR: IRAKIENNE
AEEIIKNSS: AKINESIES
AEEIILLMM: EMMIELLAI
AEEIILLMR: MILLERAIE
           RIMAILLEE
AEEIILLMZ: EMAILLIEZ
AEEIILLNR: NIELLERAI
AEEIILLNT: INTAILLEE
AEEIILLPT: PIETAILLE
AEEIILLPZ: EPAILLIEZ
AEEIILLRR: RAILLERIE
AEEIILLRT: TAILLERIE
           TEILLERAI
           TIRAILLEE
AEEIILLRV: REVEILLAI
           VEILLERAI
           VIELLERAI
AEEIILLRZ: AILLERIEZ
           ALLIERIEZ
           ERAILLIEZ
AEEIILLSV: EVEILLAIS
AEEIILLTV: EVEILLAIT
AEEIILMNR: ELIMINERA
           LAMINERIE
AEEIILMNS: ISMAELIEN
AEEIILMNT: ELIMAIENT
AEEIILMPR: EMPILERAI
           IMPERIALE
AEEIILMRS: ELIMERAIS
AEEIILMRT: ELIMERAIT
AEEIILMSS: ASSIMILEE
           ISLAMISEE
AEEIILMST: ISMAELITE
AEEIILNNS: INALIENES
AEEIILNNT: ENLIAIENT
           ITALIENNE
AEEIILNNZ: AZILIENNE
AEEIILNPR: LAPINIERE
AEEIILNPT: EPILAIENT
AEEIILNRS: ENLIERAIS
           ENLISERAI
           ENSILERAI
           ISRAELIEN
           LAINERIES
           LAINIERES
           LESINERAI
           LINEAIRES
           LINEARISE
           SALINIERE
AEEIILNRT: ELIRAIENT
           ENLIERAIT
           LIERAIENT
           LINEARITE
           RELIAIENT
AEEIILNRV: ALEVINIER
           AVELINIER
           NIVELERAI
           RIVELAINE
AEEIILNRZ: LAINERIEZ
AEEIILNST: ALIENISTE
           ELISAIENT
           LATINISEE
AEEIILNTX: EXILAIENT
AEEIILNVZ: ALEVINIEZ
AEEIILOPR: EPLOIERAI
AEEIILORS: OISELERAI
AEEIILORT: ETIOLERAI
           ETOILERAI
AEEIILORV: OLIVERAIE
AEEIILPRR: REPLIERAI
AEEIILPRS: EPILERAIS
AEEIILPRT: EPILERAIT
AEEIILRRS: IRREALISE
           LISERERAI
           REELIRAIS
           RELIERAIS
           RESILIERA
AEEIILRRT: IRREALITE
           REELIRAIT
           RELIERAIT
AEEIILRSS: AISSELIER
           REELISAIS
AEEIILRST: ELITAIRES
           ISRAELITE
           LAITERIES
           LAITIERES
           REELISAIT
           SERIALITE
AEEIILRSX: EXILERAIS
AEEIILRSZ: REALISIEZ
AEEIILRTV: LEVITERAI
AEEIILRTX: EXILERAIT
AEEIILRTZ: ALITERIEZ
AEEIILSSZ: ELIASSIEZ
AEEIILSTV: TELEVISAI
           VITALISEE
AEEIIMMRS: MEMERISAI
AEEIIMMSX: MAXIMISEE
AEEIIMMTU: EMMIEUTAI
AEEIIMNNS: INANIMEES
AEEIIMNNV: ENVENIMAI
AEEIIMNOS: AMIENOISE
AEEIIMNRR: MARINIERE
AEEIIMNRS: ENSIMERAI
           SEMAINIER
           SEMINAIRE
AEEIIMNRT: MATINIERE
AEEIIMNRZ: ANIMERIEZ
           MANIERIEZ
           REANIMIEZ
           REMANIIEZ
AEEIIMNST: AMNISTIEE
AEEIIMNTV: VITAMINEE
AEEIIMNXZ: EXAMINIEZ
AEEIIMPRR: EMPIERRAI
           EMPIRERAI
           PERIMERAI
AEEIIMPRT: IMPATRIEE
           REMPIETAI
AEEIIMPST: EMPIETAIS
AEEIIMPTT: EMPIETAIT
AEEIIMRRS: REMISERAI
AEEIIMRRT: MERITERAI
AEEIIMRRX: REMIXERAI
AEEIIMRRZ: MARIERIEZ
           REMARIIEZ
AEEIIMRSS: EMERISAIS
           EMISSAIRE
           MAISERIES
AEEIIMRST: EMERISAIT
           EMIRATIES
           ESTIMERAI
           MAITRISEE
           METAIRIES
           TAMISERIE
           TAMISIERE
AEEIIMSSZ: EMIASSIEZ
           ESSAIMIEZ
AEEIIMSTT: EMIETTAIS
AEEIIMSTU: AMITIEUSE
AEEIIMTTT: EMIETTAIT
AEEIINNNR: IRANIENNE
AEEIINNNS: ANISIENNE
           ASINIENNE
AEEIINNOR: ENNOIERAI
AEEIINNPT: EPINAIENT
           PEINAIENT
AEEIINNQR: IRAQIENNE
AEEIINNRS: ENRESINAI
           ISARIENNE
AEEIINNRT: ENTERINAI
           NIERAIENT
           RENIAIENT
AEEIINNRU: ENNUIERAI
AEEIINNSS: ENSAISINE
AEEIINNTV: ENVIAIENT
           VEINAIENT
AEEIINORS: NOISERAIE
AEEIINOSV: AVOISINEE
AEEIINPPS: EPEPINAIS
AEEIINPPT: EPEPINAIT
           PEPIAIENT
AEEIINPRR: RAPINERIE
AEEIINPRS: EPINERAIS
           PEINERAIS
           PINERAIES
           SAPINIERE
AEEIINPRT: EPINERAIT
           PEINERAIT
           PIETINERA
AEEIINPSS: SINAPISEE
AEEIINPTT: PIETAIENT
AEEIINPTX: EXPIAIENT
AEEIINRRS: INSERERAI
           REINSERAI
           RENIERAIS
           RESINERAI
           SERINERAI
AEEIINRRT: INERTERAI
           RENIERAIT
           TRAINERIE
AEEIINRRV: ENIVRERAI
           RIVERAINE
AEEIINRRZ: RAINERIEZ
AEEIINRSS: ASINERIES
           RAISINEES
AEEIINRST: EREINTAIS
           ETERNISAI
           SERIAIENT
           SIERAIENT
           TISANERIE
           TISANIERE
AEEIINRSV: ENVIERAIS
           VEINERAIS
AEEIINRSZ: ANISERIEZ
           NIAISEREZ
AEEIINRTT: EREINTAIT
           ETIRAIENT
           ITERAIENT
           TEINTERAI
           TIRETAINE
AEEIINRTV: ENVIERAIT
           INVETERAI
           VEINERAIT
AEEIINRTX: IXERAIENT
AEEIINRVZ: AVINERIEZ
AEEIINSSU: NIAISEUSE
AEEIINTTV: EVITAIENT
AEEIIORVZ: AVOIERIEZ
AEEIIPPRR: REPIPERAI
AEEIIPPRS: PEPIERAIS
AEEIIPPRT: PEPIERAIT
           PIPETERAI
AEEIIPQRU: EQUIPERAI
           REEQUIPAI
AEEIIPRRS: EPIERRAIS
AEEIIPRRT: EPIERRAIT
           ETRIPERAI
           PIRATERIE
AEEIIPRRX: EXPIRERAI
AEEIIPRRZ: PARIERIEZ
           REPAIRIEZ
AEEIIPRSS: EPISSERAI
AEEIIPRST: PIETERAIS
AEEIIPRSU: EPUISERAI
AEEIIPRSX: EXPIERAIS
AEEIIPRTT: PIETERAIT
AEEIIPRTU: PIEUTERAI
AEEIIPRTV: APERITIVE
AEEIIPRTX: EXPIERAIT
AEEIIPSSS: EPAISSIES
AEEIIPSST: EPISTASIE
AEEIIPSSZ: EPIASSIEZ
AEEIIPSTX: EPITAXIES
AEEIIQTTU: ETIQUETAI
AEEIIRRRT: RETIRERAI
AEEIIRRRV: REVIRERAI
AEEIIRRRZ: ARRIERIEZ
AEEIIRRSS: SERIERAIS
AEEIIRRST: ETIRERAIS
           ITERERAIS
           REITERAIS
           RETIAIRES
           SERIERAIT
AEEIIRRSV: REVISERAI
AEEIIRRSZ: ARISERIEZ
AEEIIRRTT: ETIRERAIT
           ITERERAIT
           REITERAIT
           TERTIAIRE
AEEIIRRTV: ETRIVERAI
           REVETIRAI
           RIVETERAI
AEEIIRRVZ: VARIERIEZ
AEEIIRSSS: RESSAISIE
AEEIIRSST: SATIRISEE
           SIESTERAI
AEEIIRSSU: ESSUIERAI
AEEIIRSSZ: ASSIERIEZ
AEEIIRSTV: ESTIVERAI
           EVITERAIS
           VESTIAIRE
AEEIIRSTX: EXISTERAI
AEEIIRSVZ: AVISERIEZ
AEEIIRTTV: EVITERAIT
           ITERATIVE
AEEIIRTUZ: ZIEUTERAI
AEEIIRVVZ: AVIVERIEZ
AEEIISTTZ: ETATISIEZ
           SAIETTIEZ
AEEIISTXZ: EXTASIIEZ
AEEIJKNRT: JERKAIENT
AEEIJKRRS: JERKERAIS
AEEIJKRRT: JERKERAIT
AEEIJLLNR: ENJAILLER
AEEIJLLNS: ENJAILLES
AEEIJLLNZ: ENJAILLEZ
AEEIJLLOR: JOAILLERE
AEEIJLLSV: JAVELLISE
AEEIJLMRU: JUMELERAI
AEEIJLNOR: ENJOLERAI
AEEIJLNQU: JAQUELINE
AEEIJLNSV: JAVELINES
AEEIJMNSS: JASMINEES
AEEIJMRSU: JAUMIERES
           MIJAUREES
AEEIJNNOS: JEANNOISE
AEEIJNNTU: ANTIJEUNE
           JEUNAIENT
AEEIJNOPR: JAPONERIE
AEEIJNOPS: JAPONISEE
AEEIJNORT: EJOINTERA
AEEIJNOST: AJOINTEES
AEEIJNPSS: JASPINEES
AEEIJNRST: JANTIERES
AEEIJNRSU: JEUNERAIS
           RAJEUNIES
AEEIJNRTT: ANTIREJET
           INTERJETA
AEEIJNRTU: JEUNERAIT
AEEIJNRUV: ENJUIVERA
AEEIJOPRR: PEJORERAI
AEEIJORRU: REJOUERAI
AEEIJPPRZ: JAPPERIEZ
AEEIJPRSZ: JASPERIEZ
AEEIJRRTZ: JARRETIEZ
           JARTERIEZ
AEEIJRSSZ: JASSERIEZ
AEEIJRSTT: JETTERAIS
AEEIJRTTT: JETTERAIT
AEEIJRZZZ: JAZZERIEZ
AEEIJSSTZ: JETASSIEZ
AEEIKKRRT: TREKKERAI
AEEIKLMMS: KEMALISME
           MALEKISME
AEEIKLMNS: MALINKEES
AEEIKLMST: KEMALISTE
           MALEKITES
AEEIKMNSS: MEKNASSIE
AEEIKMNST: KETAMINES
AEEIKMRTZ: MARKETIEZ
AEEIKNNNT: KANTIENNE
AEEIKNRST: KERATINES
AEEIKNRSU: ESKUARIEN
           EUSKARIEN
AEEIKPRRS: PARKERISE
AEEIKQRTU: KERATIQUE
AEEIKRSTT: KERATITES
AEEILLLQU: ALLELIQUE
AEEILLMMR: EMMAILLER
           REMMAILLE
AEEILLMMS: EMMAILLES
           EMMIELLAS
AEEILLMMT: EMMIELLAT
AEEILLMMZ: EMMAILLEZ
AEEILLMNS: ANIMELLES
           MANILLEES
           NIELLAMES
AEEILLMNT: EMAILLENT
AEEILLMNV: MANIVELLE
AEEILLMOR: MORAILLEE
AEEILLMPR: EMPAILLER
           REMPAILLE
AEEILLMPS: EMPAILLES
AEEILLMPZ: EMPAILLEZ
AEEILLMQU: MAQUILLEE
AEEILLMRR: REMAILLER
AEEILLMRS: MESALLIER
           REMAILLES
AEEILLMRT: MAILLETER
           MALLETIER
           METALLIER
AEEILLMRU: EMAILLEUR
           EMAILLURE
           MURAILLEE
AEEILLMRZ: MAILLEREZ
           REMAILLEZ
AEEILLMSS: MESALLIES
           SEMAILLES
AEEILLMST: MAILLETES
           METALLISE
           TEILLAMES
AEEILLMSU: MAILLEUSE
AEEILLMSV: VEILLAMES
           VIELLAMES
AEEILLMSZ: MESALLIEZ
AEEILLMTT: MAILLETTE
AEEILLMTZ: MAILLETEZ
AEEILLNPT: EPAILLENT
           PELLAIENT
AEEILLNRS: NIELLERAS
AEEILLNRT: AILLERENT
           ALLIERENT
           ENTAILLER
           ERAILLENT
           TENAILLER
AEEILLNRV: NIVELLERA
AEEILLNSS: NASILLEES
           NIELLASSE
AEEILLNST: ENTAILLES
           INSTALLEE
           NIELLATES
           SELLAIENT
           TENAILLES
AEEILLNSV: SEVILLANE
           VANILLEES
AEEILLNTV: EVEILLANT
           VENTAILLE
AEEILLNTZ: ENTAILLEZ
           TENAILLEZ
AEEILLORS: OISELLERA
AEEILLOTV: ALVEOLITE
AEEILLPPR: EPARPILLE
AEEILLPRS: PAREILLES
           PELLERAIS
AEEILLPRT: PAILLETER
           PARTIELLE
           PELLERAIT
           PETILLERA
AEEILLPRZ: PAILLEREZ
           PALLIEREZ
AEEILLPST: PAILLETES
           PASTILLEE
           PELLETAIS
AEEILLPSU: PAILLEUSE
AEEILLPTT: PAILLETTE
           PELLETAIT
AEEILLPTZ: PAILLETEZ
AEEILLQRU: QUERELLAI
AEEILLRRT: ETRILLERA
           RETAILLER
AEEILLRRU: ERAILLURE
AEEILLRRZ: RAILLEREZ
           RALLERIEZ
           RALLIEREZ
AEEILLRSS: SELLERAIS
AEEILLRST: RETAILLES
           SELLERAIT
           STELLAIRE
           TEILLERAS
           TRESAILLE
AEEILLRSU: RAILLEUSE
AEEILLRSV: REVAILLES
           REVEILLAS
           VEILLERAS
           VIELLERAS
AEEILLRTT: LITTERALE
AEEILLRTU: ALLEUTIER
AEEILLRTV: REVEILLAT
           VETILLERA
AEEILLRTZ: RETAILLEZ
           TAILLEREZ
           TALLERIEZ
AEEILLSSS: AISSELLES
AEEILLSST: SATELLISE
           TEILLASSE
AEEILLSSV: VAISSELLE
           VEILLASSE
           VIELLASSE
AEEILLSTT: LETALITES
           SATELLITE
           TEILLATES
AEEILLSTU: TAILLEUSE
AEEILLSTV: VEILLATES
           VIELLATES
AEEILLSUV: ELUVIALES
AEEILMMNO: MELOMANIE
AEEILMMNS: MELAMINES
           MELANISME
AEEILMMNZ: MALMENIEZ
AEEILMMPS: EMPILAMES
AEEILMMPZ: EMPALMIEZ
AEEILMMST: LEMMATISE
AEEILMNNS: MALIENNES
           MELANINES
AEEILMNNT: LINEAMENT
           MANTELINE
AEEILMNNU: MANUELINE
AEEILMNPR: PERMALIEN
AEEILMNPT: IMPLANTEE
AEEILMNPU: MANIPULEE
AEEILMNQU: LEMANIQUE
           MELANIQUE
AEEILMNRS: ARMELINES
           MINERALES
AEEILMNRT: ALIMENTER
           TERMINALE
AEEILMNRZ: LAMINEREZ
AEEILMNSS: ENLISAMES
           ENSILAMES
           LESINAMES
           MESSALINE
           SEMINALES
AEEILMNST: ALENTIMES
           ALIMENTES
           MENTALISE
AEEILMNSU: ALUMINEES
           LAMINEUSE
           MELUNAISE
AEEILMNSV: NIVELAMES
AEEILMNTT: ALITEMENT
           MENTALITE
AEEILMNTU: EMULAIENT
           MEULAIENT
AEEILMNTZ: ALIMENTEZ
           LAMENTIEZ
AEEILMOPR: EMPLOIERA
AEEILMORR: AMELIORER
AEEILMORS: AMELIORES
           MORALISEE
AEEILMORT: MOLETERAI
AEEILMORZ: AMELIOREZ
AEEILMOSS: OISELAMES
AEEILMOST: ETIOLAMES
           ETOILAMES
AEEILMPRR: REMPILERA
           REMPLIERA
AEEILMPRS: EMPERLAIS
           EMPILERAS
           PARMELIES
           REPLIAMES
AEEILMPRT: EMPERLAIT
AEEILMPRZ: LAMPERIEZ
           PALMERIEZ
AEEILMPSS: EMPILASSE
AEEILMPST: AMPELITES
           EMPILATES
           PETALISME
AEEILMQSU: MALEIQUES
AEEILMRSS: LISERAMES
           REALISMES
           RESALIMES
AEEILMRST: MALTERIES
           MATERIELS
AEEILMRSU: EMULERAIS
           MEULERAIS
           MUSELERAI
AEEILMRSZ: SLAMERIEZ
AEEILMRTT: ALTIMETRE
AEEILMRTU: EMULERAIT
           MEULERAIT
           TULAREMIE
AEEILMRTZ: MALTERIEZ
           MARTELIEZ
AEEILMRUZ: MIAULEREZ
AEEILMSSS: ELIMASSES
           SEISMALES
AEEILMSSV: ALEVISMES
AEEILMSSZ: MELASSIEZ
AEEILMSTV: LEVITAMES
AEEILMSUU: MIAULEUSE
AEEILMSUV: AVEULIMES
AEEILNNOT: LAITONNEE
           LAOTIENNE
           NEOLATINE
AEEILNNPU: PAULIENNE
AEEILNNRT: LAINERENT
           TRIENNALE
AEEILNNRV: NERVALIEN
AEEILNNSS: SALIENNES
AEEILNNTV: ALEVINENT
           LEVANTINE
           VALENTINE
AEEILNOPS: NEOPLASIE
AEEILNOPT: POELAIENT
AEEILNORR: ENROLERAI
AEEILNORT: ENTOILERA
           ENTOLERAI
           ORIENTALE
AEEILNORV: ENVOILERA
           ENVOLERAI
AEEILNOSS: LEONAISES
AEEILNOTU: ALEOUTIEN
AEEILNOTV: ELEVATION
AEEILNPPR: PREALPINE
AEEILNPPS: ALEPPINES
AEEILNPRS: PENALISER
           PRALINEES
AEEILNPRT: INTERPELA
           PATELINER
           PERLAIENT
           PRELATINE
AEEILNPRU: PRUNELAIE
AEEILNPRZ: INALPEREZ
           LAPINEREZ
           PLANERIEZ
AEEILNPSS: PANELISES
           PENALISES
AEEILNPST: PANELISTE
           PATELINES
           PENALISTE
           PENALITES
           PENALTIES
           PLANEITES
           PLATINEES
AEEILNPSZ: PENALISEZ
AEEILNPTZ: PANTELIEZ
           PATELINEZ
AEEILNQRU: ARLEQUINE
AEEILNRRT: ENTRERAIL
AEEILNRSS: ARLESIENS
           ENLIASSER
           ENLISERAS
           ENSILERAS
           LESINERAS
AEEILNRST: INALTERES
           RALENTIES
           REALISENT
           REELISANT
AEEILNRSU: ALUNERIES
AEEILNRSV: NIVELERAS
           RAVELIENS
           VASELINER
AEEILNRSX: RELAXINES
AEEILNRTT: ALITERENT
           TETRALINE
AEEILNRTU: LINEATURE
AEEILNRTV: VENTILERA
AEEILNRTZ: ALENTIREZ
           ALTERNIEZ
AEEILNRUZ: ALUNERIEZ
AEEILNSSS: ENLIASSES
           ENLISASSE
           ENSILASSE
           LESINASSE
           SALESIENS
AEEILNSST: ALENTISSE
           ELASTINES
           ELIASSENT
           ENLISATES
           ENSILATES
           LESINATES
AEEILNSSU: LAINEUSES
AEEILNSSV: NIVELASSE
           VASELINES
AEEILNSSZ: ENLIASSEZ
AEEILNSTT: ALENTITES
           LESTAIENT
AEEILNSTV: EVENTAILS
           NIVELATES
           VENALITES
AEEILNSVZ: VASELINEZ
AEEILOPPX: APOPLEXIE
AEEILOPRR: PAROLIERE
           REPLOIERA
AEEILOPRS: EPLOIERAS
           POELERAIS
           POLARISEE
           SALOPERIE
AEEILOPRT: PELOTERAI
           POELERAIT
AEEILOPSS: OPALISEES
AEEILOPST: PALEOSITE
AEEILOQTU: ALOETIQUE
AEEILORRT: ARTERIOLE
           TOLERERAI
AEEILORRU: RELOUERAI
AEEILORRV: REVOLERAI
           VEROLERAI
AEEILORRZ: AZEROLIER
AEEILORSS: OISELERAS
           ORALISEES
           SOLARISEE
           SOLEAIRES
