AAABCC: CACABA
AIMNTT: MITANT
AIMNTU: MINUTA
        MUTINA
AIMNTX: MIXANT
AIMOOZ: ZOOMAI
AIMOPP: POMPAI
AIMOPS: IMPOSA
AIMOPT: OPTIMA
AIMOQU: MOQUAI
AIMORS: MAORIS
        MOIRAS
AIMORT: AMORTI
        MATOIR
        MOIRAT
AIMORV: VOMIRA
AIMOSS: MOISAS
AIMOST: MATOIS
        MOISAT
        TOMAIS
AIMOSU: MIAOUS
        MOUAIS
AIMOSY: MOYAIS
AIMOTT: MOTTAI
        TOMAIT
AIMOTV: MOTIVA
AIMOTY: MOYAIT
AIMPRS: PRIMAS
AIMPRT: PRIMAT
AIMPSS: PASSIM
AIMPTU: IMPUTA
AIMQSU: MAQUIS
AIMRRS: MARRIS
AIMRRU: MURIRA
AIMRST: TRIMAS
AIMRSU: MURAIS
AIMRTT: TRIMAT
AIMRTU: ATRIUM
        MURAIT
AIMSST: SAMITS
AIMSSU: MUSAIS
        MUSSAI
AIMSTU: MUSAIT
        MUTAIS
AIMSTV: MITSVA
AIMSUV: MAUVIS
AIMTTU: MUTAIT
AIMTUZ: AZIMUT
AINNNT: TANNIN
AINNOP: PIONNA
AINNOS: ANIONS
        SONNAI
AINNOT: NATION
        TONNAI
AINNOV: INNOVA
AINNOZ: ONZAIN
AINNPT: PANTIN
AINNRT: NANTIR
AINNST: NANTIS
        TANINS
AINNSV: ANNIVS
AINNSZ: ZANNIS
AINNTT: NANTIT
AINNTV: VINANT
AINOOZ: OZONAI
AINOPP: PAPION
AINOPR: ARPION
        PIORNA
        PRONAI
AINOPS: APIONS
        OPINAS
        PIANOS
AINOPT: OPINAT
        POINTA
        PONTAI
        POTINA
AINOQU: QUINOA
AINORS: AIRONS
        NORIAS
        ORNAIS
        RAISON
AINORT: ORNAIT
        RATION
        TRONAI
AINORV: AVIRON
        VAIRON
AINOSS: SAISON
AINOST: NOTAIS
        TAINOS
AINOSU: AINOUS
        NOUAIS
AINOSV: AVIONS
        NOVAIS
AINOSX: AXIONS
AINOSY: NOYAIS
AINOSZ: ZONAIS
AINOTT: NOTAIT
AINOTU: NOUAIT
AINOTV: NOVAIT
AINOTY: NOYAIT
AINOTZ: ZONAIT
AINPPS: NIPPAS
AINPPT: NIPPAT
        PIPANT
AINPRS: RAPINS
AINPRT: PRIANT
        RIPANT
AINPRU: PUNIRA
        PURINA
        RUPINA
AINPSS: PISANS
        SAPINS
AINPST: PATINS
        PINTAS
        TAPINS
AINPTT: PINTAT
        TIPANT
AINPTU: PUTAIN
        TAUPIN
AINQSU: NAQUIS
        NIQUAS
AINQTU: NAQUIT
        NIQUAT
        TAQUIN
AINRSS: ARSINS
        SARINS
AINRST: INSTAR
        NITRAS
        RIANTS
        TARINS
        TRAINS
        TRANSI
AINRSU: NUIRAS
        RUINAS
        SAURIN
        SURINA
        UNIRAS
        URINAS
AINRSV: INVARS
        RAVINS
AINRTT: NITRAT
        TIRANT
        TRIANT
AINRTU: RUINAT
        TAURIN
        URINAT
AINRTV: RIVANT
        VIRANT
AINSST: ISSANT
        SAINTS
        SATINS
AINSSU: SINUAS
        USINAS
AINSTT: TATINS
        TINTAS
        TISANT
        TITANS
AINSTU: SINUAT
        SUINTA
        TUNAIS
        USINAT
AINSTV: VISANT
AINSZZ: ZANZIS
AINTTT: TINTAT
AINTTU: TUNAIT
AINTUZ: TAUZIN
AINTVV: VIVANT
AINTVY: VANITY
AINUVX: NIVAUX
AIOORS: ARIOSO
AIOPPT: PIPOTA
AIOPQU: POQUAI
AIOPRR: PAROIR
AIOPRS: PAROIS
AIOPRT: PORTAI
AIOPRV: POIVRA
AIOPSS: POISSA
        POSAIS
AIOPST: OPIATS
        OPTAIS
        PATIOS
        PATOIS
        POSAIT
        POSTAI
        POTAIS
        TOPAIS
AIOPSU: SOUPAI
AIOPSV: PAVOIS
AIOPTT: OPTAIT
        POTAIT
        TOPAIT
AIOPTV: PIVOTA
AIOQRU: ROQUAI
AIOQTU: TOQUAI
AIORRS: ARROIS
        RASOIR
        ROSIRA
AIORRT: ROTIRA
AIORRU: ROUIRA
AIORRV: RAVOIR
AIORSS: ASSOIR
        ROSAIS
        ROSSAI
AIORST: ARISTO
        RATIOS
        RIOTAS
        ROSAIT
        ROTAIS
        SATORI
        SIROTA
AIORSU: OUIRAS
        ROUAIS
AIORSV: AVOIRS
        SAVOIR
        VAROIS
AIORSY: ORIYAS
AIORTT: RIOTAT
        ROTAIT
AIORTU: OUTRAI
        ROUAIT
        ROUTAI
        TOURAI
        TROUAI
AIORUV: OUVRAI
AIOSSS: ASSOIS
AIOSST: ASSOIT
        TOISAS
        TOSSAI
AIOSSV: AVISOS
AIOSTT: TOISAT
AIOSTU: TOUAIS
AIOSTV: VOTAIS
AIOSUV: VOUAIS
AIOSVY: VOYAIS
AIOTTU: TOUAIT
AIOTTV: VOTAIT
AIOTUV: VOUAIT
        VOUTAI
AIOTVV: VIVOTA
AIOTVY: VOYAIT
AIPPRS: APPRIS
AIPPRT: APPRIT
        TRIPPA
AIPPST: TIPPAS
AIPPSU: APPUIS
AIPPSZ: ZIPPAS
AIPPTT: TIPPAT
AIPPTZ: ZIPPAT
AIPQSU: PAQUIS
        PIQUAS
AIPQTU: PIQUAT
AIPRRT: PARTIR
AIPRSS: PARSIS
        PRISAS
AIPRST: PARTIS
        PRISAT
        TAPIRS
        TRIPAS
AIPRSU: RUPAIS
AIPRSV: PARVIS
        PRIVAS
AIPRSX: PRAXIS
AIPRTT: PARTIT
        TRIPAT
AIPRTU: RUPAIT
AIPRTV: PRIVAT
AIPSSS: PISSAS
AIPSST: PASTIS
        PISSAT
        PISTAS
        SPITAS
AIPSSU: PUISAS
        SUPAIS
AIPSTT: PISTAT
        PITTAS
        SPITAT
        SPITTA
AIPSTU: PUISAT
        SUPAIT
AIPSTY: TYPAIS
AIPSZZ: PIZZAS
AIPTTU: PUTTAI
AIPTTY: TYPAIT
AIQRSU: RISQUA
AIQRTU: QUIRAT
        TRIQUA
AIQSSU: QUASIS
AIQSTU: TIQUAS
AIQTTU: QUITTA
        TIQUAT
AIRRSS: RASSIR
AIRRSU: SAURIR
        SURIRA
AIRRTT: TARTIR
AIRSSS: RASSIS
AIRSST: RASSIT
        SITARS
        STRIAS
        TRISSA
AIRSSU: RUSAIS
        SAURIS
AIRSTT: STRIAT
        TARTIS
        TITRAS
        TRAITS
AIRSTU: RUSAIT
        SAURIT
AIRSTV: VITRAS
AIRSUV: SUIVRA
AIRSVV: VIVRAS
AIRTTT: TARTIT
        TITRAT
AIRTTV: VITRAT
AIRTTY: YTTRIA
AIRTUU: AUTRUI
AIRUVX: RIVAUX
        VIRAUX
AISSST: ASSIST
        TISSAS
AISSSV: VISSAS
AISSTT: TISSAT
AISSTU: SITUAS
AISSTV: VISSAT
        VISTAS
AISSWZ: SWAZIS
AISTTU: SITUAT
AISTTW: TWISTA
AISTVV: VIVATS
AITTTW: TWITTA
AITUVX: VITAUX
AJKOST: TOKAJS
AJLNOS: JALONS
AJLOSU: JOUALS
AJLOUX: JALOUX
AJMORS: MAJORS
AJMPSU: JUMPAS
AJMPTU: JUMPAT
AJMRSU: JUMARS
AJNOPS: JAPONS
AJNORS: JORANS
AJNOSS: JASONS
AJNOSU: ANJOUS
AJNOTU: JOUANT
AJNRTU: JURANT
AJNSTU: JUSANT
AJNTTU: JUTANT
AJOPST: PAJOTS
AJORSU: AJOURS
AJORTU: RAJOUT
AJOSSU: SAJOUS
AJOSTU: AJOUTS
        JOUTAS
AJOTTU: JOUTAT
AJOTUX: JOUXTA
AJOUUX: JOUAUX
AJOUXY: JOYAUX
AJPRTU: RAJPUT
AJRSTU: JURATS
AJSYZZ: JAZZYS
AKKLOU: KOULAK
AKKOPS: KAPOKS
AKKOQU: QUOKKA
AKLNOX: KLAXON
AKLOPS: PAKOLS
        POLKAS
AKLORS: RASKOL
AKMOUZ: MAZOUK
AKNNOU: KANOUN
AKNORY: RYOKAN
AKNOST: TONKAS
AKNOTT: KOTANT
AKNOTU: NOUKTA
AKOPSY: YAPOKS
AKOSTY: OSTYAK
        TOKAYS
AKOSUZ: ZOUKAS
AKOTUZ: ZOUKAT
AKQRSU: QUARKS
AKRSST: KARSTS
AKSSTU: STUKAS
ALLMOS: SLALOM
ALLMSU: MULLAS
ALLNOS: ALLONS
        LLANOS
ALLNOV: VALLON
ALLNOW: WALLON
ALLOOP: APOLLO
ALLOPU: POLLUA
ALLORT: TROLLA
ALLOSS: SALOLS
ALLOST: ATOLLS
ALLPRU: PLURAL
ALLSUU: ULULAS
ALLTUU: ULULAT
ALMNOR: NORMAL
ALMNOS: LAMONS
        MALONS
ALMNSU: MANULS
ALMORU: MARLOU
        MORULA
ALMOSU: LOUMAS
        MOULAS
ALMOTU: MOULAT
        TAMOUL
ALMPSU: PLUMAS
ALMPTU: PLUMAT
ALMRSU: MURALS
ALMRSY: MYLARS
ALMSST: SMALTS
ALMTUU: UMLAUT
ALNOOS: SALOON
ALNOPR: PROLAN
ALNOPS: ALPONS
        LAPONS
        NOPALS
ALNOPY: PLAYON
ALNORR: LARRON
ALNORS: LORANS
        RALONS
ALNOSS: SALONS
        SONALS
ALNOST: TALONS
        TONALS
ALNOSV: LAVONS
        SLAVON
        VALONS
ALNOSY: LAYONS
        ONLAYS
ALNOTT: TOLANT
ALNOTU: LOUANT
ALNOTV: LOVANT
        VOLANT
ALNOVY: VOLNAY
ALNPST: PLANTS
ALNRTY: LYRANT
ALNRXY: LARYNX
ALNSTU: SULTAN
ALNSTY: LYSANT
ALNTTU: LUTANT
ALNTUX: LUXANT
ALOPRS: POLARS
ALOPRT: PORTAL
        PROTAL
ALOPRU: POULAR
ALOPSS: SALOPS
ALOPST: PALOTS
        POSTAL
ALOPSU: LOUPAS
ALOPSY: PLOYAS
ALOPTT: LAPTOT
ALOPTU: LOUPAT
ALOPTY: PLOYAT
ALORST: TOLARS
ALORSU: LOURAS
        OURLAS
        ROULAS
ALORSV: ORVALS
ALORTU: LOURAT
        OURLAT
        ROULAT
ALOSSS: LASSOS
ALOSST: SALTOS
ALOSSU: SAOULS
        SOULAS
ALOSTT: LOTTAS
ALOSTU: SOULAT
ALOSTV: VOLTAS
ALOSTX: TAXOLS
ALOSUV: LOUVAS
        OVULAS
ALOTTV: VOLTAT
ALOTUV: LOUVAT
        OVULAT
ALOTUW: OUTLAW
ALOTUY: LAYOUT
ALOUXY: LOYAUX
ALPRSU: PULSAR
ALPSSU: LAPSUS
        PULSAS
ALPSTU: PULSAT
ALRSTU: LUSTRA
        ULTRAS
ALSSTU: SALUTS
ALSSTY: LYSATS
        STYLAS
ALSTTU: LUTTAS
ALSTTY: STYLAT
ALSUUV: UVULAS
ALTTTU: LUTTAT
AMMMOS: MAMMOS
AMMMSY: MAMMYS
AMMNOS: NOMMAS
AMMNOT: NOMMAT
AMMOPS: POMMAS
AMMOPT: POMMAT
AMMORT: MARMOT
AMMOSS: SOMMAS
AMMOST: SOMMAT
AMMOSU: OMASUM
        OUMMAS
AMMPUW: WAMPUM
AMMSST: STAMMS
AMMSSY: SAMMYS
AMNNOS: MANONS
AMNOOR: ROMANO
AMNOPR: RAMPON
AMNOPS: PAMONS
AMNOPT: TAMPON
AMNORR: MARRON
AMNORS: ARMONS
        MORNAS
        NORMAS
        RAMONS
        ROMANS
AMNORT: MONTRA
        NORMAT
AMNORY: MORNAY
AMNOSS: MOSANS
        SOMANS
AMNOST: AMONTS
        MATONS
        MONTAS
        TOMANS
AMNOSU: MANOUS
        SAUMON
AMNOSZ: MAZONS
AMNOTT: MONTAT
        TOMANT
AMNOTY: MOYANT
AMNPTY: TYMPAN
AMNRTU: MURANT
        NATRUM
AMNSTU: MUSANT
AMNTTU: MUTANT
AMOOSZ: ZOOMAS
AMOOTZ: ZOOMAT
AMOPPS: POMPAS
AMOPPT: POMPAT
AMOPRR: ROMPRA
AMOPRT: TROMPA
AMOPST: SAMPOT
AMOQSU: MOQUAS
AMOQTU: MOQUAT
AMORRU: MOURRA
AMORST: STROMA
AMORSU: AMOURS
AMORUV: MOUVRA
AMORUX: MORAUX
AMOSSU: MOUSSA
AMOSTT: MOTTAS
AMOSTU: MATOUS
AMOSTZ: MAZOTS
AMOTTT: MOTTAT
AMOTUZ: MAZOUT
AMPRST: TRAMPS
AMPSSY: SYMPAS
AMQSUU: MUSQUA
AMRRTY: MARTYR
AMRSST: SMARTS
AMRSUU: SAUMUR
AMRSUY: MAURYS
AMRUUX: MURAUX
AMSSSU: MUSSAS
AMSSTU: MUSSAT
AMSTUX: TAXUMS
ANNOOX: XOANON
ANNOPS: PANONS
ANNOPT: PONANT
ANNOQU: QANOUN
ANNORT: NATRON
        ORNANT
ANNOSS: SONNAS
ANNOST: SANTON
        SONNAT
        TONNAS
ANNOSU: AUNONS
        SOUNNA
ANNOTT: NOTANT
        TONNAT
ANNOTU: NOUANT
ANNOTV: NOVANT
ANNOTY: NOYANT
ANNOTZ: ZONANT
ANNQSU: QANUNS
ANNSSU: SUNNAS
ANNTTU: TUNANT
ANOOSZ: OZONAS
ANOOTZ: OZONAT
ANOPQS: PAQSON
ANOPRS: PARONS
        PRONAS
        RAPONS
ANOPRT: PARTON
        PATRON
        PRONAT
        TARPON
ANOPSS: SAPONS
ANOPST: PATONS
        PONTAS
        POSANT
        TAPONS
ANOPSV: PAVONS
ANOPSX: PAXONS
ANOPSY: PAYONS
ANOPTT: OPTANT
        PONTAT
        POTANT
        TOPANT
ANORRV: VARRON
ANORSS: RASONS
        SARONS
        SONARS
ANORST: ORANTS
        RATONS
        ROSANT
        TARONS
        TRONAS
ANORSU: AURONS
        ROUANS
ANORSV: VARONS
ANORSY: RAYONS
ANORTT: ROTANT
        TRONAT
ANORTU: AURONT
        ROUANT
        TOURNA
ANORTY: TRAYON
ANORUZ: ZOURNA
ANOSSU: SOUNAS
ANOSSV: SAVONS
        VASONS
ANOSSX: SAXONS
ANOSSY: SAYONS
ANOSTT: TATONS
ANOSTU: TAUONS
ANOSTX: TAXONS
ANOTTT: TANTOT
ANOTTU: TOUANT
ANOTTV: VOTANT
ANOTUV: VOUANT
ANOTUX: TONAUX
ANOTVY: VOYANT
ANOUXY: NOYAUX
ANOUXZ: ZONAUX
ANPRTU: RUPANT
ANPSSU: PANSUS
ANPSTU: PUANTS
        SUPANT
ANPSTY: PANTYS
ANPTTY: TYPANT
ANRSTU: RUSANT
        SANTUR
        TURSAN
ANRSTY: TYRANS
ANSSTU: SUANTS
        USANTS
ANSTTU: TUANTS
AOOPPS: OPPOSA
AOORRY: ARROYO
AOOTYY: YOYOTA
AOOTZZ: ZOZOTA
AOPPRT: APPORT
AOPPST: STOPPA
AOPPSU: PAPOUS
AOPQSU: POQUAS
AOPQTU: POQUAT
AOPRRU: POURRA
AOPRST: PATROS
        PORTAS
AOPRTT: PORTAT
AOPRUV: PROUVA
AOPSST: POSTAS
AOPSSU: POUSSA
        SOUPAS
AOPSTT: POSTAT
AOPSTU: PATOUS
        POUTSA
        SOUPAT
        STOUPA
AOPSTV: PAVOTS
AOPTUZ: POUTZA
AOQRSU: ROQUAS
AOQRTU: QUARTO
        ROQUAT
        TROQUA
AOQSTU: QUOTAS
        TOQUAS
AOQSUU: SOUQUA
AOQTTU: TOQUAT
AORRTY: ROTARY
AORSSS: ROSSAS
AORSST: ROSSAT
AORSTT: STATOR
        TAROTS
AORSTU: ATOURS
        OUTRAS
        RAOUTS
        ROUTAS
        SOUTRA
        TOURAS
        TROUAS
AORSTX: STORAX
AORSTY: OSTRYA
AORSUV: OUVRAS
AORTTT: TROTTA
AORTTU: OUTRAT
        ROUTAT
        TOURAT
        TROUAT
        TUTORA
AORTUU: AUTOUR
AORTUV: OUVRAT
        TROUVA
AORTUY: YAOURT
AORUXY: ROYAUX
AOSSST: TOSSAS
AOSSTT: TOASTS
        TOSSAT
AOSSTU: TOUSSA
AOSTTU: ATOUTS
        TATOUS
AOSTUV: VOUTAS
AOSTUY: YOUTSA
AOSUZZ: ZAZOUS
AOTTUV: VATOUT
        VOUTAT
AOTTUX: TOTAUX
AOTTUY: TUTOYA
APPRST: TRAPPS
APRSST: SPARTS
        SPRATS
APRSSY: SPRAYS
APRSTU: RAPTUS
        TRAPUS
APRSTY: PARTYS
APRSUU: USURPA
APSSTU: STUPAS
APSTTU: PATTUS
        PUTTAS
APTTTU: PUTTAT
AQRSTU: QUARTS
AQRTUU: TRUQUA
AQRTUZ: QUARTZ
AQSSTU: SQUATS
AQSSUW: SQUAWS
AQSTUU: STUQUA
ARRUUX: RURAUX
ARSSST: STRASS
ARSSTU: SUTRAS
ARSTTU: TRUSTA
ARSTUU: SUTURA
ARSTXY: STYRAX
ARSUUX: SURAUX
ASSTTU: STATUS
ASSTUU: TUSSAU
ASTTTU: STATUT
ATUUXY: TUYAUX
BBBOSY: BOBBYS
BBCEEU: CUBEBE
BBCENO: BONBEC
BBEEET: BEBETE
BBEEIR: REBIBE
BBEEIT: BEBITE
BBEEMO: BOMBEE
BBEEOU: BOUEBE
BBEEYY: BYEBYE
BBEIIM: IMBIBE
BBEIIN: BIBINE
BBEIIT: BIBITE
BBEILO: BILOBE
BBEILS: BIBLES
BBEINO: BOBINE
BBEIRS: BIRBES
        BREBIS
        BRIBES
BBEITU: BITUBE
BBELSU: BULBES
BBEMOR: BOMBER
BBEMOS: BOMBES
BBEMOZ: BOMBEZ
BBEOPS: BEBOPS
BBEORU: BOBEUR
        BOURBE
BBEOST: BOBETS
BBGINO: GIBBON
BBHOSY: HOBBYS
BBIIIR: BIRIBI
BBIILO: BIBLIO
BBIILS: BIBLIS
BBIINO: BIBION
BBIIPP: BIPBIP
BBIKOS: SKIBOB
BBIMOS: BIMBOS
BBIOTU: TOUBIB
BBLLUU: BULBUL
BBLOSY: LOBBYS
BBMOXY: BOMBYX
BBNNOO: BONBON
BBNOOO: BONOBO
BBNOSU: BOBUNS
        BUBONS
BBOOUU: BOUBOU
BCCEEH: CHEBEC
BCCINU: BUCCIN
BCDEEI: CEBIDE
BCDERU: DURBEC
BCDLOU: BOLDUC
BCEEEH: BECHEE
BCEEER: BERCEE
BCEEET: BECTEE
BCEEHK: CHEBEK
BCEEHL: BLECHE
BCEEHO: OBECHE
BCEEHR: BECHER
        BRECHE
BCEEHS: BECHES
BCEEHU: BUCHEE
BCEEHZ: BECHEZ
BCEEIL: CIBLEE
BCEENU: BECUNE
BCEEOS: COBEES
BCEEOT: BECOTE
BCEEOU: ECOBUE
BCEEQU: BECQUE
BCEERR: BERCER
BCEERS: BERCES
        REBECS
BCEERT: BECTER
BCEERZ: BERCEZ
BCEEST: BECTES
BCEESU: CUBEES
BCEETZ: BECTEZ
BCEFIN: BECFIN
BCEHIR: BICHER
        CHIBRE
BCEHIS: BICHES
BCEHIZ: BICHEZ
BCEHOO: COHOBE
BCEHOR: BROCHE
BCEHOS: BOCHES
BCEHOU: BOUCHE
BCEHRU: BRUCHE
        BUCHER
BCEHSU: BUCHES
BCEHUZ: BUCHEZ
BCEIIV: VIBICE
BCEILR: CIBLER
        CRIBLE
BCEILS: CIBLES
BCEILZ: CIBLEZ
BCEINU: INCUBE
BCEIOR: COBIER
BCEIPS: BICEPS
BCEIRS: SCRIBE
BCEIUZ: CUBIEZ
BCELMO: COMBLE
BCELOO: COLOBE
BCELOU: BOUCLE
BCEMOR: CEMBRO
BCEMOS: COMBES
BCENOO: NOCEBO
BCENTU: CUBENT
BCEOPR: PEBROC
BCEORU: COURBE
BCEOST: BECOTS
BCFHIO: BICHOF
BCGORY: CYBORG
BCHINO: BICHON
BCHLOO: BOLCHO
BCHNRU: BRUNCH
BCHORT: BORTCH
BCIIOP: BIOPIC
BCIKRS: BRICKS
BCILOS: BICOLS
BCILOU: BICLOU
BCILPU: PUBLIC
BCIMOS: COMBIS
BCINOR: CORBIN
BCIOSS: BISOCS
BCIOST: BICOTS
BCKLOS: BLOCKS
BCKNUU: NUBUCK
BCLOOS: COBOLS
BCLOSU: BLOCUS
BCMOOS: COMBOS
BCNOSU: CUBONS
BCOOSS: BOSCOS
BCOOST: BOSCOT
BCOOTU: BOUCOT
BCOOWY: COWBOY
BCORSU: OBSCUR
BCRSSU: SCRUBS
BDDEOR: DEBORD
BDEEIL: DEBILE
BDEEIN: DEBINE
BDEEIP: BIPEDE
BDEEIR: BRIDEE
BDEEIT: DEBITE
BDEEJL: DJEBEL
BDEEJM: DJEMBE
BDEELN: BLENDE
BDEENO: BONDEE
BDEEOR: BORDEE
        BRODEE
        DEROBE
BDEEOS: OBSEDE
BDEEOU: BOUDEE
BDEERS: BREDES
BDEEST: DEBETS
BDEESY: DEBYES
BDEETU: DEBUTE
BDEFII: BIFIDE
BDEGIR: BRIDGE
BDEGTU: BUDGET
BDEHOS: HEBDOS
BDEIIM: IBIDEM
BDEIIP: BIPIED
BDEIIR: BIRDIE
BDEILN: BLINDE
BDEILO: BOLIDE
BDEILU: BIDULE
BDEIMO: BIMODE
BDEINR: BENDIR
        BERDIN
        BREDIN
        BRINDE
BDEINS: BIDENS
BDEINT: BIDENT
BDEIOS: BODIES
        BOIDES
BDEIOV: BOVIDE
BDEIRR: BRIDER
BDEIRS: BRIDES
        DEBRIS
BDEIRZ: BRIDEZ
BDEIST: BIDETS
        DEBITS
BDELNO: BLONDE
BDELOR: BORDEL
BDELOU: DOUBLE
BDEMOR: DOMBRE
BDENOR: BONDER
        REBOND
BDENOS: BEDONS
        BONDES
BDENOZ: BONDEZ
BDEORR: BORDER
        BRODER
        REBORD
BDEORS: BORDES
        BRODES
BDEORU: BOUDER
        BOURDE
BDEORZ: BORDEZ
        BRODEZ
BDEOSU: BOUDES
        DEBOUS
BDEOTU: DEBOUT
BDEOUZ: BOUDEZ
BDERSY: DERBYS
BDESTU: DEBUTS
BDHIOS: BODHIS
BDIILO: LIBIDO
BDIINS: BINDIS
BDILNO: BLONDI
BDILNS: BLINDS
BDILPU: LIPDUB
BDINOR: BONDIR
        BRIDON
BDINOS: BIDONS
        BONDIS
BDINOT: BONDIT
BDINOU: BOUDIN
BDIORR: RIBORD
BDIORT: BITORD
BDIORV: VIBORD
BDIOSU: BIDOUS
BDJORS: BORDJS
BDKLOO: KOBOLD
BDKOOS: DOBOKS
BDLNOS: BLONDS
BDLOOS: BOLDOS
BDLOSY: DOLBYS
BDNNOO: BONDON
BEEEGR: GERBEE
BEEEHP: EPHEBE
BEEEHR: HERBEE
BEEEHT: HEBETE
BEEEKS: BEKEES
BEEELM: EMBLEE
BEEELR: BRELEE
BEEELS: BELEES
BEEEMT: EMBETE
BEEEMU: EMBUEE
BEEENN: BENNEE
BEEENR: BERNEE
BEEENS: EBENES
BEEEOR: OBEREE
BEEEOU: EBOUEE
BEEEQU: BEQUEE
BEEERU: REBEUE
BEEERZ: BEEREZ
        ZEBREE
BEEEST: BETEES
BEEFFI: BIFFEE
BEEFFR: BREFFE
BEEFIR: BRIEFE
        FIBREE
BEEFLU: ELBEUF
BEEFNS: BENEFS
BEEGGU: BUGGEE
BEEGIL: BIGLEE
BEEGIN: BEIGNE
BEEGIS: BEIGES
BEEGLS: BELGES
        GLEBES
BEEGLU: BEUGLE
BEEGNO: ENGOBE
BEEGNU: BEUGNE
        BUGNEE
BEEGOS: GOBEES
BEEGOT: GOBETE
BEEGOU: BOGUEE
        BOUGEE
BEEGRR: BERGER
        GERBER
BEEGRS: BERGES
        GERBES
        GREBES
BEEGRU: GUEBRE
BEEGRZ: GERBEZ
BEEGSU: BEGUES
BEEHIL: HIEBLE
BEEHIX: EXHIBE
BEEHMO: BOHEME
BEEHRR: HERBER
BEEHRS: HERBES
BEEHRT: BERTHE
BEEHRU: HEBREU
        HERBUE
BEEHRZ: HERBEZ
BEEIIL: BILIEE
BEEILL: BIELLE
        BILLEE
BEEILM: BLEMIE
BEEILR: BELIER
        LIBERE
        RIBLEE
BEEILS: BILEES
        SEBILE
BEEILU: BLEUIE
BEEILZ: BELIEZ
BEEIMN: NIMBEE
BEEIMR: BIREME
        BRIMEE
BEEINR: ERBINE
BEEINS: BENIES
        BINEES
        NIEBES
BEEINT: BENITE
BEEIOS: BOISEE
        OBEIES
BEEIPS: BIPEES
BEEIRS: BIERES
        BRIEES
        BRISEE
        IBERES
BEEIRV: BIEVRE
        VIBREE
BEEISS: BISEES
        BISSEE
BEEIST: BETIES
        BETISE
        BITEES
BEEITT: BITTEE
BEEKUZ: UZBEKE
BEELLR: BRELLE
BEELLS: BELLES
        LEBELS
BEELLU: BULLEE
BEELMO: EMBOLE
BEELMS: BLEMES
        SEMBLE
BEELMU: MEUBLE
BEELNT: BELENT
BEELOS: BOLEES
        LOBEES
        OBELES
BEELOT: BELOTE
BEELOU: BOUELE
        BOULEE
        EBOULE
BEELPS: PLEBES
BEELRR: BRELER
BEELRS: BLESER
        BRELES
BEELRU: BERLUE
        BRULEE
        BURELE
BEELRZ: BRELEZ
BEELSS: BLESES
        BLESSE
BEELST: BETELS
        BLETSE
BEELSU: BLEUES
        SUBLEE
BEELSY: YEBLES
BEELSZ: BLESEZ
BEELTT: BLETTE
BEELTU: BLEUET
        BLEUTE
        BLUTEE
BEELTY: BETYLE
BEEMMR: MEMBRE
BEEMOR: BROMEE
        OMBREE
BEEMOS: BOMEES
BEEMOT: TOMBEE
BEEMOU: EMBOUE
BEEMRS: BERMES
        BREMES
BEEMRU: EMBUER
BEEMSU: EMBUES
BEEMUZ: EMBUEZ
BEENNR: BENNER
BEENNS: BENNES
BEENNZ: BENNEZ
BEENOR: BORNEE
        ENROBE
BEENOS: SNOBEE
BEENRR: BERNER
BEENRS: BERNES
BEENRU: BURNEE
        EBURNE
BEENRZ: BERNEZ
BEENST: BENETS
BEENTU: BUTENE
        ENTUBE
BEEORR: OBERER
BEEORS: BOREES
        OBERES
        ROBEES
BEEORT: TEORBE
BEEORU: EBOUER
        EBROUE
BEEORY: BROYEE
BEEORZ: OBEREZ
BEEOSS: BOESSE
        BOSSEE
        OBESES
BEEOST: BOETES
BEEOSU: BOUEES
        BOUSEE
        EBOUES
BEEOSX: BOXEES
BEEOTT: BOETTE
        BOTTEE
BEEOTU: BOUTEE
        EBOUTE
BEEOUZ: EBOUEZ
BEEPRU: PUBERE
BEEQTU: BEQUET
BEEQUU: BUQUEE
BEERRU: BEURRE
BEERRZ: ZEBRER
BEERSS: SERBES
BEERST: BERETS
BEERSU: BEURES
        ERBUES
        REBEUS
        REBUES
        REBUSE
BEERSV: BREVES
        VERBES
BEERSW: WEBERS
BEERSZ: ZEBRES
BEERTT: BRETTE
BEERTU: REBUTE
        RETUBE
BEERTV: BREVET
BEERUU: REUBEU
BEERUX: REBEUX
BEERZZ: ZEBREZ
BEESST: BESETS
BEESSU: BEUSES
        BUSEES
BEESTT: BETTES
BEESTU: BUTEES
        TUBEES
BEESUV: BEVUES
        BUVEES
BEETTU: BUTTEE
BEETUX: EXTUBE
BEEUZZ: BUZZEE
BEFFIR: BIFFER
        BRIFFE
BEFFIS: BIFFES
BEFFIZ: BIFFEZ
BEFFLU: BLUFFE
        BUFFLE
BEFFOU: BOUFFE
BEFFRU: BUFFER
BEFFTU: BUFFET
BEFILU: FIBULE
BEFIRR: FIBRER
BEFIRS: BRIEFS
        FIBRES
BEFIRZ: FIBREZ
BEFISS: BESSIF
BEFLOU: FOULBE
BEFORU: FOURBE
BEFOSU: BOEUFS
BEGGIO: BOGGIE
BEGGRU: BUGGER
BEGGSU: BUGGES
BEGGUZ: BUGGEZ
BEGHIO: BOGHEI
BEGHOY: BOGHEY
BEGIIO: GIBOIE
BEGIIR: GIBIER
BEGILO: OBLIGE
BEGILR: BIGLER
BEGILS: BIGLES
BEGILZ: BIGLEZ
BEGINO: BOEING
BEGINR: BRINGE
